artist_name;song_title;token
The Clash;1-2 Crush On You;standing
The Clash;1-2 Crush On You;in
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;queue
The Clash;1-2 Crush On You;of
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;school
The Clash;1-2 Crush On You;canteen
The Clash;1-2 Crush On You;guys
The Clash;1-2 Crush On You;on
The Clash;1-2 Crush On You;the
The Clash;1-2 Crush On You;corner
The Clash;1-2 Crush On You;they
The Clash;1-2 Crush On You;were
The Clash;1-2 Crush On You;laughin'
The Clash;1-2 Crush On You;at
The Clash;1-2 Crush On You;me
The Clash;1-2 Crush On You;but
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;don't
The Clash;1-2 Crush On You;mind
The Clash;1-2 Crush On You;if
The Clash;1-2 Crush On You;they
The Clash;1-2 Crush On You;see
The Clash;1-2 Crush On You;it
The Clash;1-2 Crush On You;all
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;know
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;come
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;come
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;got
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;crush
The Clash;1-2 Crush On You;on
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;my
The Clash;1-2 Crush On You;mind
The Clash;1-2 Crush On You;don't
The Clash;1-2 Crush On You;need
The Clash;1-2 Crush On You;it
The Clash;1-2 Crush On You;but
The Clash;1-2 Crush On You;my
The Clash;1-2 Crush On You;body
The Clash;1-2 Crush On You;do
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;little
The Clash;1-2 Crush On You;bit
The Clash;1-2 Crush On You;of
The Clash;1-2 Crush On You;loving
The Clash;1-2 Crush On You;and
The Clash;1-2 Crush On You;attention
The Clash;1-2 Crush On You;for
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;although
The Clash;1-2 Crush On You;we're
The Clash;1-2 Crush On You;only
The Clash;1-2 Crush On You;strangers
The Clash;1-2 Crush On You;standing
The Clash;1-2 Crush On You;in
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;queue
The Clash;1-2 Crush On You;of
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;school
The Clash;1-2 Crush On You;canteen
The Clash;1-2 Crush On You;guys
The Clash;1-2 Crush On You;on
The Clash;1-2 Crush On You;the
The Clash;1-2 Crush On You;corner
The Clash;1-2 Crush On You;they
The Clash;1-2 Crush On You;were
The Clash;1-2 Crush On You;laughin'
The Clash;1-2 Crush On You;at
The Clash;1-2 Crush On You;me
The Clash;1-2 Crush On You;but
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;don't
The Clash;1-2 Crush On You;mind
The Clash;1-2 Crush On You;if
The Clash;1-2 Crush On You;they
The Clash;1-2 Crush On You;see
The Clash;1-2 Crush On You;it
The Clash;1-2 Crush On You;all
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;know
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;come
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;come
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;got
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;crush
The Clash;1-2 Crush On You;on
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;my
The Clash;1-2 Crush On You;mind
The Clash;1-2 Crush On You;don't
The Clash;1-2 Crush On You;need
The Clash;1-2 Crush On You;it
The Clash;1-2 Crush On You;but
The Clash;1-2 Crush On You;my
The Clash;1-2 Crush On You;body
The Clash;1-2 Crush On You;do
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;little
The Clash;1-2 Crush On You;bit
The Clash;1-2 Crush On You;of
The Clash;1-2 Crush On You;loving
The Clash;1-2 Crush On You;and
The Clash;1-2 Crush On You;attention
The Clash;1-2 Crush On You;for
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;although
The Clash;1-2 Crush On You;we're
The Clash;1-2 Crush On You;only
The Clash;1-2 Crush On You;strangers
The Clash;1-2 Crush On You;they
The Clash;1-2 Crush On You;don't
The Clash;1-2 Crush On You;need
The Clash;1-2 Crush On You;to
The Clash;1-2 Crush On You;know
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;cum
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;gotta
The Clash;1-2 Crush On You;cum
The Clash;1-2 Crush On You;clean
The Clash;1-2 Crush On You;ooh
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;got
The Clash;1-2 Crush On You;a
The Clash;1-2 Crush On You;crush
The Clash;1-2 Crush On You;on
The Clash;1-2 Crush On You;you
The Clash;1-2 Crush On You;i
The Clash;1-2 Crush On You;want
