artist_name;song_title;token
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';here
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';of
The Clash;Fingerpoppin';mine
The Clash;Fingerpoppin';is
The Clash;Fingerpoppin';gonna
The Clash;Fingerpoppin';point
The Clash;Fingerpoppin';to
The Clash;Fingerpoppin';the
The Clash;Fingerpoppin';beat
The Clash;Fingerpoppin';right
The Clash;Fingerpoppin';on
The Clash;Fingerpoppin';time
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';points
The Clash;Fingerpoppin';in
The Clash;Fingerpoppin';a
The Clash;Fingerpoppin';brand
The Clash;Fingerpoppin';new
The Clash;Fingerpoppin';dance
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';points
The Clash;Fingerpoppin';for
The Clash;Fingerpoppin';a
The Clash;Fingerpoppin';new
The Clash;Fingerpoppin';romance
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';here
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';got
The Clash;Fingerpoppin';no
The Clash;Fingerpoppin';ring
The Clash;Fingerpoppin';it'll
The Clash;Fingerpoppin';point
The Clash;Fingerpoppin';at
The Clash;Fingerpoppin';anything
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';points
The Clash;Fingerpoppin';gonna
The Clash;Fingerpoppin';pop
The Clash;Fingerpoppin';tonight
The Clash;Fingerpoppin';gonna
The Clash;Fingerpoppin';point
The Clash;Fingerpoppin';at
The Clash;Fingerpoppin';the
The Clash;Fingerpoppin';best
The Clash;Fingerpoppin';girl
The Clash;Fingerpoppin';in
The Clash;Fingerpoppin';sight
The Clash;Fingerpoppin';don't
The Clash;Fingerpoppin';talk
The Clash;Fingerpoppin';shop
The Clash;Fingerpoppin';fingerpop
The Clash;Fingerpoppin';don't
The Clash;Fingerpoppin';talk
The Clash;Fingerpoppin';shop
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';here
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';of
The Clash;Fingerpoppin';mine
The Clash;Fingerpoppin';is
The Clash;Fingerpoppin';gonna
The Clash;Fingerpoppin';point
The Clash;Fingerpoppin';to
The Clash;Fingerpoppin';the
The Clash;Fingerpoppin';beat
The Clash;Fingerpoppin';right
The Clash;Fingerpoppin';on
The Clash;Fingerpoppin';time
The Clash;Fingerpoppin';this
The Clash;Fingerpoppin';finger
The Clash;Fingerpoppin';points
The Clash;Fingerpoppin';in
The Clash;Fingerpoppin';a
