artist_name;song_title;token
The Clash;Jail Guitar Doors;let
The Clash;Jail Guitar Doors;me
The Clash;Jail Guitar Doors;tell
The Clash;Jail Guitar Doors;you
The Clash;Jail Guitar Doors;'bout
The Clash;Jail Guitar Doors;wayne
The Clash;Jail Guitar Doors;and
The Clash;Jail Guitar Doors;his
The Clash;Jail Guitar Doors;deals
The Clash;Jail Guitar Doors;of
The Clash;Jail Guitar Doors;cocaine
The Clash;Jail Guitar Doors;a
The Clash;Jail Guitar Doors;little
The Clash;Jail Guitar Doors;more
The Clash;Jail Guitar Doors;every
The Clash;Jail Guitar Doors;day
The Clash;Jail Guitar Doors;holding
The Clash;Jail Guitar Doors;for
The Clash;Jail Guitar Doors;a
The Clash;Jail Guitar Doors;friend
The Clash;Jail Guitar Doors;till
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;band
The Clash;Jail Guitar Doors;do
The Clash;Jail Guitar Doors;well
The Clash;Jail Guitar Doors;then
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;dea
The Clash;Jail Guitar Doors;locked
The Clash;Jail Guitar Doors;him
The Clash;Jail Guitar Doors;away
The Clash;Jail Guitar Doors;clang
The Clash;Jail Guitar Doors;clang
The Clash;Jail Guitar Doors;go
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;jail
The Clash;Jail Guitar Doors;guitar
The Clash;Jail Guitar Doors;doors
The Clash;Jail Guitar Doors;bang
The Clash;Jail Guitar Doors;bang
The Clash;Jail Guitar Doors;go
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;boots
The Clash;Jail Guitar Doors;on
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;floor
The Clash;Jail Guitar Doors;cry
The Clash;Jail Guitar Doors;cry
The Clash;Jail Guitar Doors;for
The Clash;Jail Guitar Doors;your
The Clash;Jail Guitar Doors;lonely
The Clash;Jail Guitar Doors;mother
The Clash;Jail Guitar Doors;son
The Clash;Jail Guitar Doors;clang
The Clash;Jail Guitar Doors;clang
The Clash;Jail Guitar Doors;go
The Clash;Jail Guitar Doors;the
The Clash;Jail Guitar Doors;jail
The Clash;Jail Guitar Doors;guitar
The Clash;Jail Guitar Doors;doors
