artist_name;song_title;token
The Clash;North And South;and
The Clash;North And South;so
The Clash;North And South;we
The Clash;North And South;say
The Clash;North And South;we
The Clash;North And South;ain't
The Clash;North And South;got
The Clash;North And South;life
The Clash;North And South;don't
The Clash;North And South;want
The Clash;North And South;a
The Clash;North And South;cardboard
The Clash;North And South;cut-out
The Clash;North And South;don't
The Clash;North And South;want
The Clash;North And South;a
The Clash;North And South;plastic
The Clash;North And South;knife
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;time
The Clash;North And South;can
The Clash;North And South;march
The Clash;North And South;with
The Clash;North And South;it
The Clash;North And South;chargin'
The Clash;North And South;feet
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;words
The Clash;North And South;are
The Clash;North And South;only
The Clash;North And South;cheap
The Clash;North And South;it
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;burn
The Clash;North And South;out
The Clash;North And South;all
The Clash;North And South;around
The Clash;North And South;this
The Clash;North And South;town
The Clash;North And South;the
The Clash;North And South;south
The Clash;North And South;is
The Clash;North And South;up
The Clash;North And South;but
The Clash;North And South;the
The Clash;North And South;north
The Clash;North And South;is
The Clash;North And South;down
The Clash;North And South;there
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;killin'
The Clash;North And South;of
The Clash;North And South;a
The Clash;North And South;woman
The Clash;North And South;and
The Clash;North And South;a
The Clash;North And South;man
The Clash;North And South;and
The Clash;North And South;so
The Clash;North And South;we
The Clash;North And South;say
The Clash;North And South;we
The Clash;North And South;ain't
The Clash;North And South;got
The Clash;North And South;life
The Clash;North And South;don't
The Clash;North And South;want
The Clash;North And South;a
The Clash;North And South;cardboard
The Clash;North And South;cut-out
The Clash;North And South;don't
The Clash;North And South;want
The Clash;North And South;a
The Clash;North And South;plastic
The Clash;North And South;knife
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;time
The Clash;North And South;can
The Clash;North And South;march
The Clash;North And South;with
The Clash;North And South;it
The Clash;North And South;chargin'
The Clash;North And South;feet
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;words
The Clash;North And South;are
The Clash;North And South;only
The Clash;North And South;cheap
The Clash;North And South;it
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;burn
The Clash;North And South;out
The Clash;North And South;all
The Clash;North And South;around
The Clash;North And South;this
The Clash;North And South;town
The Clash;North And South;the
The Clash;North And South;south
The Clash;North And South;is
The Clash;North And South;up
The Clash;North And South;but
The Clash;North And South;the
The Clash;North And South;north
The Clash;North And South;is
The Clash;North And South;down
The Clash;North And South;there
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;killin'
The Clash;North And South;of
The Clash;North And South;a
The Clash;North And South;woman
The Clash;North And South;and
The Clash;North And South;a
The Clash;North And South;man
The Clash;North And South;trying
The Clash;North And South;to
The Clash;North And South;feed
The Clash;North And South;that
The Clash;North And South;child
The Clash;North And South;without
The Clash;North And South;a
The Clash;North And South;coin
The Clash;North And South;in
The Clash;North And South;their
The Clash;North And South;hand
The Clash;North And South;and
The Clash;North And South;so
The Clash;North And South;we
The Clash;North And South;say
The Clash;North And South;have
The Clash;North And South;you
The Clash;North And South;no
The Clash;North And South;use
The Clash;North And South;for
The Clash;North And South;eight
The Clash;North And South;million
The Clash;North And South;hands
The Clash;North And South;and
The Clash;North And South;the
The Clash;North And South;power
The Clash;North And South;of
The Clash;North And South;youth
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;time
The Clash;North And South;can
The Clash;North And South;march
The Clash;North And South;with
The Clash;North And South;it
The Clash;North And South;chargin'
The Clash;North And South;feet
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;words
The Clash;North And South;are
The Clash;North And South;only
The Clash;North And South;cheap
The Clash;North And South;it
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;burn
The Clash;North And South;out
The Clash;North And South;all
The Clash;North And South;around
The Clash;North And South;this
The Clash;North And South;town
The Clash;North And South;the
The Clash;North And South;south
The Clash;North And South;is
The Clash;North And South;up
The Clash;North And South;but
The Clash;North And South;the
The Clash;North And South;north
The Clash;North And South;is
The Clash;North And South;down
The Clash;North And South;there
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;killin'
The Clash;North And South;of
The Clash;North And South;a
The Clash;North And South;woman
The Clash;North And South;and
The Clash;North And South;a
The Clash;North And South;man
The Clash;North And South;trying
The Clash;North And South;to
The Clash;North And South;feed
The Clash;North And South;that
The Clash;North And South;child
The Clash;North And South;without
The Clash;North And South;a
The Clash;North And South;coin
The Clash;North And South;in
The Clash;North And South;their
The Clash;North And South;hand
The Clash;North And South;it
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;burn
The Clash;North And South;out
The Clash;North And South;and
The Clash;North And South;so
The Clash;North And South;we
The Clash;North And South;say
The Clash;North And South;we
The Clash;North And South;ain't
The Clash;North And South;diggin'
The Clash;North And South;no
The Clash;North And South;graves
The Clash;North And South;we're
The Clash;North And South;diggin'
The Clash;North And South;a
The Clash;North And South;foundation
The Clash;North And South;for
The Clash;North And South;a
The Clash;North And South;future
The Clash;North And South;to
The Clash;North And South;be
The Clash;North And South;made
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;time
The Clash;North And South;can
The Clash;North And South;march
The Clash;North And South;with
The Clash;North And South;it
The Clash;North And South;chargin'
The Clash;North And South;feet
The Clash;North And South;now
The Clash;North And South;i
The Clash;North And South;know
The Clash;North And South;words
The Clash;North And South;are
The Clash;North And South;only
The Clash;North And South;cheap
The Clash;North And South;it
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;burn
The Clash;North And South;out
The Clash;North And South;all
The Clash;North And South;around
The Clash;North And South;this
The Clash;North And South;town
The Clash;North And South;the
The Clash;North And South;south
The Clash;North And South;is
The Clash;North And South;up
The Clash;North And South;but
The Clash;North And South;the
The Clash;North And South;north
The Clash;North And South;is
The Clash;North And South;down
The Clash;North And South;there
The Clash;North And South;gonna
The Clash;North And South;be
The Clash;North And South;a
The Clash;North And South;killin'
The Clash;North And South;of
The Clash;North And South;a
The Clash;North And South;woman
The Clash;North And South;and
The Clash;North And South;a
The Clash;North And South;man
The Clash;North And South;trying
