artist_name;song_title;token
The Clash;The Equaliser;no
The Clash;The Equaliser;gang
The Clash;The Equaliser;boss
The Clash;The Equaliser;no
The Clash;The Equaliser;we
The Clash;The Equaliser;don't
The Clash;The Equaliser;want
The Clash;The Equaliser;the
The Clash;The Equaliser;whip
The Clash;The Equaliser;as
The Clash;The Equaliser;you
The Clash;The Equaliser;get
The Clash;The Equaliser;weaker
The Clash;The Equaliser;-
The Clash;The Equaliser;it
The Clash;The Equaliser;will
The Clash;The Equaliser;get
The Clash;The Equaliser;harder
The Clash;The Equaliser;so
The Clash;The Equaliser;don't
The Clash;The Equaliser;be
The Clash;The Equaliser;like
The Clash;The Equaliser;him
The Clash;The Equaliser;keep
The Clash;The Equaliser;your
The Clash;The Equaliser;bones
The Clash;The Equaliser;of
The Clash;The Equaliser;effort
The Clash;The Equaliser;and
The Clash;The Equaliser;strength
The Clash;The Equaliser;don't
The Clash;The Equaliser;sell
The Clash;The Equaliser;them
The Clash;The Equaliser;to
The Clash;The Equaliser;him
The Clash;The Equaliser;we
The Clash;The Equaliser;don't
The Clash;The Equaliser;want
The Clash;The Equaliser;no
The Clash;The Equaliser;gang
The Clash;The Equaliser;boss
The Clash;The Equaliser;we
The Clash;The Equaliser;want
The Clash;The Equaliser;to
The Clash;The Equaliser;equalize
The Clash;The Equaliser;to
The Clash;The Equaliser;my
The Clash;The Equaliser;fathers
The Clash;The Equaliser;fathers
The Clash;The Equaliser;fathers
The Clash;The Equaliser;father
The Clash;The Equaliser;work
The Clash;The Equaliser;was
The Clash;The Equaliser;no
The Clash;The Equaliser;joy
The Clash;The Equaliser;when
The Clash;The Equaliser;his
The Clash;The Equaliser;son
The Clash;The Equaliser;had
The Clash;The Equaliser;grown
The Clash;The Equaliser;of
The Clash;The Equaliser;age
The Clash;The Equaliser;you
The Clash;The Equaliser;got
The Clash;The Equaliser;to
The Clash;The Equaliser;work
The Clash;The Equaliser;now
The Clash;The Equaliser;boy
The Clash;The Equaliser;no
The Clash;The Equaliser;gang
The Clash;The Equaliser;boss
The Clash;The Equaliser;no
The Clash;The Equaliser;we
The Clash;The Equaliser;don't
The Clash;The Equaliser;want
The Clash;The Equaliser;the
The Clash;The Equaliser;whip
The Clash;The Equaliser;as
The Clash;The Equaliser;you
The Clash;The Equaliser;get
The Clash;The Equaliser;weaker
The Clash;The Equaliser;-
The Clash;The Equaliser;it
The Clash;The Equaliser;will
The Clash;The Equaliser;get
The Clash;The Equaliser;harder
The Clash;The Equaliser;so
The Clash;The Equaliser;don't
The Clash;The Equaliser;be
The Clash;The Equaliser;like
The Clash;The Equaliser;him
The Clash;The Equaliser;keep
The Clash;The Equaliser;your
The Clash;The Equaliser;bones
The Clash;The Equaliser;of
The Clash;The Equaliser;effort
The Clash;The Equaliser;and
The Clash;The Equaliser;strength
The Clash;The Equaliser;don't
The Clash;The Equaliser;sell
The Clash;The Equaliser;them
The Clash;The Equaliser;to
The Clash;The Equaliser;him
The Clash;The Equaliser;we
The Clash;The Equaliser;don't
The Clash;The Equaliser;want
The Clash;The Equaliser;no
The Clash;The Equaliser;gang
The Clash;The Equaliser;boss
The Clash;The Equaliser;we
The Clash;The Equaliser;want
The Clash;The Equaliser;to
The Clash;The Equaliser;equalize
The Clash;The Equaliser;to
The Clash;The Equaliser;my
The Clash;The Equaliser;fathers
The Clash;The Equaliser;fathers
The Clash;The Equaliser;fathers
The Clash;The Equaliser;father
The Clash;The Equaliser;work
The Clash;The Equaliser;was
The Clash;The Equaliser;no
The Clash;The Equaliser;joy
The Clash;The Equaliser;when
The Clash;The Equaliser;his
The Clash;The Equaliser;son
The Clash;The Equaliser;had
The Clash;The Equaliser;grown
The Clash;The Equaliser;of
The Clash;The Equaliser;age
The Clash;The Equaliser;you
The Clash;The Equaliser;got
The Clash;The Equaliser;to
The Clash;The Equaliser;work
The Clash;The Equaliser;now
The Clash;The Equaliser;boy
The Clash;The Equaliser;never
The Clash;The Equaliser;ceasing
The Clash;The Equaliser;for
The Clash;The Equaliser;many
The Clash;The Equaliser;years
The Clash;The Equaliser;want
The Clash;The Equaliser;to
The Clash;The Equaliser;follow
The Clash;The Equaliser;that
The Clash;The Equaliser;boy
The Clash;The Equaliser;till
The Clash;The Equaliser;half
The Clash;The Equaliser;and
The Clash;The Equaliser;half
The Clash;The Equaliser;is
The Clash;The Equaliser;equalized
The Clash;The Equaliser;put
The Clash;The Equaliser;down
The Clash;The Equaliser;the
The Clash;The Equaliser;tools
The Clash;The Equaliser;see
The Clash;The Equaliser;the
The Clash;The Equaliser;car
The Clash;The Equaliser;see
The Clash;The Equaliser;the
The Clash;The Equaliser;house
The Clash;The Equaliser;see
The Clash;The Equaliser;the
The Clash;The Equaliser;fabulous
The Clash;The Equaliser;jewels
The Clash;The Equaliser;see
The Clash;The Equaliser;the
The Clash;The Equaliser;world
The Clash;The Equaliser;you
The Clash;The Equaliser;have
The Clash;The Equaliser;built
The Clash;The Equaliser;it
The Clash;The Equaliser;with
The Clash;The Equaliser;shoulders
The Clash;The Equaliser;of
The Clash;The Equaliser;iron
The Clash;The Equaliser;see
The Clash;The Equaliser;the
The Clash;The Equaliser;world
The Clash;The Equaliser;but
The Clash;The Equaliser;it
The Clash;The Equaliser;is
The Clash;The Equaliser;not
The Clash;The Equaliser;yours
The Clash;The Equaliser;say
The Clash;The Equaliser;the
The Clash;The Equaliser;stealers
The Clash;The Equaliser;of
The Clash;The Equaliser;zion
The Clash;The Equaliser;geneva
The Clash;The Equaliser;wall
The Clash;The Equaliser;street
The Clash;The Equaliser;who
The Clash;The Equaliser;makes
The Clash;The Equaliser;them
The Clash;The Equaliser;so
The Clash;The Equaliser;fat
The Clash;The Equaliser;well
The Clash;The Equaliser;well
The Clash;The Equaliser;me
The Clash;The Equaliser;an'
The Clash;The Equaliser;you
The Clash;The Equaliser;better
The Clash;The Equaliser;think
The Clash;The Equaliser;about
The Clash;The Equaliser;that
The Clash;The Equaliser;in
The Clash;The Equaliser;overdrive
The Clash;The Equaliser;whooo
The Clash;The Equaliser;till
The Clash;The Equaliser;humanize
The Clash;The Equaliser;is
The Clash;The Equaliser;equalize
The Clash;The Equaliser;put
The Clash;The Equaliser;down
The Clash;The Equaliser;the
The Clash;The Equaliser;tools
The Clash;The Equaliser;every
The Clash;The Equaliser;face
The Clash;The Equaliser;on
The Clash;The Equaliser;every
The Clash;The Equaliser;side
The Clash;The Equaliser;throw
The Clash;The Equaliser;down
The Clash;The Equaliser;the
The Clash;The Equaliser;tools
The Clash;The Equaliser;stay
The Clash;The Equaliser;at
The Clash;The Equaliser;home
The Clash;The Equaliser;don't
The Clash;The Equaliser;check
The Clash;The Equaliser;with
The Clash;The Equaliser;rome
The Clash;The Equaliser;paint
The Clash;The Equaliser;strike
The Clash;The Equaliser;on
The Clash;The Equaliser;the
The Clash;The Equaliser;door
The Clash;The Equaliser;it
The Clash;The Equaliser;one
The Clash;The Equaliser;to
The Clash;The Equaliser;one
The Clash;The Equaliser;the
The Clash;The Equaliser;fight
The Clash;The Equaliser;is
The Clash;The Equaliser;on
The Clash;The Equaliser;so
The Clash;The Equaliser;don't
The Clash;The Equaliser;go
The Clash;The Equaliser;to
The Clash;The Equaliser;war
The Clash;The Equaliser;we
The Clash;The Equaliser;don't
The Clash;The Equaliser;need
The Clash;The Equaliser;no
The Clash;The Equaliser;gang
The Clash;The Equaliser;boss
The Clash;The Equaliser;we
The Clash;The Equaliser;have
The Clash;The Equaliser;to
The Clash;The Equaliser;equalize
