artist_name;song_title;token
The Clash;The Right Profile;say
The Clash;The Right Profile;where
The Clash;The Right Profile;did
The Clash;The Right Profile;i
The Clash;The Right Profile;see
The Clash;The Right Profile;this
The Clash;The Right Profile;guy
The Clash;The Right Profile;in
The Clash;The Right Profile;red
The Clash;The Right Profile;river
The Clash;The Right Profile;or
The Clash;The Right Profile;a
The Clash;The Right Profile;place
The Clash;The Right Profile;in
The Clash;The Right Profile;the
The Clash;The Right Profile;sun
The Clash;The Right Profile;maybe
The Clash;The Right Profile;the
The Clash;The Right Profile;misfits
The Clash;The Right Profile;or
The Clash;The Right Profile;from
The Clash;The Right Profile;here
The Clash;The Right Profile;to
The Clash;The Right Profile;eternity
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;looks
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;new
The Clash;The Right Profile;york
The Clash;The Right Profile;new
The Clash;The Right Profile;york
The Clash;The Right Profile;42nd
The Clash;The Right Profile;street
The Clash;The Right Profile;say
The Clash;The Right Profile;where
The Clash;The Right Profile;did
The Clash;The Right Profile;i
The Clash;The Right Profile;see
The Clash;The Right Profile;this
The Clash;The Right Profile;guy
The Clash;The Right Profile;in
The Clash;The Right Profile;red
The Clash;The Right Profile;river
The Clash;The Right Profile;or
The Clash;The Right Profile;a
The Clash;The Right Profile;place
The Clash;The Right Profile;in
The Clash;The Right Profile;the
The Clash;The Right Profile;sun
The Clash;The Right Profile;maybe
The Clash;The Right Profile;the
The Clash;The Right Profile;misfits
The Clash;The Right Profile;or
The Clash;The Right Profile;from
The Clash;The Right Profile;here
The Clash;The Right Profile;to
The Clash;The Right Profile;eternity
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;looks
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;new
The Clash;The Right Profile;york
The Clash;The Right Profile;new
The Clash;The Right Profile;york
The Clash;The Right Profile;42nd
The Clash;The Right Profile;street
The Clash;The Right Profile;hustlers
The Clash;The Right Profile;rustle
The Clash;The Right Profile;and
The Clash;The Right Profile;pimps
The Clash;The Right Profile;pimp
The Clash;The Right Profile;the
The Clash;The Right Profile;beat
The Clash;The Right Profile;monty
The Clash;The Right Profile;clift
The Clash;The Right Profile;is
The Clash;The Right Profile;recognized
The Clash;The Right Profile;at
The Clash;The Right Profile;dawn
The Clash;The Right Profile;he
The Clash;The Right Profile;ain't
The Clash;The Right Profile;got
The Clash;The Right Profile;no
The Clash;The Right Profile;shoes
The Clash;The Right Profile;and
The Clash;The Right Profile;his
The Clash;The Right Profile;clothes
The Clash;The Right Profile;are
The Clash;The Right Profile;torn
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;look
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;i
The Clash;The Right Profile;see
The Clash;The Right Profile;a
The Clash;The Right Profile;car
The Clash;The Right Profile;smashed
The Clash;The Right Profile;at
The Clash;The Right Profile;night
The Clash;The Right Profile;cut
The Clash;The Right Profile;the
The Clash;The Right Profile;applause
The Clash;The Right Profile;and
The Clash;The Right Profile;dim
The Clash;The Right Profile;the
The Clash;The Right Profile;light
The Clash;The Right Profile;monty
The Clash;The Right Profile;face
The Clash;The Right Profile;is
The Clash;The Right Profile;broken
The Clash;The Right Profile;on
The Clash;The Right Profile;a
The Clash;The Right Profile;wheel
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;alive
The Clash;The Right Profile;can
The Clash;The Right Profile;he
The Clash;The Right Profile;still
The Clash;The Right Profile;feel
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;shine
The Clash;The Right Profile;a
The Clash;The Right Profile;light
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;it
The Clash;The Right Profile;not
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;shoot
The Clash;The Right Profile;his
The Clash;The Right Profile;right
The Clash;The Right Profile;profile
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;look
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;nembutol
The Clash;The Right Profile;numbs
The Clash;The Right Profile;it
The Clash;The Right Profile;all
The Clash;The Right Profile;but
The Clash;The Right Profile;i
The Clash;The Right Profile;prefer
The Clash;The Right Profile;alcohol
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;look
The Clash;The Right Profile;funny
The Clash;The Right Profile;that
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
The Clash;The Right Profile;he
The Clash;The Right Profile;said
The Clash;The Right Profile;go
The Clash;The Right Profile;out
The Clash;The Right Profile;and
The Clash;The Right Profile;get
The Clash;The Right Profile;me
The Clash;The Right Profile;my
The Clash;The Right Profile;old
The Clash;The Right Profile;movie
The Clash;The Right Profile;stills
The Clash;The Right Profile;go
The Clash;The Right Profile;out
The Clash;The Right Profile;and
The Clash;The Right Profile;get
The Clash;The Right Profile;me
The Clash;The Right Profile;another
The Clash;The Right Profile;roll
The Clash;The Right Profile;of
The Clash;The Right Profile;pills
The Clash;The Right Profile;there
The Clash;The Right Profile;i
The Clash;The Right Profile;go
The Clash;The Right Profile;again
The Clash;The Right Profile;shaking
The Clash;The Right Profile;but
The Clash;The Right Profile;i
The Clash;The Right Profile;ain't
The Clash;The Right Profile;got
The Clash;The Right Profile;the
The Clash;The Right Profile;chills
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;what
The Clash;The Right Profile;he
The Clash;The Right Profile;like
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;is
The Clash;The Right Profile;he
The Clash;The Right Profile;all
The Clash;The Right Profile;right
The Clash;The Right Profile;and
The Clash;The Right Profile;everybody
The Clash;The Right Profile;say
The Clash;The Right Profile;he
The Clash;The Right Profile;sure
The Clash;The Right Profile;looks
The Clash;The Right Profile;funny
The Clash;The Right Profile;i
The Clash;The Right Profile;was
The Clash;The Right Profile;trapped
The Clash;The Right Profile;montgomery
The Clash;The Right Profile;clift
The Clash;The Right Profile;honey
