artist_name;song_title;token
The Clash;Three Card Trick;patriots
The Clash;Three Card Trick;of
The Clash;Three Card Trick;the
The Clash;Three Card Trick;wasteland
The Clash;Three Card Trick;torching
The Clash;Three Card Trick;two
The Clash;Three Card Trick;hundred
The Clash;Three Card Trick;years
The Clash;Three Card Trick;dragging
The Clash;Three Card Trick;my
The Clash;Three Card Trick;spirit
The Clash;Three Card Trick;back
The Clash;Three Card Trick;deep
The Clash;Three Card Trick;into
The Clash;Three Card Trick;the
The Clash;Three Card Trick;dungeon
The Clash;Three Card Trick;again
The Clash;Three Card Trick;bring
The Clash;Three Card Trick;back
The Clash;Three Card Trick;crucification
The Clash;Three Card Trick;cry
The Clash;Three Card Trick;the
The Clash;Three Card Trick;moral
The Clash;Three Card Trick;death
The Clash;Three Card Trick;head
The Clash;Three Card Trick;legion
The Clash;Three Card Trick;using
The Clash;Three Card Trick;steel
The Clash;Three Card Trick;nails
The Clash;Three Card Trick;manufactured
The Clash;Three Card Trick;by
The Clash;Three Card Trick;the
The Clash;Three Card Trick;slaves
The Clash;Three Card Trick;in
The Clash;Three Card Trick;asia
The Clash;Three Card Trick;you
The Clash;Three Card Trick;wont
The Clash;Three Card Trick;fall
The Clash;Three Card Trick;for
The Clash;Three Card Trick;that
The Clash;Three Card Trick;well
The Clash;Three Card Trick;law
The Clash;Three Card Trick;and
The Clash;Three Card Trick;order
The Clash;Three Card Trick;is
The Clash;Three Card Trick;a
The Clash;Three Card Trick;baton
The Clash;Three Card Trick;in
The Clash;Three Card Trick;the
The Clash;Three Card Trick;rib
The Clash;Three Card Trick;patriots
The Clash;Three Card Trick;of
The Clash;Three Card Trick;the
The Clash;Three Card Trick;wasteland
The Clash;Three Card Trick;torching
The Clash;Three Card Trick;two
The Clash;Three Card Trick;hundred
The Clash;Three Card Trick;years
The Clash;Three Card Trick;dragging
The Clash;Three Card Trick;my
The Clash;Three Card Trick;spirit
The Clash;Three Card Trick;back
The Clash;Three Card Trick;deep
The Clash;Three Card Trick;into
The Clash;Three Card Trick;the
The Clash;Three Card Trick;dungeon
The Clash;Three Card Trick;again
The Clash;Three Card Trick;bring
The Clash;Three Card Trick;back
The Clash;Three Card Trick;crucification
The Clash;Three Card Trick;cry
The Clash;Three Card Trick;the
The Clash;Three Card Trick;moral
The Clash;Three Card Trick;death
The Clash;Three Card Trick;head
The Clash;Three Card Trick;legion
The Clash;Three Card Trick;using
The Clash;Three Card Trick;steel
The Clash;Three Card Trick;nails
The Clash;Three Card Trick;manufactured
The Clash;Three Card Trick;by
The Clash;Three Card Trick;the
The Clash;Three Card Trick;slaves
The Clash;Three Card Trick;in
The Clash;Three Card Trick;asia
The Clash;Three Card Trick;you
The Clash;Three Card Trick;wont
The Clash;Three Card Trick;fall
The Clash;Three Card Trick;for
