artist_name;song_title;token
The Clash;Train In Vain;you
The Clash;Train In Vain;say
The Clash;Train In Vain;you
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;your
The Clash;Train In Vain;man
The Clash;Train In Vain;tell
The Clash;Train In Vain;me
The Clash;Train In Vain;something
The Clash;Train In Vain;i
The Clash;Train In Vain;don't
The Clash;Train In Vain;understand
The Clash;Train In Vain;you
The Clash;Train In Vain;said
The Clash;Train In Vain;you
The Clash;Train In Vain;loved
The Clash;Train In Vain;me
The Clash;Train In Vain;and
The Clash;Train In Vain;that
The Clash;Train In Vain;a
The Clash;Train In Vain;fact
The Clash;Train In Vain;and
The Clash;Train In Vain;then
The Clash;Train In Vain;you
The Clash;Train In Vain;left
The Clash;Train In Vain;me
The Clash;Train In Vain;said
The Clash;Train In Vain;you
The Clash;Train In Vain;felt
The Clash;Train In Vain;trapped
The Clash;Train In Vain;well
The Clash;Train In Vain;some
The Clash;Train In Vain;things
The Clash;Train In Vain;you
The Clash;Train In Vain;can't
The Clash;Train In Vain;explain
The Clash;Train In Vain;away
The Clash;Train In Vain;but
The Clash;Train In Vain;the
The Clash;Train In Vain;heart
The Clash;Train In Vain;aches
The Clash;Train In Vain;in
The Clash;Train In Vain;me
The Clash;Train In Vain;'til
The Clash;Train In Vain;this
The Clash;Train In Vain;day
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;not
The Clash;Train In Vain;at
The Clash;Train In Vain;all
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;way
The Clash;Train In Vain;all
The Clash;Train In Vain;the
The Clash;Train In Vain;times
The Clash;Train In Vain;you
The Clash;Train In Vain;say
The Clash;Train In Vain;you
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;your
The Clash;Train In Vain;man
The Clash;Train In Vain;tell
The Clash;Train In Vain;me
The Clash;Train In Vain;something
The Clash;Train In Vain;i
The Clash;Train In Vain;don't
The Clash;Train In Vain;understand
The Clash;Train In Vain;you
The Clash;Train In Vain;said
The Clash;Train In Vain;you
The Clash;Train In Vain;loved
The Clash;Train In Vain;me
The Clash;Train In Vain;and
The Clash;Train In Vain;that
The Clash;Train In Vain;a
The Clash;Train In Vain;fact
The Clash;Train In Vain;and
The Clash;Train In Vain;then
The Clash;Train In Vain;you
The Clash;Train In Vain;left
The Clash;Train In Vain;me
The Clash;Train In Vain;said
The Clash;Train In Vain;you
The Clash;Train In Vain;felt
The Clash;Train In Vain;trapped
The Clash;Train In Vain;well
The Clash;Train In Vain;some
The Clash;Train In Vain;things
The Clash;Train In Vain;you
The Clash;Train In Vain;can't
The Clash;Train In Vain;explain
The Clash;Train In Vain;away
The Clash;Train In Vain;but
The Clash;Train In Vain;the
The Clash;Train In Vain;heart
The Clash;Train In Vain;aches
The Clash;Train In Vain;in
The Clash;Train In Vain;me
The Clash;Train In Vain;'til
The Clash;Train In Vain;this
The Clash;Train In Vain;day
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;not
The Clash;Train In Vain;at
The Clash;Train In Vain;all
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;way
The Clash;Train In Vain;all
The Clash;Train In Vain;the
The Clash;Train In Vain;times
The Clash;Train In Vain;when
The Clash;Train In Vain;we
The Clash;Train In Vain;were
The Clash;Train In Vain;close
The Clash;Train In Vain;i'll
The Clash;Train In Vain;remember
The Clash;Train In Vain;these
The Clash;Train In Vain;things
The Clash;Train In Vain;the
The Clash;Train In Vain;most
The Clash;Train In Vain;i
The Clash;Train In Vain;see
The Clash;Train In Vain;all
The Clash;Train In Vain;my
The Clash;Train In Vain;dreams
The Clash;Train In Vain;come
The Clash;Train In Vain;tumbling
The Clash;Train In Vain;down
The Clash;Train In Vain;i
The Clash;Train In Vain;can't
The Clash;Train In Vain;be
The Clash;Train In Vain;happy
The Clash;Train In Vain;without
The Clash;Train In Vain;you
The Clash;Train In Vain;around
The Clash;Train In Vain;so
The Clash;Train In Vain;alone
The Clash;Train In Vain;i
The Clash;Train In Vain;keep
The Clash;Train In Vain;the
The Clash;Train In Vain;wolves
The Clash;Train In Vain;at
The Clash;Train In Vain;bay
The Clash;Train In Vain;and
The Clash;Train In Vain;there
The Clash;Train In Vain;is
The Clash;Train In Vain;only
The Clash;Train In Vain;one
The Clash;Train In Vain;thing
The Clash;Train In Vain;that
The Clash;Train In Vain;i
The Clash;Train In Vain;can
The Clash;Train In Vain;say
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;not
The Clash;Train In Vain;at
The Clash;Train In Vain;all
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;way
The Clash;Train In Vain;you
The Clash;Train In Vain;must
The Clash;Train In Vain;explain
The Clash;Train In Vain;why
The Clash;Train In Vain;this
The Clash;Train In Vain;must
The Clash;Train In Vain;be
The Clash;Train In Vain;did
The Clash;Train In Vain;you
The Clash;Train In Vain;lie
The Clash;Train In Vain;when
The Clash;Train In Vain;you
The Clash;Train In Vain;spoke
The Clash;Train In Vain;to
The Clash;Train In Vain;me
The Clash;Train In Vain;did
The Clash;Train In Vain;you
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;not
The Clash;Train In Vain;at
The Clash;Train In Vain;all
The Clash;Train In Vain;now
The Clash;Train In Vain;i
The Clash;Train In Vain;got
The Clash;Train In Vain;a
The Clash;Train In Vain;job
The Clash;Train In Vain;but
The Clash;Train In Vain;it
The Clash;Train In Vain;don't
The Clash;Train In Vain;pay
The Clash;Train In Vain;i
The Clash;Train In Vain;need
The Clash;Train In Vain;new
The Clash;Train In Vain;clothes
The Clash;Train In Vain;i
The Clash;Train In Vain;need
The Clash;Train In Vain;somewhere
The Clash;Train In Vain;to
The Clash;Train In Vain;stay
The Clash;Train In Vain;but
The Clash;Train In Vain;without
The Clash;Train In Vain;all
The Clash;Train In Vain;of
The Clash;Train In Vain;these
The Clash;Train In Vain;things
The Clash;Train In Vain;i
The Clash;Train In Vain;can
The Clash;Train In Vain;do
The Clash;Train In Vain;but
The Clash;Train In Vain;without
The Clash;Train In Vain;your
The Clash;Train In Vain;love
The Clash;Train In Vain;i
The Clash;Train In Vain;won't
The Clash;Train In Vain;make
The Clash;Train In Vain;it
The Clash;Train In Vain;through
The Clash;Train In Vain;but
The Clash;Train In Vain;you
The Clash;Train In Vain;don't
The Clash;Train In Vain;understand
The Clash;Train In Vain;my
The Clash;Train In Vain;point
The Clash;Train In Vain;of
The Clash;Train In Vain;view
The Clash;Train In Vain;i
The Clash;Train In Vain;suppose
The Clash;Train In Vain;there
The Clash;Train In Vain;nothing
The Clash;Train In Vain;i
The Clash;Train In Vain;can
The Clash;Train In Vain;do
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;not
The Clash;Train In Vain;at
The Clash;Train In Vain;all
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
The Clash;Train In Vain;stand
The Clash;Train In Vain;by
The Clash;Train In Vain;me
The Clash;Train In Vain;no
The Clash;Train In Vain;way
The Clash;Train In Vain;you
The Clash;Train In Vain;didn't
