artist_name;song_title;token
The Cure;Fire In Cairo;slowly
The Cure;Fire In Cairo;fading
The Cure;Fire In Cairo;blue
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;eastern
The Cure;Fire In Cairo;hollows
The Cure;Fire In Cairo;catch
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;dying
The Cure;Fire In Cairo;sun
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;night-time
The Cure;Fire In Cairo;follows
The Cure;Fire In Cairo;silence
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;black
The Cure;Fire In Cairo;mirror
The Cure;Fire In Cairo;pool
The Cure;Fire In Cairo;mirrors
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;lonely
The Cure;Fire In Cairo;place
The Cure;Fire In Cairo;where
The Cure;Fire In Cairo;i
The Cure;Fire In Cairo;meet
The Cure;Fire In Cairo;you
The Cure;Fire In Cairo;see
The Cure;Fire In Cairo;your
The Cure;Fire In Cairo;head
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;fading
The Cure;Fire In Cairo;light
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;through
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;dark
The Cure;Fire In Cairo;your
The Cure;Fire In Cairo;eyes
The Cure;Fire In Cairo;shine
The Cure;Fire In Cairo;bright
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;slowly
The Cure;Fire In Cairo;fading
The Cure;Fire In Cairo;blue
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;eastern
The Cure;Fire In Cairo;hollows
The Cure;Fire In Cairo;catch
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;dying
The Cure;Fire In Cairo;sun
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;night-time
The Cure;Fire In Cairo;follows
The Cure;Fire In Cairo;silence
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;black
The Cure;Fire In Cairo;mirror
The Cure;Fire In Cairo;pool
The Cure;Fire In Cairo;mirrors
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;lonely
The Cure;Fire In Cairo;place
The Cure;Fire In Cairo;where
The Cure;Fire In Cairo;i
The Cure;Fire In Cairo;meet
The Cure;Fire In Cairo;you
The Cure;Fire In Cairo;see
The Cure;Fire In Cairo;your
The Cure;Fire In Cairo;head
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;fading
The Cure;Fire In Cairo;light
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;through
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;dark
The Cure;Fire In Cairo;your
The Cure;Fire In Cairo;eyes
The Cure;Fire In Cairo;shine
The Cure;Fire In Cairo;bright
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;shifting
The Cure;Fire In Cairo;crimson
The Cure;Fire In Cairo;veil
The Cure;Fire In Cairo;silken
The Cure;Fire In Cairo;hips
The Cure;Fire In Cairo;slide
The Cure;Fire In Cairo;under
The Cure;Fire In Cairo;my
The Cure;Fire In Cairo;hand
The Cure;Fire In Cairo;solar
The Cure;Fire In Cairo;lips
The Cure;Fire In Cairo;whisper
The Cure;Fire In Cairo;my
The Cure;Fire In Cairo;name
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;i
The Cure;Fire In Cairo;yearn
The Cure;Fire In Cairo;you
The Cure;Fire In Cairo;take
The Cure;Fire In Cairo;me
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;your
The Cure;Fire In Cairo;arms
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;start
The Cure;Fire In Cairo;to
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c
The Cure;Fire In Cairo;-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;then
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;heat
The Cure;Fire In Cairo;disappears
The Cure;Fire In Cairo;and
The Cure;Fire In Cairo;the
The Cure;Fire In Cairo;mirage
The Cure;Fire In Cairo;fades
The Cure;Fire In Cairo;away
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;f-i-r-e-i-n-c-a-i-r-o
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;a
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;a
The Cure;Fire In Cairo;fire,
The Cure;Fire In Cairo;fire,
The Cure;Fire In Cairo;fire,
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;blaze
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;a
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
The Cure;Fire In Cairo;blaze
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;a
The Cure;Fire In Cairo;fire,
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;fire,
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;flare
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;burn
The Cure;Fire In Cairo;like
The Cure;Fire In Cairo;fire
The Cure;Fire In Cairo;in
The Cure;Fire In Cairo;cairo
