artist_name;song_title;token
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;love
The Cure;The Upstairs Room;it
The Cure;The Upstairs Room;all
The Cure;The Upstairs Room;these
The Cure;The Upstairs Room;games
The Cure;The Upstairs Room;we
The Cure;The Upstairs Room;play
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;close
The Cure;The Upstairs Room;my
The Cure;The Upstairs Room;eyes
The Cure;The Upstairs Room;you
The Cure;The Upstairs Room;run
The Cure;The Upstairs Room;away
The Cure;The Upstairs Room;i'm
The Cure;The Upstairs Room;sure
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;asked
The Cure;The Upstairs Room;you
The Cure;The Upstairs Room;to
The Cure;The Upstairs Room;stay
The Cure;The Upstairs Room;but
The Cure;The Upstairs Room;now
The Cure;The Upstairs Room;you're
The Cure;The Upstairs Room;gone
The Cure;The Upstairs Room;and
The Cure;The Upstairs Room;so
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;feel
The Cure;The Upstairs Room;the
The Cure;The Upstairs Room;grey
The Cure;The Upstairs Room;pulse
The Cure;The Upstairs Room;in
The Cure;The Upstairs Room;my
The Cure;The Upstairs Room;head
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;turn
The Cure;The Upstairs Room;off
The Cure;The Upstairs Room;the
The Cure;The Upstairs Room;lights
The Cure;The Upstairs Room;and
The Cure;The Upstairs Room;crawl
The Cure;The Upstairs Room;into
The Cure;The Upstairs Room;bed
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;try
The Cure;The Upstairs Room;to
The Cure;The Upstairs Room;think
The Cure;The Upstairs Room;of
The Cure;The Upstairs Room;sunshine
The Cure;The Upstairs Room;but
The Cure;The Upstairs Room;my
The Cure;The Upstairs Room;body
The Cure;The Upstairs Room;goes
The Cure;The Upstairs Room;wet
The Cure;The Upstairs Room;with
The Cure;The Upstairs Room;the
The Cure;The Upstairs Room;first
The Cure;The Upstairs Room;crash
The Cure;The Upstairs Room;of
The Cure;The Upstairs Room;thunder
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;don't
The Cure;The Upstairs Room;think
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;can
The Cure;The Upstairs Room;know
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;love
The Cure;The Upstairs Room;it
The Cure;The Upstairs Room;all
The Cure;The Upstairs Room;these
The Cure;The Upstairs Room;games
The Cure;The Upstairs Room;we
The Cure;The Upstairs Room;play
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;close
The Cure;The Upstairs Room;my
The Cure;The Upstairs Room;eyes
The Cure;The Upstairs Room;you
The Cure;The Upstairs Room;run
The Cure;The Upstairs Room;away
The Cure;The Upstairs Room;i'm
The Cure;The Upstairs Room;sure
The Cure;The Upstairs Room;i
The Cure;The Upstairs Room;asked
The Cure;The Upstairs Room;you
The Cure;The Upstairs Room;to
