artist_name;song_title;token
The Cure;Torture;i'm
The Cure;Torture;in
The Cure;Torture;the
The Cure;Torture;room
The Cure;Torture;without
The Cure;Torture;a
The Cure;Torture;light
The Cure;Torture;the
The Cure;Torture;room
The Cure;Torture;without
The Cure;Torture;a
The Cure;Torture;view
The Cure;Torture;i'm
The Cure;Torture;here
The Cure;Torture;for
The Cure;Torture;one
The Cure;Torture;more
The Cure;Torture;treacherous
The Cure;Torture;night
The Cure;Torture;another
The Cure;Torture;night
The Cure;Torture;with
The Cure;Torture;you
The Cure;Torture;it
The Cure;Torture;tortures
The Cure;Torture;me
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;my
The Cure;Torture;hands
The Cure;Torture;to
The Cure;Torture;try
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;at
The Cure;Torture;all
The Cure;Torture;and
The Cure;Torture;pulled
The Cure;Torture;my
The Cure;Torture;skin
The Cure;Torture;so
The Cure;Torture;tight
The Cure;Torture;it
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;pulls
The Cure;Torture;some
The Cure;Torture;more
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;like
The Cure;Torture;a
The Cure;Torture;vampire
The Cure;Torture;bat
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;i'm
The Cure;Torture;in
The Cure;Torture;the
The Cure;Torture;room
The Cure;Torture;without
The Cure;Torture;a
The Cure;Torture;light
The Cure;Torture;the
The Cure;Torture;room
The Cure;Torture;without
The Cure;Torture;a
The Cure;Torture;view
The Cure;Torture;i'm
The Cure;Torture;here
The Cure;Torture;for
The Cure;Torture;one
The Cure;Torture;more
The Cure;Torture;treacherous
The Cure;Torture;night
The Cure;Torture;another
The Cure;Torture;night
The Cure;Torture;with
The Cure;Torture;you
The Cure;Torture;it
The Cure;Torture;tortures
The Cure;Torture;me
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;my
The Cure;Torture;hands
The Cure;Torture;to
The Cure;Torture;try
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;at
The Cure;Torture;all
The Cure;Torture;and
The Cure;Torture;pulled
The Cure;Torture;my
The Cure;Torture;skin
The Cure;Torture;so
The Cure;Torture;tight
The Cure;Torture;it
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;pulls
The Cure;Torture;some
The Cure;Torture;more
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;like
The Cure;Torture;a
The Cure;Torture;vampire
The Cure;Torture;bat
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;hanging
The Cure;Torture;on
The Cure;Torture;your
The Cure;Torture;back
The Cure;Torture;i'm
The Cure;Torture;helpless
The Cure;Torture;again
The Cure;Torture;i'm
The Cure;Torture;helpless
The Cure;Torture;again
The Cure;Torture;my
The Cure;Torture;body
The Cure;Torture;is
The Cure;Torture;cut
The Cure;Torture;and
The Cure;Torture;broken
The Cure;Torture;it's
The Cure;Torture;shattered
The Cure;Torture;and
The Cure;Torture;sore
The Cure;Torture;my
The Cure;Torture;body
The Cure;Torture;is
The Cure;Torture;cut
The Cure;Torture;wide
The Cure;Torture;open
The Cure;Torture;i
The Cure;Torture;can't
The Cure;Torture;stand
The Cure;Torture;anymore
The Cure;Torture;it
The Cure;Torture;tortures
The Cure;Torture;me
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;my
The Cure;Torture;hands
The Cure;Torture;to
The Cure;Torture;try
The Cure;Torture;to
The Cure;Torture;move
The Cure;Torture;at
The Cure;Torture;all
The Cure;Torture;and
The Cure;Torture;pulled
The Cure;Torture;my
The Cure;Torture;skin
The Cure;Torture;so
The Cure;Torture;tight
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;and
The Cure;Torture;screams
The Cure;Torture;some
The Cure;Torture;more
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;like
The Cure;Torture;a
The Cure;Torture;vampire
The Cure;Torture;bat
The Cure;Torture;hanging
The Cure;Torture;like
The Cure;Torture;this
The Cure;Torture;hanging
The Cure;Torture;on
The Cure;Torture;your
The Cure;Torture;back
The Cure;Torture;oh
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;and
The Cure;Torture;i'm
The Cure;Torture;almost
The Cure;Torture;there
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;but
The Cure;Torture;i'm
The Cure;Torture;almost
The Cure;Torture;there
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;but
The Cure;Torture;i'm
The Cure;Torture;almost
The Cure;Torture;there
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;but
The Cure;Torture;i'm
The Cure;Torture;almost
The Cure;Torture;there
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;it's
The Cure;Torture;torture
The Cure;Torture;and
The Cure;Torture;i'm
The Cure;Torture;almost
The Cure;Torture;there
