artist_name;song_title;token
David Guetta;Crank It Up;she&#8217s
David Guetta;Crank It Up;the
David Guetta;Crank It Up;keys
David Guetta;Crank It Up;to
David Guetta;Crank It Up;my
David Guetta;Crank It Up;starter
David Guetta;Crank It Up;in
David Guetta;Crank It Up;my
David Guetta;Crank It Up;automatic
David Guetta;Crank It Up;car
David Guetta;Crank It Up;yeah
David Guetta;Crank It Up;she
David Guetta;Crank It Up;make
David Guetta;Crank It Up;me
David Guetta;Crank It Up;wanna
David Guetta;Crank It Up;go
David Guetta;Crank It Up;harder
David Guetta;Crank It Up;and
David Guetta;Crank It Up;she
David Guetta;Crank It Up;always
David Guetta;Crank It Up;lift
David Guetta;Crank It Up;the
David Guetta;Crank It Up;bar
David Guetta;Crank It Up;when
David Guetta;Crank It Up;she
David Guetta;Crank It Up;keep
David Guetta;Crank It Up;that
David Guetta;Crank It Up;spotlight
David Guetta;Crank It Up;glowing
David Guetta;Crank It Up;cause
David Guetta;Crank It Up;she
David Guetta;Crank It Up;is
David Guetta;Crank It Up;a
David Guetta;Crank It Up;superstar
David Guetta;Crank It Up;everybody
David Guetta;Crank It Up;notice
David Guetta;Crank It Up;this
David Guetta;Crank It Up;girl
David Guetta;Crank It Up;when
David Guetta;Crank It Up;she
David Guetta;Crank It Up;step
David Guetta;Crank It Up;up
David Guetta;Crank It Up;in
David Guetta;Crank It Up;the
David Guetta;Crank It Up;place
David Guetta;Crank It Up;whether
David Guetta;Crank It Up;near
David Guetta;Crank It Up;or
David Guetta;Crank It Up;far
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;she&#8217s
David Guetta;Crank It Up;the
David Guetta;Crank It Up;keys
David Guetta;Crank It Up;to
David Guetta;Crank It Up;my
David Guetta;Crank It Up;starter
David Guetta;Crank It Up;in
David Guetta;Crank It Up;my
David Guetta;Crank It Up;automatic
David Guetta;Crank It Up;car
David Guetta;Crank It Up;yeah
David Guetta;Crank It Up;she
David Guetta;Crank It Up;make
David Guetta;Crank It Up;me
David Guetta;Crank It Up;wanna
David Guetta;Crank It Up;go
David Guetta;Crank It Up;harder
David Guetta;Crank It Up;and
David Guetta;Crank It Up;she
David Guetta;Crank It Up;always
David Guetta;Crank It Up;lift
David Guetta;Crank It Up;the
David Guetta;Crank It Up;bar
David Guetta;Crank It Up;when
David Guetta;Crank It Up;she
David Guetta;Crank It Up;keep
David Guetta;Crank It Up;that
David Guetta;Crank It Up;spotlight
David Guetta;Crank It Up;glowing
David Guetta;Crank It Up;cause
David Guetta;Crank It Up;she
David Guetta;Crank It Up;is
David Guetta;Crank It Up;a
David Guetta;Crank It Up;superstar
David Guetta;Crank It Up;everybody
David Guetta;Crank It Up;notice
David Guetta;Crank It Up;this
David Guetta;Crank It Up;girl
David Guetta;Crank It Up;when
David Guetta;Crank It Up;she
David Guetta;Crank It Up;step
David Guetta;Crank It Up;up
David Guetta;Crank It Up;in
David Guetta;Crank It Up;the
David Guetta;Crank It Up;place
David Guetta;Crank It Up;whether
David Guetta;Crank It Up;near
David Guetta;Crank It Up;or
David Guetta;Crank It Up;far
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;cranks
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
David Guetta;Crank It Up;up
David Guetta;Crank It Up;the
David Guetta;Crank It Up;way
David Guetta;Crank It Up;she
David Guetta;Crank It Up;crank
David Guetta;Crank It Up;it
