artist_name;song_title;token
David Guetta;Dangerous;you
David Guetta;Dangerous;take
David Guetta;Dangerous;me
David Guetta;Dangerous;down
David Guetta;Dangerous;spin
David Guetta;Dangerous;me
David Guetta;Dangerous;around
David Guetta;Dangerous;you
David Guetta;Dangerous;got
David Guetta;Dangerous;me
David Guetta;Dangerous;running
David Guetta;Dangerous;all
David Guetta;Dangerous;the
David Guetta;Dangerous;lights
David Guetta;Dangerous;don't
David Guetta;Dangerous;make
David Guetta;Dangerous;a
David Guetta;Dangerous;sound
David Guetta;Dangerous;talk
David Guetta;Dangerous;to
David Guetta;Dangerous;me
David Guetta;Dangerous;now
David Guetta;Dangerous;let
David Guetta;Dangerous;me
David Guetta;Dangerous;inside
David Guetta;Dangerous;your
David Guetta;Dangerous;mind
David Guetta;Dangerous;i
David Guetta;Dangerous;don't
David Guetta;Dangerous;know
David Guetta;Dangerous;what
David Guetta;Dangerous;you're
David Guetta;Dangerous;thinking
David Guetta;Dangerous;sugar
David Guetta;Dangerous;but
David Guetta;Dangerous;i
David Guetta;Dangerous;just
David Guetta;Dangerous;got
David Guetta;Dangerous;that
David Guetta;Dangerous;feeling
David Guetta;Dangerous;sugar
David Guetta;Dangerous;and
David Guetta;Dangerous;i
David Guetta;Dangerous;can
David Guetta;Dangerous;hear
David Guetta;Dangerous;the
David Guetta;Dangerous;sirens
David Guetta;Dangerous;burning
David Guetta;Dangerous;red
David Guetta;Dangerous;lights
David Guetta;Dangerous;turning
David Guetta;Dangerous;i
David Guetta;Dangerous;can't
David Guetta;Dangerous;turn
David Guetta;Dangerous;back
David Guetta;Dangerous;now
David Guetta;Dangerous;so
David Guetta;Dangerous;hold
David Guetta;Dangerous;on
David Guetta;Dangerous;tight
David Guetta;Dangerous;you
David Guetta;Dangerous;take
David Guetta;Dangerous;me
David Guetta;Dangerous;down
David Guetta;Dangerous;spin
David Guetta;Dangerous;me
David Guetta;Dangerous;around
David Guetta;Dangerous;you
