artist_name;song_title;token
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;again
David Guetta;Get Up;back
David Guetta;Get Up;on
David Guetta;Get Up;your
David Guetta;Get Up;feet
David Guetta;Get Up;to
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;let
David Guetta;Get Up;nobody
David Guetta;Get Up;break
David Guetta;Get Up;you
David Guetta;Get Up;down
David Guetta;Get Up;oh
David Guetta;Get Up;don't
David Guetta;Get Up;get
David Guetta;Get Up;the
David Guetta;Get Up;passion
David Guetta;Get Up;control
David Guetta;Get Up;of
David Guetta;Get Up;your
David Guetta;Get Up;mind
David Guetta;Get Up;oh
David Guetta;Get Up;don't
David Guetta;Get Up;get
David Guetta;Get Up;frustration
David Guetta;Get Up;announce
David Guetta;Get Up;of
David Guetta;Get Up;your
David Guetta;Get Up;time
David Guetta;Get Up;and
David Guetta;Get Up;feel
David Guetta;Get Up;ebony
David Guetta;Get Up;your
David Guetta;Get Up;hopes
David Guetta;Get Up;to
David Guetta;Get Up;the
David Guetta;Get Up;crown
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;don't
David Guetta;Get Up;stop
David Guetta;Get Up;your
David Guetta;Get Up;cry
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;one
David Guetta;Get Up;more
David Guetta;Get Up;try
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;again
David Guetta;Get Up;back
David Guetta;Get Up;on
David Guetta;Get Up;your
David Guetta;Get Up;feet
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;again
David Guetta;Get Up;back
David Guetta;Get Up;on
David Guetta;Get Up;your
David Guetta;Get Up;feet
David Guetta;Get Up;to
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;let
David Guetta;Get Up;nobody
David Guetta;Get Up;break
David Guetta;Get Up;you
David Guetta;Get Up;down
David Guetta;Get Up;oh
David Guetta;Get Up;don't
David Guetta;Get Up;get
David Guetta;Get Up;the
David Guetta;Get Up;passion
David Guetta;Get Up;control
David Guetta;Get Up;of
David Guetta;Get Up;your
David Guetta;Get Up;mind
David Guetta;Get Up;oh
David Guetta;Get Up;don't
David Guetta;Get Up;get
David Guetta;Get Up;frustration
David Guetta;Get Up;announce
David Guetta;Get Up;of
David Guetta;Get Up;your
David Guetta;Get Up;time
David Guetta;Get Up;and
David Guetta;Get Up;feel
David Guetta;Get Up;ebony
David Guetta;Get Up;your
David Guetta;Get Up;hopes
David Guetta;Get Up;to
David Guetta;Get Up;the
David Guetta;Get Up;crown
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;don't
David Guetta;Get Up;stop
David Guetta;Get Up;your
David Guetta;Get Up;cry
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;one
David Guetta;Get Up;more
David Guetta;Get Up;try
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;again
David Guetta;Get Up;back
David Guetta;Get Up;on
David Guetta;Get Up;your
David Guetta;Get Up;feet
David Guetta;Get Up;to
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;let
David Guetta;Get Up;nobody
David Guetta;Get Up;break
David Guetta;Get Up;you
David Guetta;Get Up;down
David Guetta;Get Up;oh
David Guetta;Get Up;if
David Guetta;Get Up;you
David Guetta;Get Up;want
David Guetta;Get Up;it
David Guetta;Get Up;you
David Guetta;Get Up;got
David Guetta;Get Up;it
David Guetta;Get Up;you
David Guetta;Get Up;scour
David Guetta;Get Up;each
David Guetta;Get Up;feeling
David Guetta;Get Up;you
David Guetta;Get Up;can
David Guetta;Get Up;dream
David Guetta;Get Up;it
David Guetta;Get Up;believe
David Guetta;Get Up;it
David Guetta;Get Up;it
David Guetta;Get Up;got
David Guetta;Get Up;to
David Guetta;Get Up;be
David Guetta;Get Up;really
David Guetta;Get Up;and
David Guetta;Get Up;feel
David Guetta;Get Up;ebony
David Guetta;Get Up;your
David Guetta;Get Up;hopes
David Guetta;Get Up;to
David Guetta;Get Up;the
David Guetta;Get Up;crown
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;don't
David Guetta;Get Up;stop
David Guetta;Get Up;your
David Guetta;Get Up;cry
David Guetta;Get Up;and
David Guetta;Get Up;baby
David Guetta;Get Up;one
David Guetta;Get Up;more
David Guetta;Get Up;try
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;again
David Guetta;Get Up;back
David Guetta;Get Up;on
David Guetta;Get Up;your
David Guetta;Get Up;feet
David Guetta;Get Up;to
David Guetta;Get Up;get
David Guetta;Get Up;up
David Guetta;Get Up;don't
David Guetta;Get Up;let
David Guetta;Get Up;nobody
David Guetta;Get Up;break
David Guetta;Get Up;you
David Guetta;Get Up;down
David Guetta;Get Up;yeah
David Guetta;Get Up;yeah
David Guetta;Get Up;yeah
David Guetta;Get Up;ouhouh
David Guetta;Get Up;get
David Guetta;Get Up;up
