artist_name;song_title;token
David Guetta;Missing You;have
David Guetta;Missing You;you
David Guetta;Missing You;fuck
David Guetta;Missing You;up
David Guetta;Missing You;from
David Guetta;Missing You;the
David Guetta;Missing You;last
David Guetta;Missing You;time
David Guetta;Missing You;you
David Guetta;Missing You;think
David Guetta;Missing You;you
David Guetta;Missing You;got
David Guetta;Missing You;everyone
David Guetta;Missing You;figured
David Guetta;Missing You;out
David Guetta;Missing You;we
David Guetta;Missing You;are
David Guetta;Missing You;leavin'
David Guetta;Missing You;in
David Guetta;Missing You;a
David Guetta;Missing You;glass
David Guetta;Missing You;house
David Guetta;Missing You;'cause
David Guetta;Missing You;everything
David Guetta;Missing You;is
David Guetta;Missing You;shadowing
David Guetta;Missing You;all
David Guetta;Missing You;around
David Guetta;Missing You;now
David Guetta;Missing You;tell
David Guetta;Missing You;me
David Guetta;Missing You;what
David Guetta;Missing You;you
David Guetta;Missing You;mad
David Guetta;Missing You;about
David Guetta;Missing You;i'm
David Guetta;Missing You;tired
David Guetta;Missing You;of
David Guetta;Missing You;developing
David Guetta;Missing You;nonsense
David Guetta;Missing You;and
David Guetta;Missing You;if
David Guetta;Missing You;you
David Guetta;Missing You;were
David Guetta;Missing You;to
David Guetta;Missing You;leave
David Guetta;Missing You;me
David Guetta;Missing You;now
David Guetta;Missing You;i
David Guetta;Missing You;probably
David Guetta;Missing You;do
David Guetta;Missing You;nothing
David Guetta;Missing You;to
David Guetta;Missing You;stop
David Guetta;Missing You;it
David Guetta;Missing You;i
David Guetta;Missing You;won't
David Guetta;Missing You;be
David Guetta;Missing You;missing
David Guetta;Missing You;you
David Guetta;Missing You;anymore
David Guetta;Missing You;have
David Guetta;Missing You;you
David Guetta;Missing You;fuck
David Guetta;Missing You;up
David Guetta;Missing You;from
David Guetta;Missing You;the
David Guetta;Missing You;last
David Guetta;Missing You;time
David Guetta;Missing You;you
David Guetta;Missing You;think
David Guetta;Missing You;you
David Guetta;Missing You;got
David Guetta;Missing You;everyone
David Guetta;Missing You;figured
David Guetta;Missing You;out
David Guetta;Missing You;we
David Guetta;Missing You;are
David Guetta;Missing You;leavin'
David Guetta;Missing You;in
David Guetta;Missing You;a
David Guetta;Missing You;glass
David Guetta;Missing You;house
David Guetta;Missing You;'cause
David Guetta;Missing You;everything
David Guetta;Missing You;is
David Guetta;Missing You;shadowing
David Guetta;Missing You;all
David Guetta;Missing You;around
David Guetta;Missing You;now
David Guetta;Missing You;tell
David Guetta;Missing You;me
David Guetta;Missing You;what
David Guetta;Missing You;you
David Guetta;Missing You;mad
David Guetta;Missing You;about
David Guetta;Missing You;i'm
David Guetta;Missing You;tired
David Guetta;Missing You;of
David Guetta;Missing You;developing
