artist_name;song_title;token
Dolly Parton;Again;when
Dolly Parton;Again;life
Dolly Parton;Again;is
Dolly Parton;Again;good
Dolly Parton;Again;again
Dolly Parton;Again;i'll
Dolly Parton;Again;be
Dolly Parton;Again;a
Dolly Parton;Again;better
Dolly Parton;Again;friend
Dolly Parton;Again;a
Dolly Parton;Again;bigger
Dolly Parton;Again;person
Dolly Parton;Again;when
Dolly Parton;Again;life
Dolly Parton;Again;is
Dolly Parton;Again;good
Dolly Parton;Again;again
Dolly Parton;Again;more
Dolly Parton;Again;thoughtful
Dolly Parton;Again;than
Dolly Parton;Again;i've
Dolly Parton;Again;been
Dolly Parton;Again;i'll
Dolly Parton;Again;be
Dolly Parton;Again;so
Dolly Parton;Again;different
Dolly Parton;Again;then
Dolly Parton;Again;more
Dolly Parton;Again;in
Dolly Parton;Again;the
Dolly Parton;Again;moment
Dolly Parton;Again;when
Dolly Parton;Again;life
Dolly Parton;Again;is
Dolly Parton;Again;good
Dolly Parton;Again;again
Dolly Parton;Again;i'll
Dolly Parton;Again;open
Dolly Parton;Again;up
Dolly Parton;Again;my
Dolly Parton;Again;heart
Dolly Parton;Again;and
Dolly Parton;Again;let
Dolly Parton;Again;the
Dolly Parton;Again;whole
Dolly Parton;Again;world
Dolly Parton;Again;in
Dolly Parton;Again;i'll
Dolly Parton;Again;try
Dolly Parton;Again;to
Dolly Parton;Again;make
Dolly Parton;Again;amends
Dolly Parton;Again;when
Dolly Parton;Again;life
Dolly Parton;Again;is
Dolly Parton;Again;good
Dolly Parton;Again;again
Dolly Parton;Again;we've
Dolly Parton;Again;been
Dolly Parton;Again;brought
Dolly Parton;Again;to
Dolly Parton;Again;our
Dolly Parton;Again;knees
Dolly Parton;Again;when
Dolly Parton;Again;life
Dolly Parton;Again;is
Dolly Parton;Again;good
Dolly Parton;Again;again
Dolly Parton;Again;i'll
Dolly Parton;Again;be
Dolly Parton;Again;a
Dolly Parton;Again;better
Dolly Parton;Again;friend
Dolly Parton;Again;a
Dolly Parton;Again;bigger
Dolly Parton;Again;person
Dolly Parton;Again;when
Dolly Parton;Again;life
