artist_name;song_title;token
Dolly Parton;Baby Come Out Tonight;baby,
Dolly Parton;Baby Come Out Tonight;won't
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;come
Dolly Parton;Baby Come Out Tonight;out
Dolly Parton;Baby Come Out Tonight;tonight
Dolly Parton;Baby Come Out Tonight;just
Dolly Parton;Baby Come Out Tonight;come
Dolly Parton;Baby Come Out Tonight;up
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;hill
Dolly Parton;Baby Come Out Tonight;'cause
Dolly Parton;Baby Come Out Tonight;there's
Dolly Parton;Baby Come Out Tonight;a
Dolly Parton;Baby Come Out Tonight;full
Dolly Parton;Baby Come Out Tonight;moon
Dolly Parton;Baby Come Out Tonight;on
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;risin'
Dolly Parton;Baby Come Out Tonight;hey
Dolly Parton;Baby Come Out Tonight;baby,
Dolly Parton;Baby Come Out Tonight;can't
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;steal
Dolly Parton;Baby Come Out Tonight;away
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;know
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;really
Dolly Parton;Baby Come Out Tonight;need
Dolly Parton;Baby Come Out Tonight;to
Dolly Parton;Baby Come Out Tonight;see
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;tonight
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;just
Dolly Parton;Baby Come Out Tonight;got
Dolly Parton;Baby Come Out Tonight;word
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;was
Dolly Parton;Baby Come Out Tonight;packin'
Dolly Parton;Baby Come Out Tonight;it
Dolly Parton;Baby Come Out Tonight;in
Dolly Parton;Baby Come Out Tonight;what's
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;matter,
Dolly Parton;Baby Come Out Tonight;this
Dolly Parton;Baby Come Out Tonight;old
Dolly Parton;Baby Come Out Tonight;town
Dolly Parton;Baby Come Out Tonight;got
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;crazy
Dolly Parton;Baby Come Out Tonight;again
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;can
Dolly Parton;Baby Come Out Tonight;see
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;sad
Dolly Parton;Baby Come Out Tonight;look
Dolly Parton;Baby Come Out Tonight;in
Dolly Parton;Baby Come Out Tonight;your
Dolly Parton;Baby Come Out Tonight;eyes
Dolly Parton;Baby Come Out Tonight;baby,
Dolly Parton;Baby Come Out Tonight;won't
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;come
Dolly Parton;Baby Come Out Tonight;out
Dolly Parton;Baby Come Out Tonight;tonight
Dolly Parton;Baby Come Out Tonight;just
Dolly Parton;Baby Come Out Tonight;come
Dolly Parton;Baby Come Out Tonight;up
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;hill
Dolly Parton;Baby Come Out Tonight;'cause
Dolly Parton;Baby Come Out Tonight;there's
Dolly Parton;Baby Come Out Tonight;a
Dolly Parton;Baby Come Out Tonight;full
Dolly Parton;Baby Come Out Tonight;moon
Dolly Parton;Baby Come Out Tonight;on
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;risin'
Dolly Parton;Baby Come Out Tonight;hey
Dolly Parton;Baby Come Out Tonight;baby,
Dolly Parton;Baby Come Out Tonight;can't
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;steal
Dolly Parton;Baby Come Out Tonight;away
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;know
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;really
Dolly Parton;Baby Come Out Tonight;need
Dolly Parton;Baby Come Out Tonight;to
Dolly Parton;Baby Come Out Tonight;see
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;tonight
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;just
Dolly Parton;Baby Come Out Tonight;got
Dolly Parton;Baby Come Out Tonight;word
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;was
Dolly Parton;Baby Come Out Tonight;packin'
Dolly Parton;Baby Come Out Tonight;it
Dolly Parton;Baby Come Out Tonight;in
Dolly Parton;Baby Come Out Tonight;what's
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;matter,
Dolly Parton;Baby Come Out Tonight;this
Dolly Parton;Baby Come Out Tonight;old
Dolly Parton;Baby Come Out Tonight;town
Dolly Parton;Baby Come Out Tonight;got
Dolly Parton;Baby Come Out Tonight;you
Dolly Parton;Baby Come Out Tonight;crazy
Dolly Parton;Baby Come Out Tonight;again
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;can
Dolly Parton;Baby Come Out Tonight;see
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;sad
Dolly Parton;Baby Come Out Tonight;look
Dolly Parton;Baby Come Out Tonight;in
Dolly Parton;Baby Come Out Tonight;your
Dolly Parton;Baby Come Out Tonight;eyes
Dolly Parton;Baby Come Out Tonight;but
Dolly Parton;Baby Come Out Tonight;i
Dolly Parton;Baby Come Out Tonight;don't
Dolly Parton;Baby Come Out Tonight;know
Dolly Parton;Baby Come Out Tonight;how
Dolly Parton;Baby Come Out Tonight;to
Dolly Parton;Baby Come Out Tonight;say
Dolly Parton;Baby Come Out Tonight;goodbye
Dolly Parton;Baby Come Out Tonight;and
Dolly Parton;Baby Come Out Tonight;tomorrow,
Dolly Parton;Baby Come Out Tonight;you're
Dolly Parton;Baby Come Out Tonight;gonna
Dolly Parton;Baby Come Out Tonight;have
Dolly Parton;Baby Come Out Tonight;your
Dolly Parton;Baby Come Out Tonight;day
Dolly Parton;Baby Come Out Tonight;take
Dolly Parton;Baby Come Out Tonight;your
Dolly Parton;Baby Come Out Tonight;wife
Dolly Parton;Baby Come Out Tonight;and
Dolly Parton;Baby Come Out Tonight;you're
Dolly Parton;Baby Come Out Tonight;gonna
Dolly Parton;Baby Come Out Tonight;run
Dolly Parton;Baby Come Out Tonight;away
Dolly Parton;Baby Come Out Tonight;baby,
Dolly Parton;Baby Come Out Tonight;while
Dolly Parton;Baby Come Out Tonight;i'm
Dolly Parton;Baby Come Out Tonight;wailin'
Dolly Parton;Baby Come Out Tonight;you'll
Dolly Parton;Baby Come Out Tonight;be
Dolly Parton;Baby Come Out Tonight;sailin'
Dolly Parton;Baby Come Out Tonight;like
Dolly Parton;Baby Come Out Tonight;a
Dolly Parton;Baby Come Out Tonight;hog
Dolly Parton;Baby Come Out Tonight;across
Dolly Parton;Baby Come Out Tonight;the
Dolly Parton;Baby Come Out Tonight;bay
Dolly Parton;Baby Come Out Tonight;singin'
Dolly Parton;Baby Come Out Tonight;ooo,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la,
Dolly Parton;Baby Come Out Tonight;la
