artist_name;song_title;token
Dolly Parton;Ballad Of The Green Beret;fighting
Dolly Parton;Ballad Of The Green Beret;soldiers
Dolly Parton;Ballad Of The Green Beret;from
Dolly Parton;Ballad Of The Green Beret;the
Dolly Parton;Ballad Of The Green Beret;sky
Dolly Parton;Ballad Of The Green Beret;fearless
Dolly Parton;Ballad Of The Green Beret;men
Dolly Parton;Ballad Of The Green Beret;who
Dolly Parton;Ballad Of The Green Beret;jump
Dolly Parton;Ballad Of The Green Beret;and
Dolly Parton;Ballad Of The Green Beret;die
Dolly Parton;Ballad Of The Green Beret;men
Dolly Parton;Ballad Of The Green Beret;who
Dolly Parton;Ballad Of The Green Beret;mean
Dolly Parton;Ballad Of The Green Beret;just
Dolly Parton;Ballad Of The Green Beret;what
Dolly Parton;Ballad Of The Green Beret;they
Dolly Parton;Ballad Of The Green Beret;say
Dolly Parton;Ballad Of The Green Beret;the
Dolly Parton;Ballad Of The Green Beret;brave
Dolly Parton;Ballad Of The Green Beret;men
Dolly Parton;Ballad Of The Green Beret;of
Dolly Parton;Ballad Of The Green Beret;the
Dolly Parton;Ballad Of The Green Beret;green
Dolly Parton;Ballad Of The Green Beret;beret
Dolly Parton;Ballad Of The Green Beret;silver
Dolly Parton;Ballad Of The Green Beret;wings
Dolly Parton;Ballad Of The Green Beret;upon
Dolly Parton;Ballad Of The Green Beret;their
Dolly Parton;Ballad Of The Green Beret;chests
Dolly Parton;Ballad Of The Green Beret;these
Dolly Parton;Ballad Of The Green Beret;are
Dolly Parton;Ballad Of The Green Beret;men,
Dolly Parton;Ballad Of The Green Beret;america's
Dolly Parton;Ballad Of The Green Beret;best
Dolly Parton;Ballad Of The Green Beret;one
Dolly Parton;Ballad Of The Green Beret;hundred
Dolly Parton;Ballad Of The Green Beret;men
Dolly Parton;Ballad Of The Green Beret;will
Dolly Parton;Ballad Of The Green Beret;test
Dolly Parton;Ballad Of The Green Beret;today
Dolly Parton;Ballad Of The Green Beret;but
Dolly Parton;Ballad Of The Green Beret;only
Dolly Parton;Ballad Of The Green Beret;three
Dolly Parton;Ballad Of The Green Beret;win
Dolly Parton;Ballad Of The Green Beret;the
Dolly Parton;Ballad Of The Green Beret;green
Dolly Parton;Ballad Of The Green Beret;beret
Dolly Parton;Ballad Of The Green Beret;they're
Dolly Parton;Ballad Of The Green Beret;trained
Dolly Parton;Ballad Of The Green Beret;to
Dolly Parton;Ballad Of The Green Beret;live
Dolly Parton;Ballad Of The Green Beret;off
Dolly Parton;Ballad Of The Green Beret;natures
Dolly Parton;Ballad Of The Green Beret;land
Dolly Parton;Ballad Of The Green Beret;fighting
Dolly Parton;Ballad Of The Green Beret;soldiers
Dolly Parton;Ballad Of The Green Beret;from
Dolly Parton;Ballad Of The Green Beret;the
