artist_name;song_title;token
Dolly Parton;Cologne;you
Dolly Parton;Cologne;ask
Dolly Parton;Cologne;me
Dolly Parton;Cologne;not
Dolly Parton;Cologne;to
Dolly Parton;Cologne;wear
Dolly Parton;Cologne;cologne
Dolly Parton;Cologne;she'll
Dolly Parton;Cologne;know
Dolly Parton;Cologne;you've
Dolly Parton;Cologne;been
Dolly Parton;Cologne;with
Dolly Parton;Cologne;me
Dolly Parton;Cologne;alone
Dolly Parton;Cologne;and
Dolly Parton;Cologne;you
Dolly Parton;Cologne;can't
Dolly Parton;Cologne;take
Dolly Parton;Cologne;our
Dolly Parton;Cologne;secret
Dolly Parton;Cologne;home
Dolly Parton;Cologne;so
Dolly Parton;Cologne;you
Dolly Parton;Cologne;ask
Dolly Parton;Cologne;me
Dolly Parton;Cologne;not
Dolly Parton;Cologne;to
Dolly Parton;Cologne;wear
Dolly Parton;Cologne;cologne
Dolly Parton;Cologne;you
Dolly Parton;Cologne;can
Dolly Parton;Cologne;wipe
Dolly Parton;Cologne;the
Dolly Parton;Cologne;makeup
Dolly Parton;Cologne;off
Dolly Parton;Cologne;the
Dolly Parton;Cologne;lipstick
Dolly Parton;Cologne;or
Dolly Parton;Cologne;a
Dolly Parton;Cologne;little
Dolly Parton;Cologne;gloss
Dolly Parton;Cologne;but
Dolly Parton;Cologne;fragrance
Dolly Parton;Cologne;lingers
Dolly Parton;Cologne;on
Dolly Parton;Cologne;and
Dolly Parton;Cologne;on
Dolly Parton;Cologne;so
Dolly Parton;Cologne;you
Dolly Parton;Cologne;ask
Dolly Parton;Cologne;me
Dolly Parton;Cologne;not
Dolly Parton;Cologne;to
Dolly Parton;Cologne;wear
Dolly Parton;Cologne;cologne
Dolly Parton;Cologne;you
Dolly Parton;Cologne;ask
Dolly Parton;Cologne;me
Dolly Parton;Cologne;not
Dolly Parton;Cologne;to
Dolly Parton;Cologne;wear
Dolly Parton;Cologne;cologne
Dolly Parton;Cologne;she'll
Dolly Parton;Cologne;know
Dolly Parton;Cologne;you've
Dolly Parton;Cologne;been
Dolly Parton;Cologne;with
Dolly Parton;Cologne;me
Dolly Parton;Cologne;alone
Dolly Parton;Cologne;and
Dolly Parton;Cologne;you
Dolly Parton;Cologne;can't
Dolly Parton;Cologne;take
Dolly Parton;Cologne;our
Dolly Parton;Cologne;secret
Dolly Parton;Cologne;home
Dolly Parton;Cologne;so
Dolly Parton;Cologne;you
Dolly Parton;Cologne;ask
Dolly Parton;Cologne;me
Dolly Parton;Cologne;not
Dolly Parton;Cologne;to
Dolly Parton;Cologne;wear
Dolly Parton;Cologne;cologne
Dolly Parton;Cologne;you
Dolly Parton;Cologne;can
