artist_name;song_title;token
Dolly Parton;Do I Ever Cross Your Mind;sometimes
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;go
Dolly Parton;Do I Ever Cross Your Mind;walkin'
Dolly Parton;Do I Ever Cross Your Mind;through
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;fields
Dolly Parton;Do I Ever Cross Your Mind;where
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;walked
Dolly Parton;Do I Ever Cross Your Mind;long
Dolly Parton;Do I Ever Cross Your Mind;ago
Dolly Parton;Do I Ever Cross Your Mind;in
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;sweet
Dolly Parton;Do I Ever Cross Your Mind;used-to-be
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;flowers
Dolly Parton;Do I Ever Cross Your Mind;still
Dolly Parton;Do I Ever Cross Your Mind;grow
Dolly Parton;Do I Ever Cross Your Mind;but
Dolly Parton;Do I Ever Cross Your Mind;they
Dolly Parton;Do I Ever Cross Your Mind;don't
Dolly Parton;Do I Ever Cross Your Mind;smell
Dolly Parton;Do I Ever Cross Your Mind;as
Dolly Parton;Do I Ever Cross Your Mind;sweet
Dolly Parton;Do I Ever Cross Your Mind;as
Dolly Parton;Do I Ever Cross Your Mind;they
Dolly Parton;Do I Ever Cross Your Mind;did
Dolly Parton;Do I Ever Cross Your Mind;when
Dolly Parton;Do I Ever Cross Your Mind;you
Dolly Parton;Do I Ever Cross Your Mind;picked
Dolly Parton;Do I Ever Cross Your Mind;them
Dolly Parton;Do I Ever Cross Your Mind;for
Dolly Parton;Do I Ever Cross Your Mind;me
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;when
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;think
Dolly Parton;Do I Ever Cross Your Mind;of
Dolly Parton;Do I Ever Cross Your Mind;you
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;love
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;once
Dolly Parton;Do I Ever Cross Your Mind;knew
Dolly Parton;Do I Ever Cross Your Mind;how
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;wish
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;could
Dolly Parton;Do I Ever Cross Your Mind;go
Dolly Parton;Do I Ever Cross Your Mind;back
Dolly Parton;Do I Ever Cross Your Mind;in
Dolly Parton;Do I Ever Cross Your Mind;time
Dolly Parton;Do I Ever Cross Your Mind;sometimes
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;go
Dolly Parton;Do I Ever Cross Your Mind;walkin'
Dolly Parton;Do I Ever Cross Your Mind;through
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;fields
Dolly Parton;Do I Ever Cross Your Mind;where
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;walked
Dolly Parton;Do I Ever Cross Your Mind;long
Dolly Parton;Do I Ever Cross Your Mind;ago
Dolly Parton;Do I Ever Cross Your Mind;in
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;sweet
Dolly Parton;Do I Ever Cross Your Mind;used-to-be
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;flowers
Dolly Parton;Do I Ever Cross Your Mind;still
Dolly Parton;Do I Ever Cross Your Mind;grow
Dolly Parton;Do I Ever Cross Your Mind;but
Dolly Parton;Do I Ever Cross Your Mind;they
Dolly Parton;Do I Ever Cross Your Mind;don't
Dolly Parton;Do I Ever Cross Your Mind;smell
Dolly Parton;Do I Ever Cross Your Mind;as
Dolly Parton;Do I Ever Cross Your Mind;sweet
Dolly Parton;Do I Ever Cross Your Mind;as
Dolly Parton;Do I Ever Cross Your Mind;they
Dolly Parton;Do I Ever Cross Your Mind;did
Dolly Parton;Do I Ever Cross Your Mind;when
Dolly Parton;Do I Ever Cross Your Mind;you
Dolly Parton;Do I Ever Cross Your Mind;picked
Dolly Parton;Do I Ever Cross Your Mind;them
Dolly Parton;Do I Ever Cross Your Mind;for
Dolly Parton;Do I Ever Cross Your Mind;me
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;when
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;think
Dolly Parton;Do I Ever Cross Your Mind;of
Dolly Parton;Do I Ever Cross Your Mind;you
Dolly Parton;Do I Ever Cross Your Mind;and
Dolly Parton;Do I Ever Cross Your Mind;the
Dolly Parton;Do I Ever Cross Your Mind;love
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;once
Dolly Parton;Do I Ever Cross Your Mind;knew
Dolly Parton;Do I Ever Cross Your Mind;how
Dolly Parton;Do I Ever Cross Your Mind;i
Dolly Parton;Do I Ever Cross Your Mind;wish
Dolly Parton;Do I Ever Cross Your Mind;we
Dolly Parton;Do I Ever Cross Your Mind;could
Dolly Parton;Do I Ever Cross Your Mind;go
Dolly Parton;Do I Ever Cross Your Mind;back
Dolly Parton;Do I Ever Cross Your Mind;in
