artist_name;song_title;token
Dolly Parton;Heaven's Just A Prayer Away;if
Dolly Parton;Heaven's Just A Prayer Away;you're
Dolly Parton;Heaven's Just A Prayer Away;trying
Dolly Parton;Heaven's Just A Prayer Away;to
Dolly Parton;Heaven's Just A Prayer Away;reach
Dolly Parton;Heaven's Just A Prayer Away;heaven
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;talk
Dolly Parton;Heaven's Just A Prayer Away;to
Dolly Parton;Heaven's Just A Prayer Away;jesus,
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;talk
Dolly Parton;Heaven's Just A Prayer Away;to
Dolly Parton;Heaven's Just A Prayer Away;him
Dolly Parton;Heaven's Just A Prayer Away;every
Dolly Parton;Heaven's Just A Prayer Away;day
Dolly Parton;Heaven's Just A Prayer Away;'cause
Dolly Parton;Heaven's Just A Prayer Away;jesus
Dolly Parton;Heaven's Just A Prayer Away;knows,
Dolly Parton;Heaven's Just A Prayer Away;he
Dolly Parton;Heaven's Just A Prayer Away;knows
Dolly Parton;Heaven's Just A Prayer Away;that
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;are
Dolly Parton;Heaven's Just A Prayer Away;coming
Dolly Parton;Heaven's Just A Prayer Away;and
Dolly Parton;Heaven's Just A Prayer Away;heaven's
Dolly Parton;Heaven's Just A Prayer Away;just
Dolly Parton;Heaven's Just A Prayer Away;a
Dolly Parton;Heaven's Just A Prayer Away;prayer
Dolly Parton;Heaven's Just A Prayer Away;away
Dolly Parton;Heaven's Just A Prayer Away;now
Dolly Parton;Heaven's Just A Prayer Away;if
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;go,
Dolly Parton;Heaven's Just A Prayer Away;if
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;go
Dolly Parton;Heaven's Just A Prayer Away;to
Dolly Parton;Heaven's Just A Prayer Away;church
Dolly Parton;Heaven's Just A Prayer Away;on
Dolly Parton;Heaven's Just A Prayer Away;sunday
Dolly Parton;Heaven's Just A Prayer Away;you
Dolly Parton;Heaven's Just A Prayer Away;get
Dolly Parton;Heaven's Just A Prayer Away;down
