artist_name;song_title;token
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;i
Dolly Parton;Hey, Lucky Lady;was
Dolly Parton;Hey, Lucky Lady;once
Dolly Parton;Hey, Lucky Lady;the
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady
Dolly Parton;Hey, Lucky Lady;i
Dolly Parton;Hey, Lucky Lady;was
Dolly Parton;Hey, Lucky Lady;happy
Dolly Parton;Hey, Lucky Lady;with
Dolly Parton;Hey, Lucky Lady;my
Dolly Parton;Hey, Lucky Lady;baby,
Dolly Parton;Hey, Lucky Lady;i
Dolly Parton;Hey, Lucky Lady;was
Dolly Parton;Hey, Lucky Lady;such
Dolly Parton;Hey, Lucky Lady;a
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady
Dolly Parton;Hey, Lucky Lady;hey,
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;you
Dolly Parton;Hey, Lucky Lady;are
Dolly Parton;Hey, Lucky Lady;now
Dolly Parton;Hey, Lucky Lady;the
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady
Dolly Parton;Hey, Lucky Lady;are
Dolly Parton;Hey, Lucky Lady;you
Dolly Parton;Hey, Lucky Lady;happy
Dolly Parton;Hey, Lucky Lady;with
Dolly Parton;Hey, Lucky Lady;my
Dolly Parton;Hey, Lucky Lady;baby,
Dolly Parton;Hey, Lucky Lady;you
Dolly Parton;Hey, Lucky Lady;know
Dolly Parton;Hey, Lucky Lady;you're
Dolly Parton;Hey, Lucky Lady;a
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;you
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady
Dolly Parton;Hey, Lucky Lady;lucky
Dolly Parton;Hey, Lucky Lady;lady,
Dolly Parton;Hey, Lucky Lady;that's
Dolly Parton;Hey, Lucky Lady;what
Dolly Parton;Hey, Lucky Lady;i
Dolly Parton;Hey, Lucky Lady;was,
Dolly Parton;Hey, Lucky Lady;i
Dolly Parton;Hey, Lucky Lady;was
