artist_name;song_title;token
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;there's
Dolly Parton;Imagine;no
Dolly Parton;Imagine;heaven
Dolly Parton;Imagine;it's
Dolly Parton;Imagine;easy
Dolly Parton;Imagine;if
Dolly Parton;Imagine;you
Dolly Parton;Imagine;try
Dolly Parton;Imagine;no
Dolly Parton;Imagine;hell
Dolly Parton;Imagine;below
Dolly Parton;Imagine;us
Dolly Parton;Imagine;above
Dolly Parton;Imagine;us
Dolly Parton;Imagine;only
Dolly Parton;Imagine;sky
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;all
Dolly Parton;Imagine;the
Dolly Parton;Imagine;people
Dolly Parton;Imagine;living
Dolly Parton;Imagine;for
Dolly Parton;Imagine;today
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;there's
Dolly Parton;Imagine;no
Dolly Parton;Imagine;countries
Dolly Parton;Imagine;it
Dolly Parton;Imagine;isn't
Dolly Parton;Imagine;hard
Dolly Parton;Imagine;to
Dolly Parton;Imagine;do
Dolly Parton;Imagine;nothing
Dolly Parton;Imagine;to
Dolly Parton;Imagine;kill
Dolly Parton;Imagine;or
Dolly Parton;Imagine;die
Dolly Parton;Imagine;for
Dolly Parton;Imagine;and
Dolly Parton;Imagine;no
Dolly Parton;Imagine;religion
Dolly Parton;Imagine;too
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;all
Dolly Parton;Imagine;the
Dolly Parton;Imagine;people
Dolly Parton;Imagine;living
Dolly Parton;Imagine;life
Dolly Parton;Imagine;in
Dolly Parton;Imagine;peace,
Dolly Parton;Imagine;you
Dolly Parton;Imagine;you
Dolly Parton;Imagine;may
Dolly Parton;Imagine;say
Dolly Parton;Imagine;i'm
Dolly Parton;Imagine;a
Dolly Parton;Imagine;dreamer
Dolly Parton;Imagine;but
Dolly Parton;Imagine;i'm
Dolly Parton;Imagine;not
Dolly Parton;Imagine;the
Dolly Parton;Imagine;only
Dolly Parton;Imagine;one
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;there's
Dolly Parton;Imagine;no
Dolly Parton;Imagine;heaven
Dolly Parton;Imagine;it's
Dolly Parton;Imagine;easy
Dolly Parton;Imagine;if
Dolly Parton;Imagine;you
Dolly Parton;Imagine;try
Dolly Parton;Imagine;no
Dolly Parton;Imagine;hell
Dolly Parton;Imagine;below
Dolly Parton;Imagine;us
Dolly Parton;Imagine;above
Dolly Parton;Imagine;us
Dolly Parton;Imagine;only
Dolly Parton;Imagine;sky
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;all
Dolly Parton;Imagine;the
Dolly Parton;Imagine;people
Dolly Parton;Imagine;living
Dolly Parton;Imagine;for
Dolly Parton;Imagine;today
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;there's
Dolly Parton;Imagine;no
Dolly Parton;Imagine;countries
Dolly Parton;Imagine;it
Dolly Parton;Imagine;isn't
Dolly Parton;Imagine;hard
Dolly Parton;Imagine;to
Dolly Parton;Imagine;do
Dolly Parton;Imagine;nothing
Dolly Parton;Imagine;to
Dolly Parton;Imagine;kill
Dolly Parton;Imagine;or
Dolly Parton;Imagine;die
Dolly Parton;Imagine;for
Dolly Parton;Imagine;and
Dolly Parton;Imagine;no
Dolly Parton;Imagine;religion
Dolly Parton;Imagine;too
Dolly Parton;Imagine;imagine
Dolly Parton;Imagine;all
Dolly Parton;Imagine;the
Dolly Parton;Imagine;people
