artist_name;song_title;token
Dolly Parton;In The Ghetto;as
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;snow
Dolly Parton;In The Ghetto;flies
Dolly Parton;In The Ghetto;on
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;cold
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;gray
Dolly Parton;In The Ghetto;chicago
Dolly Parton;In The Ghetto;mornin'
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;poor
Dolly Parton;In The Ghetto;little
Dolly Parton;In The Ghetto;baby
Dolly Parton;In The Ghetto;child
Dolly Parton;In The Ghetto;is
Dolly Parton;In The Ghetto;born
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;his
Dolly Parton;In The Ghetto;mama
Dolly Parton;In The Ghetto;cries
Dolly Parton;In The Ghetto;'cause
Dolly Parton;In The Ghetto;if
Dolly Parton;In The Ghetto;there's
Dolly Parton;In The Ghetto;one
Dolly Parton;In The Ghetto;thing
Dolly Parton;In The Ghetto;that
Dolly Parton;In The Ghetto;she
Dolly Parton;In The Ghetto;don't
Dolly Parton;In The Ghetto;need
Dolly Parton;In The Ghetto;it's
Dolly Parton;In The Ghetto;another
Dolly Parton;In The Ghetto;hungry
Dolly Parton;In The Ghetto;mouth
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;feed
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;people,
Dolly Parton;In The Ghetto;don't
Dolly Parton;In The Ghetto;you
Dolly Parton;In The Ghetto;understand
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;child
Dolly Parton;In The Ghetto;needs
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;helping
Dolly Parton;In The Ghetto;hand
Dolly Parton;In The Ghetto;as
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;snow
Dolly Parton;In The Ghetto;flies
Dolly Parton;In The Ghetto;on
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;cold
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;gray
Dolly Parton;In The Ghetto;chicago
Dolly Parton;In The Ghetto;mornin'
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;poor
Dolly Parton;In The Ghetto;little
Dolly Parton;In The Ghetto;baby
Dolly Parton;In The Ghetto;child
Dolly Parton;In The Ghetto;is
Dolly Parton;In The Ghetto;born
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;his
Dolly Parton;In The Ghetto;mama
Dolly Parton;In The Ghetto;cries
Dolly Parton;In The Ghetto;'cause
Dolly Parton;In The Ghetto;if
Dolly Parton;In The Ghetto;there's
Dolly Parton;In The Ghetto;one
Dolly Parton;In The Ghetto;thing
Dolly Parton;In The Ghetto;that
Dolly Parton;In The Ghetto;she
Dolly Parton;In The Ghetto;don't
Dolly Parton;In The Ghetto;need
Dolly Parton;In The Ghetto;it's
Dolly Parton;In The Ghetto;another
Dolly Parton;In The Ghetto;hungry
Dolly Parton;In The Ghetto;mouth
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;feed
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;people,
Dolly Parton;In The Ghetto;don't
Dolly Parton;In The Ghetto;you
Dolly Parton;In The Ghetto;understand
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;child
Dolly Parton;In The Ghetto;needs
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;helping
Dolly Parton;In The Ghetto;hand
Dolly Parton;In The Ghetto;or
Dolly Parton;In The Ghetto;he'll
Dolly Parton;In The Ghetto;grow
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;be
Dolly Parton;In The Ghetto;an
Dolly Parton;In The Ghetto;angry
Dolly Parton;In The Ghetto;young
Dolly Parton;In The Ghetto;man
Dolly Parton;In The Ghetto;some
Dolly Parton;In The Ghetto;day
Dolly Parton;In The Ghetto;take
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;look
Dolly Parton;In The Ghetto;at
Dolly Parton;In The Ghetto;you
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;me
Dolly Parton;In The Ghetto;are
Dolly Parton;In The Ghetto;we
Dolly Parton;In The Ghetto;too
Dolly Parton;In The Ghetto;blind
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;see
Dolly Parton;In The Ghetto;do
Dolly Parton;In The Ghetto;we
Dolly Parton;In The Ghetto;simply
Dolly Parton;In The Ghetto;turn
Dolly Parton;In The Ghetto;our
Dolly Parton;In The Ghetto;heads
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;look
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;other
Dolly Parton;In The Ghetto;way
Dolly Parton;In The Ghetto;well
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;world
Dolly Parton;In The Ghetto;turns
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;hungry
Dolly Parton;In The Ghetto;little
Dolly Parton;In The Ghetto;boy
Dolly Parton;In The Ghetto;with
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;runny
Dolly Parton;In The Ghetto;nose
Dolly Parton;In The Ghetto;plays
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;street
Dolly Parton;In The Ghetto;as
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;cold
Dolly Parton;In The Ghetto;wind
Dolly Parton;In The Ghetto;blows
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;his
Dolly Parton;In The Ghetto;hunger
Dolly Parton;In The Ghetto;burns
Dolly Parton;In The Ghetto;so
Dolly Parton;In The Ghetto;he
Dolly Parton;In The Ghetto;starts
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;roam
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;streets
Dolly Parton;In The Ghetto;at
Dolly Parton;In The Ghetto;night
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;he
Dolly Parton;In The Ghetto;learns
Dolly Parton;In The Ghetto;how
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;steal
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;he
Dolly Parton;In The Ghetto;learns
Dolly Parton;In The Ghetto;how
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;fight
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;then
Dolly Parton;In The Ghetto;one
Dolly Parton;In The Ghetto;night
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;desperation
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;young
Dolly Parton;In The Ghetto;man
Dolly Parton;In The Ghetto;breaks
Dolly Parton;In The Ghetto;away
Dolly Parton;In The Ghetto;he
Dolly Parton;In The Ghetto;buys
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;gun,
Dolly Parton;In The Ghetto;steals
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;car
Dolly Parton;In The Ghetto;tries
Dolly Parton;In The Ghetto;to
Dolly Parton;In The Ghetto;run,
Dolly Parton;In The Ghetto;but
Dolly Parton;In The Ghetto;he
Dolly Parton;In The Ghetto;don't
Dolly Parton;In The Ghetto;get
Dolly Parton;In The Ghetto;far
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;his
Dolly Parton;In The Ghetto;mama
Dolly Parton;In The Ghetto;cries
Dolly Parton;In The Ghetto;as
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;crowd
Dolly Parton;In The Ghetto;gathers
Dolly Parton;In The Ghetto;'round
Dolly Parton;In The Ghetto;an
Dolly Parton;In The Ghetto;angry
Dolly Parton;In The Ghetto;young
Dolly Parton;In The Ghetto;man
Dolly Parton;In The Ghetto;face
Dolly Parton;In The Ghetto;down
Dolly Parton;In The Ghetto;on
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;street
Dolly Parton;In The Ghetto;with
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;gun
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;his
Dolly Parton;In The Ghetto;hand
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
Dolly Parton;In The Ghetto;as
Dolly Parton;In The Ghetto;her
Dolly Parton;In The Ghetto;young
Dolly Parton;In The Ghetto;man
Dolly Parton;In The Ghetto;dies
Dolly Parton;In The Ghetto;on
Dolly Parton;In The Ghetto;a
Dolly Parton;In The Ghetto;cold
Dolly Parton;In The Ghetto;and
Dolly Parton;In The Ghetto;gray
Dolly Parton;In The Ghetto;chicago
Dolly Parton;In The Ghetto;mornin'
Dolly Parton;In The Ghetto;another
Dolly Parton;In The Ghetto;little
Dolly Parton;In The Ghetto;baby
Dolly Parton;In The Ghetto;child
Dolly Parton;In The Ghetto;is
Dolly Parton;In The Ghetto;born
Dolly Parton;In The Ghetto;in
Dolly Parton;In The Ghetto;the
Dolly Parton;In The Ghetto;ghetto
