artist_name;song_title;token
Dolly Parton;Jealous Heart;mine
Dolly Parton;Jealous Heart;is
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;imagines
Dolly Parton;Jealous Heart;things
Dolly Parton;Jealous Heart;that
Dolly Parton;Jealous Heart;never
Dolly Parton;Jealous Heart;are
Dolly Parton;Jealous Heart;builds
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;fire
Dolly Parton;Jealous Heart;from
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;tiny
Dolly Parton;Jealous Heart;spark
Dolly Parton;Jealous Heart;but
Dolly Parton;Jealous Heart;that's
Dolly Parton;Jealous Heart;the
Dolly Parton;Jealous Heart;way
Dolly Parton;Jealous Heart;of
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;sunny
Dolly Parton;Jealous Heart;skies
Dolly Parton;Jealous Heart;and
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;rosy
Dolly Parton;Jealous Heart;bed
Dolly Parton;Jealous Heart;thorns
Dolly Parton;Jealous Heart;and
Dolly Parton;Jealous Heart;storm
Dolly Parton;Jealous Heart;clouds
Dolly Parton;Jealous Heart;up
Dolly Parton;Jealous Heart;ahead
Dolly Parton;Jealous Heart;'cause
Dolly Parton;Jealous Heart;suddenly
Dolly Parton;Jealous Heart;the
Dolly Parton;Jealous Heart;sky
Dolly Parton;Jealous Heart;turns
Dolly Parton;Jealous Heart;dark
Dolly Parton;Jealous Heart;for
Dolly Parton;Jealous Heart;those
Dolly Parton;Jealous Heart;of
Dolly Parton;Jealous Heart;us
Dolly Parton;Jealous Heart;with
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;imagination
Dolly Parton;Jealous Heart;runnin'
Dolly Parton;Jealous Heart;wild
Dolly Parton;Jealous Heart;like
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;frantic
Dolly Parton;Jealous Heart;frightened
Dolly Parton;Jealous Heart;child
Dolly Parton;Jealous Heart;mine
Dolly Parton;Jealous Heart;is
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;imagines
Dolly Parton;Jealous Heart;things
Dolly Parton;Jealous Heart;that
Dolly Parton;Jealous Heart;never
Dolly Parton;Jealous Heart;are
Dolly Parton;Jealous Heart;builds
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;fire
Dolly Parton;Jealous Heart;from
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;tiny
Dolly Parton;Jealous Heart;spark
Dolly Parton;Jealous Heart;but
Dolly Parton;Jealous Heart;that's
Dolly Parton;Jealous Heart;the
Dolly Parton;Jealous Heart;way
Dolly Parton;Jealous Heart;of
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;sunny
Dolly Parton;Jealous Heart;skies
Dolly Parton;Jealous Heart;and
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;rosy
Dolly Parton;Jealous Heart;bed
Dolly Parton;Jealous Heart;thorns
Dolly Parton;Jealous Heart;and
Dolly Parton;Jealous Heart;storm
Dolly Parton;Jealous Heart;clouds
Dolly Parton;Jealous Heart;up
Dolly Parton;Jealous Heart;ahead
Dolly Parton;Jealous Heart;'cause
Dolly Parton;Jealous Heart;suddenly
Dolly Parton;Jealous Heart;the
Dolly Parton;Jealous Heart;sky
Dolly Parton;Jealous Heart;turns
Dolly Parton;Jealous Heart;dark
Dolly Parton;Jealous Heart;for
Dolly Parton;Jealous Heart;those
Dolly Parton;Jealous Heart;of
Dolly Parton;Jealous Heart;us
Dolly Parton;Jealous Heart;with
Dolly Parton;Jealous Heart;a
Dolly Parton;Jealous Heart;jealous
Dolly Parton;Jealous Heart;heart
Dolly Parton;Jealous Heart;imagination
Dolly Parton;Jealous Heart;runnin'
