artist_name;song_title;token
Dolly Parton;Just Because I'm A Woman;i
Dolly Parton;Just Because I'm A Woman;can
Dolly Parton;Just Because I'm A Woman;see
Dolly Parton;Just Because I'm A Woman;you're
Dolly Parton;Just Because I'm A Woman;disappointed
Dolly Parton;Just Because I'm A Woman;by
Dolly Parton;Just Because I'm A Woman;the
Dolly Parton;Just Because I'm A Woman;way
Dolly Parton;Just Because I'm A Woman;you
Dolly Parton;Just Because I'm A Woman;look
Dolly Parton;Just Because I'm A Woman;at
Dolly Parton;Just Because I'm A Woman;me
Dolly Parton;Just Because I'm A Woman;and
Dolly Parton;Just Because I'm A Woman;i'm
Dolly Parton;Just Because I'm A Woman;sorry
Dolly Parton;Just Because I'm A Woman;that
Dolly Parton;Just Because I'm A Woman;i'm
Dolly Parton;Just Because I'm A Woman;not
Dolly Parton;Just Because I'm A Woman;the
Dolly Parton;Just Because I'm A Woman;woman
Dolly Parton;Just Because I'm A Woman;you
Dolly Parton;Just Because I'm A Woman;thought
Dolly Parton;Just Because I'm A Woman;i'd
Dolly Parton;Just Because I'm A Woman;be
Dolly Parton;Just Because I'm A Woman;yes,
Dolly Parton;Just Because I'm A Woman;i've
Dolly Parton;Just Because I'm A Woman;made
Dolly Parton;Just Because I'm A Woman;my
Dolly Parton;Just Because I'm A Woman;mistakes
Dolly Parton;Just Because I'm A Woman;but
Dolly Parton;Just Because I'm A Woman;listen
Dolly Parton;Just Because I'm A Woman;and
Dolly Parton;Just Because I'm A Woman;understand
Dolly Parton;Just Because I'm A Woman;my
Dolly Parton;Just Because I'm A Woman;mistakes
Dolly Parton;Just Because I'm A Woman;are
Dolly Parton;Just Because I'm A Woman;no
Dolly Parton;Just Because I'm A Woman;worse
Dolly Parton;Just Because I'm A Woman;than
Dolly Parton;Just Because I'm A Woman;yours
Dolly Parton;Just Because I'm A Woman;just
Dolly Parton;Just Because I'm A Woman;because
Dolly Parton;Just Because I'm A Woman;i'm
Dolly Parton;Just Because I'm A Woman;a
Dolly Parton;Just Because I'm A Woman;woman
Dolly Parton;Just Because I'm A Woman;so
Dolly Parton;Just Because I'm A Woman;when
Dolly Parton;Just Because I'm A Woman;you
Dolly Parton;Just Because I'm A Woman;look
Dolly Parton;Just Because I'm A Woman;at
Dolly Parton;Just Because I'm A Woman;me
Dolly Parton;Just Because I'm A Woman;don't
Dolly Parton;Just Because I'm A Woman;feel
Dolly Parton;Just Because I'm A Woman;sorry
Dolly Parton;Just Because I'm A Woman;for
Dolly Parton;Just Because I'm A Woman;yourself
Dolly Parton;Just Because I'm A Woman;just
Dolly Parton;Just Because I'm A Woman;think
Dolly Parton;Just Because I'm A Woman;of
Dolly Parton;Just Because I'm A Woman;all
Dolly Parton;Just Because I'm A Woman;the
Dolly Parton;Just Because I'm A Woman;shame
Dolly Parton;Just Because I'm A Woman;i
Dolly Parton;Just Because I'm A Woman;can
Dolly Parton;Just Because I'm A Woman;see
Dolly Parton;Just Because I'm A Woman;you're
