artist_name;song_title;token
The Eagles;Desperado;desperado
The Eagles;Desperado;why
The Eagles;Desperado;don't
The Eagles;Desperado;you
The Eagles;Desperado;come
The Eagles;Desperado;to
The Eagles;Desperado;your
The Eagles;Desperado;senses
The Eagles;Desperado;you've
The Eagles;Desperado;been
The Eagles;Desperado;out
The Eagles;Desperado;ridin'
The Eagles;Desperado;fences
The Eagles;Desperado;for
The Eagles;Desperado;so
The Eagles;Desperado;long
The Eagles;Desperado;now
The Eagles;Desperado;oh
The Eagles;Desperado;you're
The Eagles;Desperado;a
The Eagles;Desperado;hard
The Eagles;Desperado;one
The Eagles;Desperado;i
The Eagles;Desperado;know
The Eagles;Desperado;that
The Eagles;Desperado;you
The Eagles;Desperado;got
The Eagles;Desperado;your
The Eagles;Desperado;reasons
The Eagles;Desperado;these
The Eagles;Desperado;things
The Eagles;Desperado;that
The Eagles;Desperado;are
The Eagles;Desperado;pleasin'
The Eagles;Desperado;you
The Eagles;Desperado;will
The Eagles;Desperado;hurt
The Eagles;Desperado;you
The Eagles;Desperado;somehow
The Eagles;Desperado;don't
The Eagles;Desperado;you
The Eagles;Desperado;draw
The Eagles;Desperado;the
The Eagles;Desperado;queen
The Eagles;Desperado;of
The Eagles;Desperado;diamonds
The Eagles;Desperado;boy
The Eagles;Desperado;she'll
The Eagles;Desperado;beat
The Eagles;Desperado;you
The Eagles;Desperado;if
The Eagles;Desperado;she
The Eagles;Desperado;able
The Eagles;Desperado;desperado
The Eagles;Desperado;why
The Eagles;Desperado;don't
The Eagles;Desperado;you
The Eagles;Desperado;come
The Eagles;Desperado;to
The Eagles;Desperado;your
The Eagles;Desperado;senses
The Eagles;Desperado;you've
The Eagles;Desperado;been
The Eagles;Desperado;out
The Eagles;Desperado;ridin'
The Eagles;Desperado;fences
The Eagles;Desperado;for
The Eagles;Desperado;so
The Eagles;Desperado;long
The Eagles;Desperado;now
The Eagles;Desperado;oh
The Eagles;Desperado;you're
The Eagles;Desperado;a
The Eagles;Desperado;hard
The Eagles;Desperado;one
The Eagles;Desperado;i
The Eagles;Desperado;know
The Eagles;Desperado;that
The Eagles;Desperado;you
The Eagles;Desperado;got
The Eagles;Desperado;your
The Eagles;Desperado;reasons
The Eagles;Desperado;these
The Eagles;Desperado;things
The Eagles;Desperado;that
The Eagles;Desperado;are
The Eagles;Desperado;pleasin'
The Eagles;Desperado;you
The Eagles;Desperado;will
The Eagles;Desperado;hurt
The Eagles;Desperado;you
The Eagles;Desperado;somehow
The Eagles;Desperado;don't
The Eagles;Desperado;you
The Eagles;Desperado;draw
The Eagles;Desperado;the
The Eagles;Desperado;queen
The Eagles;Desperado;of
The Eagles;Desperado;diamonds
The Eagles;Desperado;boy
The Eagles;Desperado;she'll
The Eagles;Desperado;beat
The Eagles;Desperado;you
The Eagles;Desperado;if
The Eagles;Desperado;she
The Eagles;Desperado;able
The Eagles;Desperado;you
The Eagles;Desperado;know
The Eagles;Desperado;the
The Eagles;Desperado;queen
The Eagles;Desperado;of
The Eagles;Desperado;hearts
The Eagles;Desperado;is
The Eagles;Desperado;always
The Eagles;Desperado;your
The Eagles;Desperado;best
The Eagles;Desperado;bet
The Eagles;Desperado;now
The Eagles;Desperado;it
The Eagles;Desperado;seems
The Eagles;Desperado;to
The Eagles;Desperado;me
The Eagles;Desperado;some
The Eagles;Desperado;fine
The Eagles;Desperado;things
The Eagles;Desperado;have
The Eagles;Desperado;been
The Eagles;Desperado;laid
The Eagles;Desperado;upon
The Eagles;Desperado;your
The Eagles;Desperado;table
The Eagles;Desperado;but
The Eagles;Desperado;you
The Eagles;Desperado;only
The Eagles;Desperado;want
The Eagles;Desperado;the
The Eagles;Desperado;ones
The Eagles;Desperado;that
The Eagles;Desperado;you
The Eagles;Desperado;can't
The Eagles;Desperado;get
The Eagles;Desperado;desperado
The Eagles;Desperado;oh
The Eagles;Desperado;you
The Eagles;Desperado;ain't
The Eagles;Desperado;gettin'
The Eagles;Desperado;no
The Eagles;Desperado;younger
The Eagles;Desperado;your
The Eagles;Desperado;pain
The Eagles;Desperado;and
The Eagles;Desperado;your
The Eagles;Desperado;hunger
The Eagles;Desperado;they're
The Eagles;Desperado;drivin'
The Eagles;Desperado;you
The Eagles;Desperado;home
The Eagles;Desperado;freedom
The Eagles;Desperado;oh
The Eagles;Desperado;freedom
The Eagles;Desperado;well
The Eagles;Desperado;that
The Eagles;Desperado;just
The Eagles;Desperado;some
The Eagles;Desperado;people
The Eagles;Desperado;talkin'
The Eagles;Desperado;your
The Eagles;Desperado;prison
The Eagles;Desperado;is
The Eagles;Desperado;walkin'
The Eagles;Desperado;through
The Eagles;Desperado;this
The Eagles;Desperado;world
The Eagles;Desperado;all
The Eagles;Desperado;alone
The Eagles;Desperado;don't
The Eagles;Desperado;your
The Eagles;Desperado;feet
The Eagles;Desperado;get
The Eagles;Desperado;cold
The Eagles;Desperado;in
The Eagles;Desperado;the
The Eagles;Desperado;wintertime
The Eagles;Desperado;the
The Eagles;Desperado;sky
The Eagles;Desperado;won't
The Eagles;Desperado;snow
The Eagles;Desperado;and
The Eagles;Desperado;the
The Eagles;Desperado;sun
The Eagles;Desperado;won't
The Eagles;Desperado;shine
The Eagles;Desperado;it
The Eagles;Desperado;hard
The Eagles;Desperado;to
The Eagles;Desperado;tell
The Eagles;Desperado;the
The Eagles;Desperado;nighttime
The Eagles;Desperado;from
The Eagles;Desperado;the
The Eagles;Desperado;day
The Eagles;Desperado;you're
The Eagles;Desperado;losin'
The Eagles;Desperado;all
The Eagles;Desperado;your
The Eagles;Desperado;highs
The Eagles;Desperado;and
The Eagles;Desperado;lows
The Eagles;Desperado;ain't
The Eagles;Desperado;it
The Eagles;Desperado;funny
The Eagles;Desperado;how
The Eagles;Desperado;the
The Eagles;Desperado;feeling
The Eagles;Desperado;goes
The Eagles;Desperado;away
The Eagles;Desperado;desperado
The Eagles;Desperado;why
The Eagles;Desperado;don't
The Eagles;Desperado;you
The Eagles;Desperado;come
The Eagles;Desperado;to
The Eagles;Desperado;your
The Eagles;Desperado;senses
The Eagles;Desperado;come
The Eagles;Desperado;down
The Eagles;Desperado;from
The Eagles;Desperado;your
The Eagles;Desperado;fences
The Eagles;Desperado;open
The Eagles;Desperado;the
The Eagles;Desperado;gate
The Eagles;Desperado;it
The Eagles;Desperado;may
The Eagles;Desperado;be
The Eagles;Desperado;rainin'
The Eagles;Desperado;but
The Eagles;Desperado;there
The Eagles;Desperado;a
The Eagles;Desperado;rainbow
The Eagles;Desperado;above
The Eagles;Desperado;you
The Eagles;Desperado;you
The Eagles;Desperado;better
The Eagles;Desperado;let
The Eagles;Desperado;somebody
The Eagles;Desperado;love
The Eagles;Desperado;you
The Eagles;Desperado;let
The Eagles;Desperado;somebody
The Eagles;Desperado;love
The Eagles;Desperado;you
The Eagles;Desperado;you
The Eagles;Desperado;better
The Eagles;Desperado;let
The Eagles;Desperado;somebody
The Eagles;Desperado;love
The Eagles;Desperado;you
The Eagles;Desperado;before
The Eagles;Desperado;it
The Eagles;Desperado;to
The Eagles;Desperado;late
