artist_name;song_title;token
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;one
The Eagles;Too Many Hands;of
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;kind
The Eagles;Too Many Hands;sometimes
The Eagles;Too Many Hands;hard
The Eagles;Too Many Hands;to
The Eagles;Too Many Hands;find
The Eagles;Too Many Hands;like
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;rainbow
The Eagles;Too Many Hands;well
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;lost
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;glory
The Eagles;Too Many Hands;and
The Eagles;Too Many Hands;could
The Eagles;Too Many Hands;tell
The Eagles;Too Many Hands;you
The Eagles;Too Many Hands;some
The Eagles;Too Many Hands;stories
The Eagles;Too Many Hands;that
The Eagles;Too Many Hands;we
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;should
The Eagles;Too Many Hands;know
The Eagles;Too Many Hands;and
The Eagles;Too Many Hands;there
The Eagles;Too Many Hands;too
The Eagles;Too Many Hands;many
The Eagles;Too Many Hands;hands
The Eagles;Too Many Hands;being
The Eagles;Too Many Hands;laid
The Eagles;Too Many Hands;on
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;too
The Eagles;Too Many Hands;many
The Eagles;Too Many Hands;eyes
The Eagles;Too Many Hands;will
The Eagles;Too Many Hands;never
The Eagles;Too Many Hands;see
The Eagles;Too Many Hands;that
The Eagles;Too Many Hands;it
The Eagles;Too Many Hands;dragging
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;down
The Eagles;Too Many Hands;but
The Eagles;Too Many Hands;you
The Eagles;Too Many Hands;won't
The Eagles;Too Many Hands;hear
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;sound
The Eagles;Too Many Hands;as
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;turns
The Eagles;Too Many Hands;'round
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;beauty
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;aflight
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;one
The Eagles;Too Many Hands;of
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;kind
The Eagles;Too Many Hands;sometimes
The Eagles;Too Many Hands;hard
The Eagles;Too Many Hands;to
The Eagles;Too Many Hands;find
The Eagles;Too Many Hands;like
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;rainbow
The Eagles;Too Many Hands;well
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;lost
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;glory
The Eagles;Too Many Hands;and
The Eagles;Too Many Hands;could
The Eagles;Too Many Hands;tell
The Eagles;Too Many Hands;you
The Eagles;Too Many Hands;some
The Eagles;Too Many Hands;stories
The Eagles;Too Many Hands;that
The Eagles;Too Many Hands;we
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;should
The Eagles;Too Many Hands;know
The Eagles;Too Many Hands;and
The Eagles;Too Many Hands;there
The Eagles;Too Many Hands;too
The Eagles;Too Many Hands;many
The Eagles;Too Many Hands;hands
The Eagles;Too Many Hands;being
The Eagles;Too Many Hands;laid
The Eagles;Too Many Hands;on
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;too
The Eagles;Too Many Hands;many
The Eagles;Too Many Hands;eyes
The Eagles;Too Many Hands;will
The Eagles;Too Many Hands;never
The Eagles;Too Many Hands;see
The Eagles;Too Many Hands;that
The Eagles;Too Many Hands;it
The Eagles;Too Many Hands;dragging
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;down
The Eagles;Too Many Hands;but
The Eagles;Too Many Hands;you
The Eagles;Too Many Hands;won't
The Eagles;Too Many Hands;hear
The Eagles;Too Many Hands;a
The Eagles;Too Many Hands;sound
The Eagles;Too Many Hands;as
The Eagles;Too Many Hands;she
The Eagles;Too Many Hands;turns
The Eagles;Too Many Hands;'round
The Eagles;Too Many Hands;her
The Eagles;Too Many Hands;beauty
The Eagles;Too Many Hands;all
The Eagles;Too Many Hands;aflight
The Eagles;Too Many Hands;it
The Eagles;Too Many Hands;always
The Eagles;Too Many Hands;seems
The Eagles;Too Many Hands;to
