artist_name;song_title;token
Ed Sheeran;Cross Me;anything
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;can
Ed Sheeran;Cross Me;call
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;worry
Ed Sheeran;Cross Me;'bout
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;seed
Ed Sheeran;Cross Me;yup
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;just
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;then
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;fred
Ed Sheeran;Cross Me;again
Ed Sheeran;Cross Me;anything
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;can
Ed Sheeran;Cross Me;call
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;worry
Ed Sheeran;Cross Me;'bout
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;seed
Ed Sheeran;Cross Me;yup
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;anything
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;can
Ed Sheeran;Cross Me;call
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;worry
Ed Sheeran;Cross Me;'bout
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;seed
Ed Sheeran;Cross Me;yup
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;just
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;then
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;fred
Ed Sheeran;Cross Me;again
Ed Sheeran;Cross Me;anything
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;can
Ed Sheeran;Cross Me;call
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;worry
Ed Sheeran;Cross Me;'bout
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;seed
Ed Sheeran;Cross Me;yup
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;just
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;then
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if-
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;ain't
Ed Sheeran;Cross Me;messing
Ed Sheeran;Cross Me;with
Ed Sheeran;Cross Me;no
Ed Sheeran;Cross Me;other
Ed Sheeran;Cross Me;man
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;have
Ed Sheeran;Cross Me;something
Ed Sheeran;Cross Me;different
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;really
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;to
Ed Sheeran;Cross Me;understand
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;nobody
Ed Sheeran;Cross Me;coming
Ed Sheeran;Cross Me;close
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;ever
Ed Sheeran;Cross Me;wanna
Ed Sheeran;Cross Me;run
Ed Sheeran;Cross Me;around
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;spent
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;youth
Ed Sheeran;Cross Me;jumping
Ed Sheeran;Cross Me;in
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;out
Ed Sheeran;Cross Me;but
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;fucking
Ed Sheeran;Cross Me;love
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;now
Ed Sheeran;Cross Me;like
Ed Sheeran;Cross Me;nobody
Ed Sheeran;Cross Me;ever
Ed Sheeran;Cross Me;could
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;stay
Ed Sheeran;Cross Me;trippin'
Ed Sheeran;Cross Me;am
Ed Sheeran;Cross Me;i
Ed Sheeran;Cross Me;crazy
Ed Sheeran;Cross Me;oh
Ed Sheeran;Cross Me;no
Ed Sheeran;Cross Me;i'm
Ed Sheeran;Cross Me;sticking
Ed Sheeran;Cross Me;with
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;baby
Ed Sheeran;Cross Me;for
Ed Sheeran;Cross Me;sure
Ed Sheeran;Cross Me;together
Ed Sheeran;Cross Me;or
Ed Sheeran;Cross Me;solo
Ed Sheeran;Cross Me;it
Ed Sheeran;Cross Me;doesn't
Ed Sheeran;Cross Me;matter
Ed Sheeran;Cross Me;where
Ed Sheeran;Cross Me;we
Ed Sheeran;Cross Me;are
Ed Sheeran;Cross Me;oh
Ed Sheeran;Cross Me;no
Ed Sheeran;Cross Me;no
Ed Sheeran;Cross Me;so
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;hear
Ed Sheeran;Cross Me;about
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;lady
Ed Sheeran;Cross Me;just
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;ain't
Ed Sheeran;Cross Me;the
Ed Sheeran;Cross Me;one
Ed Sheeran;Cross Me;to
Ed Sheeran;Cross Me;play
Ed Sheeran;Cross Me;with
Ed Sheeran;Cross Me;oh
Ed Sheeran;Cross Me;no
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;i'll
Ed Sheeran;Cross Me;be
Ed Sheeran;Cross Me;standing
Ed Sheeran;Cross Me;so
Ed Sheeran;Cross Me;close
Ed Sheeran;Cross Me;so
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;ayy
Ed Sheeran;Cross Me;anything
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;need
Ed Sheeran;Cross Me;she
Ed Sheeran;Cross Me;can
Ed Sheeran;Cross Me;call
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;don't
Ed Sheeran;Cross Me;worry
Ed Sheeran;Cross Me;'bout
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;my
Ed Sheeran;Cross Me;seed
Ed Sheeran;Cross Me;yup
Ed Sheeran;Cross Me;that
Ed Sheeran;Cross Me;all
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;just
Ed Sheeran;Cross Me;know
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;then
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;if
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;her
Ed Sheeran;Cross Me;then
Ed Sheeran;Cross Me;you
Ed Sheeran;Cross Me;cross
Ed Sheeran;Cross Me;me
Ed Sheeran;Cross Me;and
Ed Sheeran;Cross Me;nobody
Ed Sheeran;Cross Me;coming
