artist_name;song_title;token
Ed Sheeran;Tenerife Sea;you
Ed Sheeran;Tenerife Sea;look
Ed Sheeran;Tenerife Sea;so
Ed Sheeran;Tenerife Sea;wonderful
Ed Sheeran;Tenerife Sea;in
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;dress
Ed Sheeran;Tenerife Sea;i
Ed Sheeran;Tenerife Sea;love
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;hair
Ed Sheeran;Tenerife Sea;like
Ed Sheeran;Tenerife Sea;that
Ed Sheeran;Tenerife Sea;the
Ed Sheeran;Tenerife Sea;way
Ed Sheeran;Tenerife Sea;it
Ed Sheeran;Tenerife Sea;falls
Ed Sheeran;Tenerife Sea;on
Ed Sheeran;Tenerife Sea;the
Ed Sheeran;Tenerife Sea;side
Ed Sheeran;Tenerife Sea;of
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;neck
Ed Sheeran;Tenerife Sea;down
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;shoulders
Ed Sheeran;Tenerife Sea;and
Ed Sheeran;Tenerife Sea;back
Ed Sheeran;Tenerife Sea;we
Ed Sheeran;Tenerife Sea;are
Ed Sheeran;Tenerife Sea;surrounded
Ed Sheeran;Tenerife Sea;by
Ed Sheeran;Tenerife Sea;all
Ed Sheeran;Tenerife Sea;of
Ed Sheeran;Tenerife Sea;these
Ed Sheeran;Tenerife Sea;lies
Ed Sheeran;Tenerife Sea;and
Ed Sheeran;Tenerife Sea;people
Ed Sheeran;Tenerife Sea;that
Ed Sheeran;Tenerife Sea;talk
Ed Sheeran;Tenerife Sea;too
Ed Sheeran;Tenerife Sea;much
Ed Sheeran;Tenerife Sea;you
Ed Sheeran;Tenerife Sea;got
Ed Sheeran;Tenerife Sea;that
Ed Sheeran;Tenerife Sea;kind
Ed Sheeran;Tenerife Sea;of
Ed Sheeran;Tenerife Sea;look
Ed Sheeran;Tenerife Sea;in
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;eyes
Ed Sheeran;Tenerife Sea;as
Ed Sheeran;Tenerife Sea;if
Ed Sheeran;Tenerife Sea;no
Ed Sheeran;Tenerife Sea;one
Ed Sheeran;Tenerife Sea;knows
Ed Sheeran;Tenerife Sea;anything
Ed Sheeran;Tenerife Sea;but
Ed Sheeran;Tenerife Sea;us
Ed Sheeran;Tenerife Sea;should
Ed Sheeran;Tenerife Sea;this
Ed Sheeran;Tenerife Sea;be
Ed Sheeran;Tenerife Sea;the
Ed Sheeran;Tenerife Sea;last
Ed Sheeran;Tenerife Sea;thing
Ed Sheeran;Tenerife Sea;i
Ed Sheeran;Tenerife Sea;see
Ed Sheeran;Tenerife Sea;you
Ed Sheeran;Tenerife Sea;look
Ed Sheeran;Tenerife Sea;so
Ed Sheeran;Tenerife Sea;wonderful
Ed Sheeran;Tenerife Sea;in
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;dress
Ed Sheeran;Tenerife Sea;i
Ed Sheeran;Tenerife Sea;love
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;hair
Ed Sheeran;Tenerife Sea;like
Ed Sheeran;Tenerife Sea;that
Ed Sheeran;Tenerife Sea;the
Ed Sheeran;Tenerife Sea;way
Ed Sheeran;Tenerife Sea;it
Ed Sheeran;Tenerife Sea;falls
Ed Sheeran;Tenerife Sea;on
Ed Sheeran;Tenerife Sea;the
Ed Sheeran;Tenerife Sea;side
Ed Sheeran;Tenerife Sea;of
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;neck
Ed Sheeran;Tenerife Sea;down
Ed Sheeran;Tenerife Sea;your
Ed Sheeran;Tenerife Sea;shoulders
Ed Sheeran;Tenerife Sea;and
Ed Sheeran;Tenerife Sea;back
Ed Sheeran;Tenerife Sea;we
Ed Sheeran;Tenerife Sea;are
Ed Sheeran;Tenerife Sea;surrounded
Ed Sheeran;Tenerife Sea;by
Ed Sheeran;Tenerife Sea;all
