artist_name;song_title;token
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;wounded
Elvis Presley;An Evening Prayer;some
Elvis Presley;An Evening Prayer;poor
Elvis Presley;An Evening Prayer;soul
Elvis Presley;An Evening Prayer;today,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;caused
Elvis Presley;An Evening Prayer;one
Elvis Presley;An Evening Prayer;foot
Elvis Presley;An Evening Prayer;to
Elvis Presley;An Evening Prayer;go
Elvis Presley;An Evening Prayer;astray,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;walked
Elvis Presley;An Evening Prayer;in
Elvis Presley;An Evening Prayer;my
Elvis Presley;An Evening Prayer;own
Elvis Presley;An Evening Prayer;willful
Elvis Presley;An Evening Prayer;way,
Elvis Presley;An Evening Prayer;dear
Elvis Presley;An Evening Prayer;lord,
Elvis Presley;An Evening Prayer;forgive.
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;uttered
Elvis Presley;An Evening Prayer;idle
Elvis Presley;An Evening Prayer;words
Elvis Presley;An Evening Prayer;in
Elvis Presley;An Evening Prayer;vain,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;turned
Elvis Presley;An Evening Prayer;aside
Elvis Presley;An Evening Prayer;from
Elvis Presley;An Evening Prayer;want
Elvis Presley;An Evening Prayer;or
Elvis Presley;An Evening Prayer;pain,
Elvis Presley;An Evening Prayer;lest
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;offend
Elvis Presley;An Evening Prayer;some
Elvis Presley;An Evening Prayer;other
Elvis Presley;An Evening Prayer;through
Elvis Presley;An Evening Prayer;the
Elvis Presley;An Evening Prayer;strain,
Elvis Presley;An Evening Prayer;dear
Elvis Presley;An Evening Prayer;lord,
Elvis Presley;An Evening Prayer;forgive.
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;wounded
Elvis Presley;An Evening Prayer;some
Elvis Presley;An Evening Prayer;poor
Elvis Presley;An Evening Prayer;soul
Elvis Presley;An Evening Prayer;today,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;caused
Elvis Presley;An Evening Prayer;one
Elvis Presley;An Evening Prayer;foot
Elvis Presley;An Evening Prayer;to
Elvis Presley;An Evening Prayer;go
Elvis Presley;An Evening Prayer;astray,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;walked
Elvis Presley;An Evening Prayer;in
Elvis Presley;An Evening Prayer;my
Elvis Presley;An Evening Prayer;own
Elvis Presley;An Evening Prayer;willful
Elvis Presley;An Evening Prayer;way,
Elvis Presley;An Evening Prayer;dear
Elvis Presley;An Evening Prayer;lord,
Elvis Presley;An Evening Prayer;forgive.
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;uttered
Elvis Presley;An Evening Prayer;idle
Elvis Presley;An Evening Prayer;words
Elvis Presley;An Evening Prayer;in
Elvis Presley;An Evening Prayer;vain,
Elvis Presley;An Evening Prayer;if
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;turned
Elvis Presley;An Evening Prayer;aside
Elvis Presley;An Evening Prayer;from
Elvis Presley;An Evening Prayer;want
Elvis Presley;An Evening Prayer;or
Elvis Presley;An Evening Prayer;pain,
Elvis Presley;An Evening Prayer;lest
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;offend
Elvis Presley;An Evening Prayer;some
Elvis Presley;An Evening Prayer;other
Elvis Presley;An Evening Prayer;through
Elvis Presley;An Evening Prayer;the
Elvis Presley;An Evening Prayer;strain,
Elvis Presley;An Evening Prayer;dear
Elvis Presley;An Evening Prayer;lord,
Elvis Presley;An Evening Prayer;forgive.
Elvis Presley;An Evening Prayer;forgive
Elvis Presley;An Evening Prayer;these
Elvis Presley;An Evening Prayer;sins
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;have
Elvis Presley;An Evening Prayer;confessed
Elvis Presley;An Evening Prayer;to
Elvis Presley;An Evening Prayer;thee,
Elvis Presley;An Evening Prayer;forgive
Elvis Presley;An Evening Prayer;the
Elvis Presley;An Evening Prayer;secret
Elvis Presley;An Evening Prayer;sins
Elvis Presley;An Evening Prayer;i
Elvis Presley;An Evening Prayer;do
Elvis Presley;An Evening Prayer;not
Elvis Presley;An Evening Prayer;see,
Elvis Presley;An Evening Prayer;guide
Elvis Presley;An Evening Prayer;me,
Elvis Presley;An Evening Prayer;love
Elvis Presley;An Evening Prayer;me
Elvis Presley;An Evening Prayer;and
Elvis Presley;An Evening Prayer;my
Elvis Presley;An Evening Prayer;keeper
Elvis Presley;An Evening Prayer;be,
Elvis Presley;An Evening Prayer;dear
Elvis Presley;An Evening Prayer;lord,
Elvis Presley;An Evening Prayer;forgive...
