artist_name;song_title;token
Elvis Presley;Fever;never
Elvis Presley;Fever;know
Elvis Presley;Fever;how
Elvis Presley;Fever;much
Elvis Presley;Fever;i
Elvis Presley;Fever;love
Elvis Presley;Fever;you
Elvis Presley;Fever;never
Elvis Presley;Fever;know
Elvis Presley;Fever;how
Elvis Presley;Fever;much
Elvis Presley;Fever;i
Elvis Presley;Fever;care
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;put
Elvis Presley;Fever;your
Elvis Presley;Fever;arms
Elvis Presley;Fever;around
Elvis Presley;Fever;me
Elvis Presley;Fever;i
Elvis Presley;Fever;get
Elvis Presley;Fever;a
Elvis Presley;Fever;fever
Elvis Presley;Fever;that's
Elvis Presley;Fever;so
Elvis Presley;Fever;hard
Elvis Presley;Fever;to
Elvis Presley;Fever;bear
Elvis Presley;Fever;you
Elvis Presley;Fever;give
Elvis Presley;Fever;me
Elvis Presley;Fever;fever
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;kiss
Elvis Presley;Fever;me
Elvis Presley;Fever;fever
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;hold
Elvis Presley;Fever;me
Elvis Presley;Fever;tight
Elvis Presley;Fever;fever
Elvis Presley;Fever;in
Elvis Presley;Fever;the
Elvis Presley;Fever;morning
Elvis Presley;Fever;fever
Elvis Presley;Fever;all
Elvis Presley;Fever;through
Elvis Presley;Fever;the
Elvis Presley;Fever;night.
Elvis Presley;Fever;everybody's
Elvis Presley;Fever;got
Elvis Presley;Fever;the
Elvis Presley;Fever;fever
Elvis Presley;Fever;that
Elvis Presley;Fever;is
Elvis Presley;Fever;something
Elvis Presley;Fever;you
Elvis Presley;Fever;all
Elvis Presley;Fever;know
Elvis Presley;Fever;never
Elvis Presley;Fever;know
Elvis Presley;Fever;how
Elvis Presley;Fever;much
Elvis Presley;Fever;i
Elvis Presley;Fever;love
Elvis Presley;Fever;you
Elvis Presley;Fever;never
Elvis Presley;Fever;know
Elvis Presley;Fever;how
Elvis Presley;Fever;much
Elvis Presley;Fever;i
Elvis Presley;Fever;care
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;put
Elvis Presley;Fever;your
Elvis Presley;Fever;arms
Elvis Presley;Fever;around
Elvis Presley;Fever;me
Elvis Presley;Fever;i
Elvis Presley;Fever;get
Elvis Presley;Fever;a
Elvis Presley;Fever;fever
Elvis Presley;Fever;that's
Elvis Presley;Fever;so
Elvis Presley;Fever;hard
Elvis Presley;Fever;to
Elvis Presley;Fever;bear
Elvis Presley;Fever;you
Elvis Presley;Fever;give
Elvis Presley;Fever;me
Elvis Presley;Fever;fever
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;kiss
Elvis Presley;Fever;me
Elvis Presley;Fever;fever
Elvis Presley;Fever;when
Elvis Presley;Fever;you
Elvis Presley;Fever;hold
Elvis Presley;Fever;me
Elvis Presley;Fever;tight
Elvis Presley;Fever;fever
Elvis Presley;Fever;in
Elvis Presley;Fever;the
Elvis Presley;Fever;morning
Elvis Presley;Fever;fever
Elvis Presley;Fever;all
Elvis Presley;Fever;through
Elvis Presley;Fever;the
Elvis Presley;Fever;night.
Elvis Presley;Fever;everybody's
Elvis Presley;Fever;got
Elvis Presley;Fever;the
Elvis Presley;Fever;fever
Elvis Presley;Fever;that
Elvis Presley;Fever;is
Elvis Presley;Fever;something
Elvis Presley;Fever;you
Elvis Presley;Fever;all
