artist_name;song_title;token
Elvis Presley;Flip Flop And Fly;well
Elvis Presley;Flip Flop And Fly;get
Elvis Presley;Flip Flop And Fly;out
Elvis Presley;Flip Flop And Fly;of
Elvis Presley;Flip Flop And Fly;that
Elvis Presley;Flip Flop And Fly;kitchen
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;rattle
Elvis Presley;Flip Flop And Fly;those
Elvis Presley;Flip Flop And Fly;pots
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;pans
Elvis Presley;Flip Flop And Fly;get
Elvis Presley;Flip Flop And Fly;out
Elvis Presley;Flip Flop And Fly;of
Elvis Presley;Flip Flop And Fly;that
Elvis Presley;Flip Flop And Fly;kitchen
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;rattle
Elvis Presley;Flip Flop And Fly;those
Elvis Presley;Flip Flop And Fly;pots
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;pans
Elvis Presley;Flip Flop And Fly;well
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;want
Elvis Presley;Flip Flop And Fly;my
Elvis Presley;Flip Flop And Fly;breakfast
Elvis Presley;Flip Flop And Fly;'cause
Elvis Presley;Flip Flop And Fly;i'm
Elvis Presley;Flip Flop And Fly;a
Elvis Presley;Flip Flop And Fly;hungry
Elvis Presley;Flip Flop And Fly;man
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;believe
Elvis Presley;Flip Flop And Fly;you're
Elvis Presley;Flip Flop And Fly;doin'
Elvis Presley;Flip Flop And Fly;me
Elvis Presley;Flip Flop And Fly;wrong
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;now
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;know
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;believe
Elvis Presley;Flip Flop And Fly;you're
Elvis Presley;Flip Flop And Fly;doin'
Elvis Presley;Flip Flop And Fly;me
Elvis Presley;Flip Flop And Fly;wrong
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;now
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;know
Elvis Presley;Flip Flop And Fly;'cause
Elvis Presley;Flip Flop And Fly;the
Elvis Presley;Flip Flop And Fly;harder
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;work
Elvis Presley;Flip Flop And Fly;the
Elvis Presley;Flip Flop And Fly;faster
Elvis Presley;Flip Flop And Fly;my
Elvis Presley;Flip Flop And Fly;money
Elvis Presley;Flip Flop And Fly;goes
Elvis Presley;Flip Flop And Fly;well
Elvis Presley;Flip Flop And Fly;get
Elvis Presley;Flip Flop And Fly;out
Elvis Presley;Flip Flop And Fly;of
Elvis Presley;Flip Flop And Fly;that
Elvis Presley;Flip Flop And Fly;kitchen
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;rattle
Elvis Presley;Flip Flop And Fly;those
Elvis Presley;Flip Flop And Fly;pots
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;pans
Elvis Presley;Flip Flop And Fly;get
Elvis Presley;Flip Flop And Fly;out
Elvis Presley;Flip Flop And Fly;of
Elvis Presley;Flip Flop And Fly;that
Elvis Presley;Flip Flop And Fly;kitchen
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;rattle
Elvis Presley;Flip Flop And Fly;those
Elvis Presley;Flip Flop And Fly;pots
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;pans
Elvis Presley;Flip Flop And Fly;well
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;want
Elvis Presley;Flip Flop And Fly;my
Elvis Presley;Flip Flop And Fly;breakfast
Elvis Presley;Flip Flop And Fly;'cause
Elvis Presley;Flip Flop And Fly;i'm
Elvis Presley;Flip Flop And Fly;a
Elvis Presley;Flip Flop And Fly;hungry
Elvis Presley;Flip Flop And Fly;man
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;believe
Elvis Presley;Flip Flop And Fly;you're
Elvis Presley;Flip Flop And Fly;doin'
Elvis Presley;Flip Flop And Fly;me
Elvis Presley;Flip Flop And Fly;wrong
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;now
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;know
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;believe
Elvis Presley;Flip Flop And Fly;you're
Elvis Presley;Flip Flop And Fly;doin'
Elvis Presley;Flip Flop And Fly;me
Elvis Presley;Flip Flop And Fly;wrong
Elvis Presley;Flip Flop And Fly;and
Elvis Presley;Flip Flop And Fly;now
Elvis Presley;Flip Flop And Fly;i
Elvis Presley;Flip Flop And Fly;know
Elvis Presley;Flip Flop And Fly;'cause
Elvis Presley;Flip Flop And Fly;the
Elvis Presley;Flip Flop And Fly;harder
Elvis Presley;Flip Flop And Fly;i
