artist_name;song_title;token
Elvis Presley;His Hand In Mine;you
Elvis Presley;His Hand In Mine;may
Elvis Presley;His Hand In Mine;ask
Elvis Presley;His Hand In Mine;me
Elvis Presley;His Hand In Mine;how
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;know
Elvis Presley;His Hand In Mine;my
Elvis Presley;His Hand In Mine;lord
Elvis Presley;His Hand In Mine;is
Elvis Presley;His Hand In Mine;real
Elvis Presley;His Hand In Mine;(my
Elvis Presley;His Hand In Mine;lord
Elvis Presley;His Hand In Mine;is
Elvis Presley;His Hand In Mine;real)
Elvis Presley;His Hand In Mine;you
Elvis Presley;His Hand In Mine;may
Elvis Presley;His Hand In Mine;doubt
Elvis Presley;His Hand In Mine;the
Elvis Presley;His Hand In Mine;things
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;say
Elvis Presley;His Hand In Mine;and
Elvis Presley;His Hand In Mine;doubt
Elvis Presley;His Hand In Mine;the
Elvis Presley;His Hand In Mine;way
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;feel
Elvis Presley;His Hand In Mine;(the
Elvis Presley;His Hand In Mine;way
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;feel)
Elvis Presley;His Hand In Mine;but
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;know
Elvis Presley;His Hand In Mine;he's
Elvis Presley;His Hand In Mine;real
Elvis Presley;His Hand In Mine;today,
Elvis Presley;His Hand In Mine;he'll
Elvis Presley;His Hand In Mine;always
Elvis Presley;His Hand In Mine;be
Elvis Presley;His Hand In Mine;(he'll
Elvis Presley;His Hand In Mine;always
Elvis Presley;His Hand In Mine;be)
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;can
Elvis Presley;His Hand In Mine;feel
Elvis Presley;His Hand In Mine;his
Elvis Presley;His Hand In Mine;hand
Elvis Presley;His Hand In Mine;in
Elvis Presley;His Hand In Mine;mine
Elvis Presley;His Hand In Mine;and
Elvis Presley;His Hand In Mine;that's
Elvis Presley;His Hand In Mine;enough
Elvis Presley;His Hand In Mine;for
Elvis Presley;His Hand In Mine;me
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;will
Elvis Presley;His Hand In Mine;never
Elvis Presley;His Hand In Mine;walk
Elvis Presley;His Hand In Mine;alone,
Elvis Presley;His Hand In Mine;he
Elvis Presley;His Hand In Mine;holds
Elvis Presley;His Hand In Mine;my
Elvis Presley;His Hand In Mine;hand
Elvis Presley;His Hand In Mine;(he
Elvis Presley;His Hand In Mine;holds
Elvis Presley;His Hand In Mine;my
Elvis Presley;His Hand In Mine;hand)
Elvis Presley;His Hand In Mine;you
Elvis Presley;His Hand In Mine;may
Elvis Presley;His Hand In Mine;ask
Elvis Presley;His Hand In Mine;me
Elvis Presley;His Hand In Mine;how
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;know
Elvis Presley;His Hand In Mine;my
Elvis Presley;His Hand In Mine;lord
Elvis Presley;His Hand In Mine;is
Elvis Presley;His Hand In Mine;real
Elvis Presley;His Hand In Mine;(my
Elvis Presley;His Hand In Mine;lord
Elvis Presley;His Hand In Mine;is
Elvis Presley;His Hand In Mine;real)
Elvis Presley;His Hand In Mine;you
Elvis Presley;His Hand In Mine;may
Elvis Presley;His Hand In Mine;doubt
Elvis Presley;His Hand In Mine;the
Elvis Presley;His Hand In Mine;things
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;say
Elvis Presley;His Hand In Mine;and
Elvis Presley;His Hand In Mine;doubt
Elvis Presley;His Hand In Mine;the
Elvis Presley;His Hand In Mine;way
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;feel
Elvis Presley;His Hand In Mine;(the
Elvis Presley;His Hand In Mine;way
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;feel)
Elvis Presley;His Hand In Mine;but
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;know
Elvis Presley;His Hand In Mine;he's
Elvis Presley;His Hand In Mine;real
Elvis Presley;His Hand In Mine;today,
Elvis Presley;His Hand In Mine;he'll
Elvis Presley;His Hand In Mine;always
Elvis Presley;His Hand In Mine;be
Elvis Presley;His Hand In Mine;(he'll
Elvis Presley;His Hand In Mine;always
Elvis Presley;His Hand In Mine;be)
Elvis Presley;His Hand In Mine;i
Elvis Presley;His Hand In Mine;can
Elvis Presley;His Hand In Mine;feel
Elvis Presley;His Hand In Mine;his
Elvis Presley;His Hand In Mine;hand
Elvis Presley;His Hand In Mine;in
