artist_name;song_title;token
Elvis Presley;Lovin' Arms;if
Elvis Presley;Lovin' Arms;you
Elvis Presley;Lovin' Arms;could
Elvis Presley;Lovin' Arms;see
Elvis Presley;Lovin' Arms;me
Elvis Presley;Lovin' Arms;now
Elvis Presley;Lovin' Arms;the
Elvis Presley;Lovin' Arms;one
Elvis Presley;Lovin' Arms;who
Elvis Presley;Lovin' Arms;said
Elvis Presley;Lovin' Arms;that
Elvis Presley;Lovin' Arms;he
Elvis Presley;Lovin' Arms;would
Elvis Presley;Lovin' Arms;rather
Elvis Presley;Lovin' Arms;roam
Elvis Presley;Lovin' Arms;the
Elvis Presley;Lovin' Arms;one
Elvis Presley;Lovin' Arms;who
Elvis Presley;Lovin' Arms;said
Elvis Presley;Lovin' Arms;he'd
Elvis Presley;Lovin' Arms;rather
Elvis Presley;Lovin' Arms;be
Elvis Presley;Lovin' Arms;alone
Elvis Presley;Lovin' Arms;if
Elvis Presley;Lovin' Arms;you
Elvis Presley;Lovin' Arms;could
Elvis Presley;Lovin' Arms;only
Elvis Presley;Lovin' Arms;see
Elvis Presley;Lovin' Arms;me
Elvis Presley;Lovin' Arms;now
Elvis Presley;Lovin' Arms;if
Elvis Presley;Lovin' Arms;i
Elvis Presley;Lovin' Arms;could
Elvis Presley;Lovin' Arms;hold
Elvis Presley;Lovin' Arms;you
Elvis Presley;Lovin' Arms;now
Elvis Presley;Lovin' Arms;just
Elvis Presley;Lovin' Arms;for
Elvis Presley;Lovin' Arms;a
Elvis Presley;Lovin' Arms;moment,
Elvis Presley;Lovin' Arms;if
Elvis Presley;Lovin' Arms;i
Elvis Presley;Lovin' Arms;could
Elvis Presley;Lovin' Arms;really
Elvis Presley;Lovin' Arms;make
Elvis Presley;Lovin' Arms;you
Elvis Presley;Lovin' Arms;mine
Elvis Presley;Lovin' Arms;just
Elvis Presley;Lovin' Arms;for
Elvis Presley;Lovin' Arms;a
Elvis Presley;Lovin' Arms;while
Elvis Presley;Lovin' Arms;turn
Elvis Presley;Lovin' Arms;back
