artist_name;song_title;token
Elvis Presley;Paradise, Hawaiian Style;hawaii,
Elvis Presley;Paradise, Hawaiian Style;u.s.a.,
Elvis Presley;Paradise, Hawaiian Style;hawaii.u.s.a.
Elvis Presley;Paradise, Hawaiian Style;we're
Elvis Presley;Paradise, Hawaiian Style;flyin',
Elvis Presley;Paradise, Hawaiian Style;comin'
Elvis Presley;Paradise, Hawaiian Style;your
Elvis Presley;Paradise, Hawaiian Style;way
Elvis Presley;Paradise, Hawaiian Style;aloha,
Elvis Presley;Paradise, Hawaiian Style;hawaii
Elvis Presley;Paradise, Hawaiian Style;u.s.a.
Elvis Presley;Paradise, Hawaiian Style;gee
Elvis Presley;Paradise, Hawaiian Style;it's
Elvis Presley;Paradise, Hawaiian Style;great,
Elvis Presley;Paradise, Hawaiian Style;to
Elvis Presley;Paradise, Hawaiian Style;be
Elvis Presley;Paradise, Hawaiian Style;in
Elvis Presley;Paradise, Hawaiian Style;that
Elvis Presley;Paradise, Hawaiian Style;fiftieth
Elvis Presley;Paradise, Hawaiian Style;state
Elvis Presley;Paradise, Hawaiian Style;the
Elvis Presley;Paradise, Hawaiian Style;land
Elvis Presley;Paradise, Hawaiian Style;of
Elvis Presley;Paradise, Hawaiian Style;enchanted
Elvis Presley;Paradise, Hawaiian Style;dreams
Elvis Presley;Paradise, Hawaiian Style;what
Elvis Presley;Paradise, Hawaiian Style;an
Elvis Presley;Paradise, Hawaiian Style;isle,
Elvis Presley;Paradise, Hawaiian Style;where
Elvis Presley;Paradise, Hawaiian Style;it's
Elvis Presley;Paradise, Hawaiian Style;heaven
Elvis Presley;Paradise, Hawaiian Style;tropical
Elvis Presley;Paradise, Hawaiian Style;style
Elvis Presley;Paradise, Hawaiian Style;where
Elvis Presley;Paradise, Hawaiian Style;love
Elvis Presley;Paradise, Hawaiian Style;weaves
Elvis Presley;Paradise, Hawaiian Style;a
Elvis Presley;Paradise, Hawaiian Style;spell,
Elvis Presley;Paradise, Hawaiian Style;it
Elvis Presley;Paradise, Hawaiian Style;seems
Elvis Presley;Paradise, Hawaiian Style;hawaii,
Elvis Presley;Paradise, Hawaiian Style;u.s.a.,
Elvis Presley;Paradise, Hawaiian Style;hawaii.u.s.a.
Elvis Presley;Paradise, Hawaiian Style;we're
Elvis Presley;Paradise, Hawaiian Style;flyin',
Elvis Presley;Paradise, Hawaiian Style;comin'
Elvis Presley;Paradise, Hawaiian Style;your
Elvis Presley;Paradise, Hawaiian Style;way
Elvis Presley;Paradise, Hawaiian Style;hawaii,
Elvis Presley;Paradise, Hawaiian Style;u.s.a.,
Elvis Presley;Paradise, Hawaiian Style;hawaii.u.s.a.
Elvis Presley;Paradise, Hawaiian Style;we're
Elvis Presley;Paradise, Hawaiian Style;flyin',
Elvis Presley;Paradise, Hawaiian Style;comin'
Elvis Presley;Paradise, Hawaiian Style;your
Elvis Presley;Paradise, Hawaiian Style;way
