artist_name;song_title;token
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;way
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;moves
Elvis Presley;Rock-A-Hula Baby;her
Elvis Presley;Rock-A-Hula Baby;hips
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;her
Elvis Presley;Rock-A-Hula Baby;fingertips
Elvis Presley;Rock-A-Hula Baby;i
Elvis Presley;Rock-A-Hula Baby;feel
Elvis Presley;Rock-A-Hula Baby;i'm
Elvis Presley;Rock-A-Hula Baby;heaven
Elvis Presley;Rock-A-Hula Baby;bound
Elvis Presley;Rock-A-Hula Baby;and
Elvis Presley;Rock-A-Hula Baby;when
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;starts
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;sway,
Elvis Presley;Rock-A-Hula Baby;i've
Elvis Presley;Rock-A-Hula Baby;gotta
Elvis Presley;Rock-A-Hula Baby;say
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;really
Elvis Presley;Rock-A-Hula Baby;move
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;grass
Elvis Presley;Rock-A-Hula Baby;around
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;way
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;moves
Elvis Presley;Rock-A-Hula Baby;her
Elvis Presley;Rock-A-Hula Baby;hips
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;her
Elvis Presley;Rock-A-Hula Baby;fingertips
Elvis Presley;Rock-A-Hula Baby;i
Elvis Presley;Rock-A-Hula Baby;feel
Elvis Presley;Rock-A-Hula Baby;i'm
Elvis Presley;Rock-A-Hula Baby;heaven
Elvis Presley;Rock-A-Hula Baby;bound
Elvis Presley;Rock-A-Hula Baby;and
Elvis Presley;Rock-A-Hula Baby;when
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;starts
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;sway,
Elvis Presley;Rock-A-Hula Baby;i've
Elvis Presley;Rock-A-Hula Baby;gotta
Elvis Presley;Rock-A-Hula Baby;say
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;really
Elvis Presley;Rock-A-Hula Baby;move
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;grass
Elvis Presley;Rock-A-Hula Baby;around
Elvis Presley;Rock-A-Hula Baby;rock-a-hula
Elvis Presley;Rock-A-Hula Baby;baby
Elvis Presley;Rock-A-Hula Baby;rock-a-hula
Elvis Presley;Rock-A-Hula Baby;baby
Elvis Presley;Rock-A-Hula Baby;got
Elvis Presley;Rock-A-Hula Baby;a
Elvis Presley;Rock-A-Hula Baby;hula
Elvis Presley;Rock-A-Hula Baby;lulu
Elvis Presley;Rock-A-Hula Baby;from
Elvis Presley;Rock-A-Hula Baby;honolulu
Elvis Presley;Rock-A-Hula Baby;that
Elvis Presley;Rock-A-Hula Baby;rock-a-hula
Elvis Presley;Rock-A-Hula Baby;baby
Elvis Presley;Rock-A-Hula Baby;of
Elvis Presley;Rock-A-Hula Baby;mine
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock-rock-a-hula
Elvis Presley;Rock-A-Hula Baby;rock-a-hula,
Elvis Presley;Rock-A-Hula Baby;rock
Elvis Presley;Rock-A-Hula Baby;although
Elvis Presley;Rock-A-Hula Baby;i
Elvis Presley;Rock-A-Hula Baby;love
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;kiss
Elvis Presley;Rock-A-Hula Baby;my
Elvis Presley;Rock-A-Hula Baby;little
Elvis Presley;Rock-A-Hula Baby;hula
Elvis Presley;Rock-A-Hula Baby;miss
Elvis Presley;Rock-A-Hula Baby;i
Elvis Presley;Rock-A-Hula Baby;never
Elvis Presley;Rock-A-Hula Baby;get
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;chance
Elvis Presley;Rock-A-Hula Baby;i
Elvis Presley;Rock-A-Hula Baby;wanna
Elvis Presley;Rock-A-Hula Baby;hold
Elvis Presley;Rock-A-Hula Baby;her
Elvis Presley;Rock-A-Hula Baby;tight
Elvis Presley;Rock-A-Hula Baby;all
Elvis Presley;Rock-A-Hula Baby;through
Elvis Presley;Rock-A-Hula Baby;the
Elvis Presley;Rock-A-Hula Baby;night
Elvis Presley;Rock-A-Hula Baby;but
Elvis Presley;Rock-A-Hula Baby;all
Elvis Presley;Rock-A-Hula Baby;she
Elvis Presley;Rock-A-Hula Baby;wants
Elvis Presley;Rock-A-Hula Baby;to
Elvis Presley;Rock-A-Hula Baby;do
