artist_name;song_title;token
Elvis Presley;Silver Bells;silver
Elvis Presley;Silver Bells;bells,
Elvis Presley;Silver Bells;silver
Elvis Presley;Silver Bells;bells
Elvis Presley;Silver Bells;it's
Elvis Presley;Silver Bells;christmas
Elvis Presley;Silver Bells;time
Elvis Presley;Silver Bells;in
Elvis Presley;Silver Bells;the
Elvis Presley;Silver Bells;city
Elvis Presley;Silver Bells;ring-a-ling,
Elvis Presley;Silver Bells;hear
Elvis Presley;Silver Bells;them
Elvis Presley;Silver Bells;ring
Elvis Presley;Silver Bells;soon
Elvis Presley;Silver Bells;it
Elvis Presley;Silver Bells;will
Elvis Presley;Silver Bells;be
Elvis Presley;Silver Bells;christmas
Elvis Presley;Silver Bells;day
Elvis Presley;Silver Bells;city
Elvis Presley;Silver Bells;sidewalks,
Elvis Presley;Silver Bells;busy
Elvis Presley;Silver Bells;sidewalks
Elvis Presley;Silver Bells;dressed
Elvis Presley;Silver Bells;in
Elvis Presley;Silver Bells;holiday
Elvis Presley;Silver Bells;style
Elvis Presley;Silver Bells;in
Elvis Presley;Silver Bells;the
Elvis Presley;Silver Bells;air
Elvis Presley;Silver Bells;there's
Elvis Presley;Silver Bells;a
Elvis Presley;Silver Bells;feeling
Elvis Presley;Silver Bells;of
Elvis Presley;Silver Bells;christmas
Elvis Presley;Silver Bells;children
Elvis Presley;Silver Bells;laughing,
Elvis Presley;Silver Bells;people
Elvis Presley;Silver Bells;passing
Elvis Presley;Silver Bells;meeting
Elvis Presley;Silver Bells;smile
Elvis Presley;Silver Bells;after
Elvis Presley;Silver Bells;smile
Elvis Presley;Silver Bells;and
Elvis Presley;Silver Bells;on
Elvis Presley;Silver Bells;every
Elvis Presley;Silver Bells;street
Elvis Presley;Silver Bells;corner
Elvis Presley;Silver Bells;you'll
Elvis Presley;Silver Bells;hear
Elvis Presley;Silver Bells;silver
Elvis Presley;Silver Bells;bells,
Elvis Presley;Silver Bells;silver
Elvis Presley;Silver Bells;bells
Elvis Presley;Silver Bells;it's
Elvis Presley;Silver Bells;christmas
Elvis Presley;Silver Bells;time
Elvis Presley;Silver Bells;in
Elvis Presley;Silver Bells;the
Elvis Presley;Silver Bells;city
Elvis Presley;Silver Bells;ring-a-ling,
Elvis Presley;Silver Bells;hear
Elvis Presley;Silver Bells;them
Elvis Presley;Silver Bells;ring
Elvis Presley;Silver Bells;soon
Elvis Presley;Silver Bells;it
Elvis Presley;Silver Bells;will
Elvis Presley;Silver Bells;be
Elvis Presley;Silver Bells;christmas
Elvis Presley;Silver Bells;day
Elvis Presley;Silver Bells;city
Elvis Presley;Silver Bells;sidewalks,
Elvis Presley;Silver Bells;busy
Elvis Presley;Silver Bells;sidewalks
Elvis Presley;Silver Bells;dressed
Elvis Presley;Silver Bells;in
