artist_name;song_title;token
Elvis Presley;Singing Tree;you're
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;one
Elvis Presley;Singing Tree;who
Elvis Presley;Singing Tree;beckoned
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;fanned
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;flame
Elvis Presley;Singing Tree;when
Elvis Presley;Singing Tree;our
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;began
Elvis Presley;Singing Tree;so
Elvis Presley;Singing Tree;don't
Elvis Presley;Singing Tree;pretend
Elvis Presley;Singing Tree;you
Elvis Presley;Singing Tree;don't
Elvis Presley;Singing Tree;know
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;our
Elvis Presley;Singing Tree;names
Elvis Presley;Singing Tree;are
Elvis Presley;Singing Tree;carved
Elvis Presley;Singing Tree;on
Elvis Presley;Singing Tree;you,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;oh
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;sing
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;call
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;friend
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;roving
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;maybe
Elvis Presley;Singing Tree;he
Elvis Presley;Singing Tree;can
Elvis Presley;Singing Tree;find
Elvis Presley;Singing Tree;my
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;bring
Elvis Presley;Singing Tree;her
Elvis Presley;Singing Tree;back,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;leaves
Elvis Presley;Singing Tree;have
Elvis Presley;Singing Tree;turned
Elvis Presley;Singing Tree;from
Elvis Presley;Singing Tree;green
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;blue
Elvis Presley;Singing Tree;you're
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;one
Elvis Presley;Singing Tree;who
Elvis Presley;Singing Tree;beckoned
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;fanned
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;flame
Elvis Presley;Singing Tree;when
Elvis Presley;Singing Tree;our
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;began
Elvis Presley;Singing Tree;so
Elvis Presley;Singing Tree;don't
Elvis Presley;Singing Tree;pretend
Elvis Presley;Singing Tree;you
Elvis Presley;Singing Tree;don't
Elvis Presley;Singing Tree;know
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;our
Elvis Presley;Singing Tree;names
Elvis Presley;Singing Tree;are
Elvis Presley;Singing Tree;carved
Elvis Presley;Singing Tree;on
Elvis Presley;Singing Tree;you,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;oh
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;sing
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;call
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;friend
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;roving
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;maybe
Elvis Presley;Singing Tree;he
Elvis Presley;Singing Tree;can
Elvis Presley;Singing Tree;find
Elvis Presley;Singing Tree;my
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;bring
Elvis Presley;Singing Tree;her
Elvis Presley;Singing Tree;back,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;leaves
Elvis Presley;Singing Tree;have
Elvis Presley;Singing Tree;turned
Elvis Presley;Singing Tree;from
Elvis Presley;Singing Tree;green
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;blue
Elvis Presley;Singing Tree;sometimes
Elvis Presley;Singing Tree;i
Elvis Presley;Singing Tree;think
Elvis Presley;Singing Tree;you
Elvis Presley;Singing Tree;loved
Elvis Presley;Singing Tree;her
Elvis Presley;Singing Tree;too
Elvis Presley;Singing Tree;but
Elvis Presley;Singing Tree;since
Elvis Presley;Singing Tree;she
Elvis Presley;Singing Tree;left
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;our
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;died
Elvis Presley;Singing Tree;you
Elvis Presley;Singing Tree;stand
Elvis Presley;Singing Tree;petrified,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;oh
Elvis Presley;Singing Tree;sing
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;call
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;friend
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;roving
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;maybe
Elvis Presley;Singing Tree;he
Elvis Presley;Singing Tree;can
Elvis Presley;Singing Tree;find
Elvis Presley;Singing Tree;my
Elvis Presley;Singing Tree;love
Elvis Presley;Singing Tree;and
Elvis Presley;Singing Tree;bring
Elvis Presley;Singing Tree;her
Elvis Presley;Singing Tree;back,
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;oh
Elvis Presley;Singing Tree;sing
Elvis Presley;Singing Tree;to
Elvis Presley;Singing Tree;me
Elvis Presley;Singing Tree;singing
Elvis Presley;Singing Tree;tree
Elvis Presley;Singing Tree;call
Elvis Presley;Singing Tree;your
Elvis Presley;Singing Tree;friend
Elvis Presley;Singing Tree;the
Elvis Presley;Singing Tree;roving
Elvis Presley;Singing Tree;wind
Elvis Presley;Singing Tree;maybe
Elvis Presley;Singing Tree;he
Elvis Presley;Singing Tree;can
Elvis Presley;Singing Tree;find
Elvis Presley;Singing Tree;my
Elvis Presley;Singing Tree;love
