artist_name;song_title;token
Elvis Presley;Stranger In My Own Home Town;i'm
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;in
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;own
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;town
Elvis Presley;Stranger In My Own Home Town;i'm
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;in
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;own
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;town
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;so
Elvis Presley;Stranger In My Own Home Town;called
Elvis Presley;Stranger In My Own Home Town;friends
Elvis Presley;Stranger In My Own Home Town;stopped
Elvis Presley;Stranger In My Own Home Town;being
Elvis Presley;Stranger In My Own Home Town;friendly
Elvis Presley;Stranger In My Own Home Town;oh,
Elvis Presley;Stranger In My Own Home Town;but
Elvis Presley;Stranger In My Own Home Town;you
Elvis Presley;Stranger In My Own Home Town;can't
Elvis Presley;Stranger In My Own Home Town;keep
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;good
Elvis Presley;Stranger In My Own Home Town;man
Elvis Presley;Stranger In My Own Home Town;down
Elvis Presley;Stranger In My Own Home Town;oh
Elvis Presley;Stranger In My Own Home Town;no,
Elvis Presley;Stranger In My Own Home Town;can't
Elvis Presley;Stranger In My Own Home Town;get
Elvis Presley;Stranger In My Own Home Town;him
Elvis Presley;Stranger In My Own Home Town;down
Elvis Presley;Stranger In My Own Home Town;i
Elvis Presley;Stranger In My Own Home Town;came
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;with
Elvis Presley;Stranger In My Own Home Town;good
Elvis Presley;Stranger In My Own Home Town;intentions
Elvis Presley;Stranger In My Own Home Town;about
Elvis Presley;Stranger In My Own Home Town;5
Elvis Presley;Stranger In My Own Home Town;or
Elvis Presley;Stranger In My Own Home Town;6
Elvis Presley;Stranger In My Own Home Town;years
Elvis Presley;Stranger In My Own Home Town;ago
Elvis Presley;Stranger In My Own Home Town;i
Elvis Presley;Stranger In My Own Home Town;came
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;with
Elvis Presley;Stranger In My Own Home Town;good
Elvis Presley;Stranger In My Own Home Town;intentions
Elvis Presley;Stranger In My Own Home Town;i'm
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;in
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;own
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;town
Elvis Presley;Stranger In My Own Home Town;i'm
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;like
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;stranger
Elvis Presley;Stranger In My Own Home Town;in
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;own
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;town
Elvis Presley;Stranger In My Own Home Town;my
Elvis Presley;Stranger In My Own Home Town;so
Elvis Presley;Stranger In My Own Home Town;called
Elvis Presley;Stranger In My Own Home Town;friends
Elvis Presley;Stranger In My Own Home Town;stopped
Elvis Presley;Stranger In My Own Home Town;being
Elvis Presley;Stranger In My Own Home Town;friendly
Elvis Presley;Stranger In My Own Home Town;oh,
Elvis Presley;Stranger In My Own Home Town;but
Elvis Presley;Stranger In My Own Home Town;you
Elvis Presley;Stranger In My Own Home Town;can't
Elvis Presley;Stranger In My Own Home Town;keep
Elvis Presley;Stranger In My Own Home Town;a
Elvis Presley;Stranger In My Own Home Town;good
Elvis Presley;Stranger In My Own Home Town;man
Elvis Presley;Stranger In My Own Home Town;down
Elvis Presley;Stranger In My Own Home Town;oh
Elvis Presley;Stranger In My Own Home Town;no,
Elvis Presley;Stranger In My Own Home Town;can't
Elvis Presley;Stranger In My Own Home Town;get
Elvis Presley;Stranger In My Own Home Town;him
Elvis Presley;Stranger In My Own Home Town;down
Elvis Presley;Stranger In My Own Home Town;i
Elvis Presley;Stranger In My Own Home Town;came
Elvis Presley;Stranger In My Own Home Town;home
Elvis Presley;Stranger In My Own Home Town;with
Elvis Presley;Stranger In My Own Home Town;good
Elvis Presley;Stranger In My Own Home Town;intentions
Elvis Presley;Stranger In My Own Home Town;about
Elvis Presley;Stranger In My Own Home Town;5
