artist_name;song_title;token
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;can't
Elvis Presley;Tender Feeling;conceal
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;now
Elvis Presley;Tender Feeling;that
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;are
Elvis Presley;Tender Feeling;close
Elvis Presley;Tender Feeling;to
Elvis Presley;Tender Feeling;me
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;look
Elvis Presley;Tender Feeling;at
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;with
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;and
Elvis Presley;Tender Feeling;can't
Elvis Presley;Tender Feeling;help
Elvis Presley;Tender Feeling;kiss
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;tenderly
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;offer
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;a
Elvis Presley;Tender Feeling;true
Elvis Presley;Tender Feeling;devotion
Elvis Presley;Tender Feeling;all
Elvis Presley;Tender Feeling;life
Elvis Presley;Tender Feeling;through
Elvis Presley;Tender Feeling;my
Elvis Presley;Tender Feeling;love
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;vow
Elvis Presley;Tender Feeling;for
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;is
Elvis Presley;Tender Feeling;real,
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;sweet
Elvis Presley;Tender Feeling;emotion
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;have
Elvis Presley;Tender Feeling;now
Elvis Presley;Tender Feeling;somehow
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;knew
Elvis Presley;Tender Feeling;from
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;moment
Elvis Presley;Tender Feeling;our
Elvis Presley;Tender Feeling;lips
Elvis Presley;Tender Feeling;first
Elvis Presley;Tender Feeling;met
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;can't
Elvis Presley;Tender Feeling;conceal
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;now
Elvis Presley;Tender Feeling;that
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;are
Elvis Presley;Tender Feeling;close
Elvis Presley;Tender Feeling;to
Elvis Presley;Tender Feeling;me
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;look
Elvis Presley;Tender Feeling;at
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;with
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;and
Elvis Presley;Tender Feeling;can't
Elvis Presley;Tender Feeling;help
Elvis Presley;Tender Feeling;kiss
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;tenderly
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;offer
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;a
Elvis Presley;Tender Feeling;true
Elvis Presley;Tender Feeling;devotion
Elvis Presley;Tender Feeling;all
Elvis Presley;Tender Feeling;life
Elvis Presley;Tender Feeling;through
Elvis Presley;Tender Feeling;my
Elvis Presley;Tender Feeling;love
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;vow
Elvis Presley;Tender Feeling;for
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;is
Elvis Presley;Tender Feeling;real,
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;sweet
Elvis Presley;Tender Feeling;emotion
Elvis Presley;Tender Feeling;this
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;have
Elvis Presley;Tender Feeling;now
Elvis Presley;Tender Feeling;somehow
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;knew
Elvis Presley;Tender Feeling;from
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;moment
Elvis Presley;Tender Feeling;our
Elvis Presley;Tender Feeling;lips
Elvis Presley;Tender Feeling;first
Elvis Presley;Tender Feeling;met
Elvis Presley;Tender Feeling;you'd
Elvis Presley;Tender Feeling;be
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;girl
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;could
Elvis Presley;Tender Feeling;never
Elvis Presley;Tender Feeling;forget
Elvis Presley;Tender Feeling;no
Elvis Presley;Tender Feeling;other
Elvis Presley;Tender Feeling;love
Elvis Presley;Tender Feeling;could
Elvis Presley;Tender Feeling;be
Elvis Presley;Tender Feeling;appealing
Elvis Presley;Tender Feeling;i
Elvis Presley;Tender Feeling;loved
Elvis Presley;Tender Feeling;you
Elvis Presley;Tender Feeling;right
Elvis Presley;Tender Feeling;from
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;start
Elvis Presley;Tender Feeling;and
Elvis Presley;Tender Feeling;with
Elvis Presley;Tender Feeling;each
Elvis Presley;Tender Feeling;kiss
Elvis Presley;Tender Feeling;i'll
Elvis Presley;Tender Feeling;keep
Elvis Presley;Tender Feeling;revealing
Elvis Presley;Tender Feeling;the
Elvis Presley;Tender Feeling;tender
Elvis Presley;Tender Feeling;feeling
Elvis Presley;Tender Feeling;in
Elvis Presley;Tender Feeling;my
Elvis Presley;Tender Feeling;heart
