artist_name;song_title;token
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;first
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;angels
Elvis Presley;The First Noel;did
Elvis Presley;The First Noel;sing
Elvis Presley;The First Noel;was
Elvis Presley;The First Noel;to
Elvis Presley;The First Noel;certain
Elvis Presley;The First Noel;poor
Elvis Presley;The First Noel;shepherds
Elvis Presley;The First Noel;in
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;as
Elvis Presley;The First Noel;they
Elvis Presley;The First Noel;lay
Elvis Presley;The First Noel;in
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;where
Elvis Presley;The First Noel;they
Elvis Presley;The First Noel;lay
Elvis Presley;The First Noel;keeping
Elvis Presley;The First Noel;their
Elvis Presley;The First Noel;sheep
Elvis Presley;The First Noel;on
Elvis Presley;The First Noel;a
Elvis Presley;The First Noel;cold
Elvis Presley;The First Noel;winter's
Elvis Presley;The First Noel;night
Elvis Presley;The First Noel;that
Elvis Presley;The First Noel;was
Elvis Presley;The First Noel;so
Elvis Presley;The First Noel;deep
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;born
Elvis Presley;The First Noel;is
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;king
Elvis Presley;The First Noel;of
Elvis Presley;The First Noel;israel
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;to
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;earth
Elvis Presley;The First Noel;it
Elvis Presley;The First Noel;gave
Elvis Presley;The First Noel;great
Elvis Presley;The First Noel;light
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;so
Elvis Presley;The First Noel;it
Elvis Presley;The First Noel;continued
Elvis Presley;The First Noel;both
Elvis Presley;The First Noel;day
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;night
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;first
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;angels
Elvis Presley;The First Noel;did
Elvis Presley;The First Noel;sing
Elvis Presley;The First Noel;was
Elvis Presley;The First Noel;to
Elvis Presley;The First Noel;certain
Elvis Presley;The First Noel;poor
Elvis Presley;The First Noel;shepherds
Elvis Presley;The First Noel;in
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;as
Elvis Presley;The First Noel;they
Elvis Presley;The First Noel;lay
Elvis Presley;The First Noel;in
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;fields
Elvis Presley;The First Noel;where
Elvis Presley;The First Noel;they
Elvis Presley;The First Noel;lay
Elvis Presley;The First Noel;keeping
Elvis Presley;The First Noel;their
Elvis Presley;The First Noel;sheep
Elvis Presley;The First Noel;on
Elvis Presley;The First Noel;a
Elvis Presley;The First Noel;cold
Elvis Presley;The First Noel;winter's
Elvis Presley;The First Noel;night
Elvis Presley;The First Noel;that
Elvis Presley;The First Noel;was
Elvis Presley;The First Noel;so
Elvis Presley;The First Noel;deep
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;born
Elvis Presley;The First Noel;is
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;king
Elvis Presley;The First Noel;of
Elvis Presley;The First Noel;israel
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;to
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;earth
Elvis Presley;The First Noel;it
Elvis Presley;The First Noel;gave
Elvis Presley;The First Noel;great
Elvis Presley;The First Noel;light
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;so
Elvis Presley;The First Noel;it
Elvis Presley;The First Noel;continued
Elvis Presley;The First Noel;both
Elvis Presley;The First Noel;day
Elvis Presley;The First Noel;and
Elvis Presley;The First Noel;night
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;born
Elvis Presley;The First Noel;is
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;king
Elvis Presley;The First Noel;of
Elvis Presley;The First Noel;israel
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel,
Elvis Presley;The First Noel;noel
Elvis Presley;The First Noel;born
Elvis Presley;The First Noel;is
Elvis Presley;The First Noel;the
Elvis Presley;The First Noel;king
Elvis Presley;The First Noel;of
Elvis Presley;The First Noel;israel
