artist_name;song_title;token
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;three
Elvis Presley;Three Corn Patches;corn
Elvis Presley;Three Corn Patches;patches
Elvis Presley;Three Corn Patches;about
Elvis Presley;Three Corn Patches;four
Elvis Presley;Three Corn Patches;cotton
Elvis Presley;Three Corn Patches;fields
Elvis Presley;Three Corn Patches;away
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;three
Elvis Presley;Three Corn Patches;corn
Elvis Presley;Three Corn Patches;patches
Elvis Presley;Three Corn Patches;about
Elvis Presley;Three Corn Patches;four
Elvis Presley;Three Corn Patches;cotton
Elvis Presley;Three Corn Patches;fields
Elvis Presley;Three Corn Patches;away
Elvis Presley;Three Corn Patches;lives
Elvis Presley;Three Corn Patches;the
Elvis Presley;Three Corn Patches;prettiest
Elvis Presley;Three Corn Patches;girl
Elvis Presley;Three Corn Patches;in
Elvis Presley;Three Corn Patches;the
Elvis Presley;Three Corn Patches;whole
Elvis Presley;Three Corn Patches;darn
Elvis Presley;Three Corn Patches;u.s.a.
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;a
Elvis Presley;Three Corn Patches;she's
Elvis Presley;Three Corn Patches;got
Elvis Presley;Three Corn Patches;big
Elvis Presley;Three Corn Patches;brown
Elvis Presley;Three Corn Patches;eyes
Elvis Presley;Three Corn Patches;and
Elvis Presley;Three Corn Patches;long
Elvis Presley;Three Corn Patches;black
Elvis Presley;Three Corn Patches;wavy
Elvis Presley;Three Corn Patches;hair,
Elvis Presley;Three Corn Patches;mmm
Elvis Presley;Three Corn Patches;she's
Elvis Presley;Three Corn Patches;got
Elvis Presley;Three Corn Patches;big
Elvis Presley;Three Corn Patches;brown
Elvis Presley;Three Corn Patches;eyes
Elvis Presley;Three Corn Patches;and
Elvis Presley;Three Corn Patches;long
Elvis Presley;Three Corn Patches;black
Elvis Presley;Three Corn Patches;wavy
Elvis Presley;Three Corn Patches;hair
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;three
Elvis Presley;Three Corn Patches;corn
Elvis Presley;Three Corn Patches;patches
Elvis Presley;Three Corn Patches;about
Elvis Presley;Three Corn Patches;four
Elvis Presley;Three Corn Patches;cotton
Elvis Presley;Three Corn Patches;fields
Elvis Presley;Three Corn Patches;away
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;three
Elvis Presley;Three Corn Patches;corn
Elvis Presley;Three Corn Patches;patches
Elvis Presley;Three Corn Patches;about
Elvis Presley;Three Corn Patches;four
Elvis Presley;Three Corn Patches;cotton
Elvis Presley;Three Corn Patches;fields
Elvis Presley;Three Corn Patches;away
Elvis Presley;Three Corn Patches;lives
Elvis Presley;Three Corn Patches;the
Elvis Presley;Three Corn Patches;prettiest
Elvis Presley;Three Corn Patches;girl
Elvis Presley;Three Corn Patches;in
Elvis Presley;Three Corn Patches;the
Elvis Presley;Three Corn Patches;whole
Elvis Presley;Three Corn Patches;darn
Elvis Presley;Three Corn Patches;u.s.a.
Elvis Presley;Three Corn Patches;i
Elvis Presley;Three Corn Patches;said
Elvis Presley;Three Corn Patches;a
Elvis Presley;Three Corn Patches;she's
Elvis Presley;Three Corn Patches;got
Elvis Presley;Three Corn Patches;big
Elvis Presley;Three Corn Patches;brown
Elvis Presley;Three Corn Patches;eyes
Elvis Presley;Three Corn Patches;and
Elvis Presley;Three Corn Patches;long
Elvis Presley;Three Corn Patches;black
Elvis Presley;Three Corn Patches;wavy
Elvis Presley;Three Corn Patches;hair,
Elvis Presley;Three Corn Patches;mmm
Elvis Presley;Three Corn Patches;she's
Elvis Presley;Three Corn Patches;got
Elvis Presley;Three Corn Patches;big
Elvis Presley;Three Corn Patches;brown
Elvis Presley;Three Corn Patches;eyes
Elvis Presley;Three Corn Patches;and
Elvis Presley;Three Corn Patches;long
Elvis Presley;Three Corn Patches;black
Elvis Presley;Three Corn Patches;wavy
Elvis Presley;Three Corn Patches;hair
Elvis Presley;Three Corn Patches;she's
Elvis Presley;Three Corn Patches;so
Elvis Presley;Three Corn Patches;beautiful,
Elvis Presley;Three Corn Patches;people
Elvis Presley;Three Corn Patches;it
Elvis Presley;Three Corn Patches;don't
Elvis Presley;Three Corn Patches;seem
Elvis Presley;Three Corn Patches;fair
Elvis Presley;Three Corn Patches;well
Elvis Presley;Three Corn Patches;i've
Elvis Presley;Three Corn Patches;been
Elvis Presley;Three Corn Patches;to
Elvis Presley;Three Corn Patches;chicago,
Elvis Presley;Three Corn Patches;been
Elvis Presley;Three Corn Patches;to
Elvis Presley;Three Corn Patches;new
Elvis Presley;Three Corn Patches;orleans
Elvis Presley;Three Corn Patches;yes,
Elvis Presley;Three Corn Patches;i've
Elvis Presley;Three Corn Patches;been
Elvis Presley;Three Corn Patches;to
