artist_name;song_title;token
Elvis Presley;Today, Tomorrow And Forever;i
Elvis Presley;Today, Tomorrow And Forever;give,
Elvis Presley;Today, Tomorrow And Forever;give
Elvis Presley;Today, Tomorrow And Forever;you
Elvis Presley;Today, Tomorrow And Forever;my
Elvis Presley;Today, Tomorrow And Forever;heart
Elvis Presley;Today, Tomorrow And Forever;today,
Elvis Presley;Today, Tomorrow And Forever;tomorrow
Elvis Presley;Today, Tomorrow And Forever;and
Elvis Presley;Today, Tomorrow And Forever;forever
Elvis Presley;Today, Tomorrow And Forever;you'll
Elvis Presley;Today, Tomorrow And Forever;always
Elvis Presley;Today, Tomorrow And Forever;be
Elvis Presley;Today, Tomorrow And Forever;my
Elvis Presley;Today, Tomorrow And Forever;love
Elvis Presley;Today, Tomorrow And Forever;i
Elvis Presley;Today, Tomorrow And Forever;vow
Elvis Presley;Today, Tomorrow And Forever;we'll
Elvis Presley;Today, Tomorrow And Forever;never
Elvis Presley;Today, Tomorrow And Forever;part
Elvis Presley;Today, Tomorrow And Forever;today,
Elvis Presley;Today, Tomorrow And Forever;tomorrow
Elvis Presley;Today, Tomorrow And Forever;and
Elvis Presley;Today, Tomorrow And Forever;forever
Elvis Presley;Today, Tomorrow And Forever;long
Elvis Presley;Today, Tomorrow And Forever;as
Elvis Presley;Today, Tomorrow And Forever;there's
Elvis Presley;Today, Tomorrow And Forever;stars
Elvis Presley;Today, Tomorrow And Forever;above
Elvis Presley;Today, Tomorrow And Forever;the
Elvis Presley;Today, Tomorrow And Forever;cares
Elvis Presley;Today, Tomorrow And Forever;of
Elvis Presley;Today, Tomorrow And Forever;life
Elvis Presley;Today, Tomorrow And Forever;will
Elvis Presley;Today, Tomorrow And Forever;fade
Elvis Presley;Today, Tomorrow And Forever;away
Elvis Presley;Today, Tomorrow And Forever;as
Elvis Presley;Today, Tomorrow And Forever;long
Elvis Presley;Today, Tomorrow And Forever;as
Elvis Presley;Today, Tomorrow And Forever;we're
Elvis Presley;Today, Tomorrow And Forever;together
Elvis Presley;Today, Tomorrow And Forever;so
Elvis Presley;Today, Tomorrow And Forever;stay,
Elvis Presley;Today, Tomorrow And Forever;stay
Elvis Presley;Today, Tomorrow And Forever;in
Elvis Presley;Today, Tomorrow And Forever;my
