artist_name;song_title;token
Eminem;Revival (Interlude);i've
Eminem;Revival (Interlude);drowned
Eminem;Revival (Interlude);in
Eminem;Revival (Interlude);high
Eminem;Revival (Interlude);from
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);ashes
Eminem;Revival (Interlude);now
Eminem;Revival (Interlude);i
Eminem;Revival (Interlude);can't
Eminem;Revival (Interlude);recall
Eminem;Revival (Interlude);your
Eminem;Revival (Interlude);laughter
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);smoke
Eminem;Revival (Interlude);of
Eminem;Revival (Interlude);everything
Eminem;Revival (Interlude);go
Eminem;Revival (Interlude);grasp
Eminem;Revival (Interlude);at
Eminem;Revival (Interlude);ends
Eminem;Revival (Interlude);of
Eminem;Revival (Interlude);what
Eminem;Revival (Interlude);left
Eminem;Revival (Interlude);over
Eminem;Revival (Interlude);and
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);lights
Eminem;Revival (Interlude);in
Eminem;Revival (Interlude);every
Eminem;Revival (Interlude);broken
Eminem;Revival (Interlude);blown-out
Eminem;Revival (Interlude);window
Eminem;Revival (Interlude);screaming
Eminem;Revival (Interlude);laughing
Eminem;Revival (Interlude);i
Eminem;Revival (Interlude);hope
Eminem;Revival (Interlude);to
Eminem;Revival (Interlude);feel
Eminem;Revival (Interlude);it
Eminem;Revival (Interlude);coursing
Eminem;Revival (Interlude);out
Eminem;Revival (Interlude);this
Eminem;Revival (Interlude);is
Eminem;Revival (Interlude);our
Eminem;Revival (Interlude);revival
Eminem;Revival (Interlude);i've
Eminem;Revival (Interlude);drowned
Eminem;Revival (Interlude);in
Eminem;Revival (Interlude);high
Eminem;Revival (Interlude);from
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);ashes
Eminem;Revival (Interlude);now
Eminem;Revival (Interlude);i
Eminem;Revival (Interlude);can't
Eminem;Revival (Interlude);recall
Eminem;Revival (Interlude);your
Eminem;Revival (Interlude);laughter
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);smoke
Eminem;Revival (Interlude);of
Eminem;Revival (Interlude);everything
Eminem;Revival (Interlude);go
Eminem;Revival (Interlude);grasp
Eminem;Revival (Interlude);at
Eminem;Revival (Interlude);ends
Eminem;Revival (Interlude);of
Eminem;Revival (Interlude);what
Eminem;Revival (Interlude);left
Eminem;Revival (Interlude);over
Eminem;Revival (Interlude);and
Eminem;Revival (Interlude);the
Eminem;Revival (Interlude);lights
Eminem;Revival (Interlude);in
Eminem;Revival (Interlude);every
Eminem;Revival (Interlude);broken
Eminem;Revival (Interlude);blown-out
Eminem;Revival (Interlude);window
Eminem;Revival (Interlude);screaming
Eminem;Revival (Interlude);laughing
Eminem;Revival (Interlude);i
Eminem;Revival (Interlude);hope
Eminem;Revival (Interlude);to
Eminem;Revival (Interlude);feel
Eminem;Revival (Interlude);it
Eminem;Revival (Interlude);coursing
Eminem;Revival (Interlude);out
Eminem;Revival (Interlude);this
Eminem;Revival (Interlude);is
Eminem;Revival (Interlude);our
Eminem;Revival (Interlude);revival
