artist_name;song_title;token
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;stumbling
Eminem;Tragic Endings;i
Eminem;Tragic Endings;can't
Eminem;Tragic Endings;see
Eminem;Tragic Endings;straight
Eminem;Tragic Endings;and
Eminem;Tragic Endings;it
Eminem;Tragic Endings;my
Eminem;Tragic Endings;fault
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;this
Eminem;Tragic Endings;way
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;my
Eminem;Tragic Endings;hands
Eminem;Tragic Endings;on
Eminem;Tragic Endings;something
Eminem;Tragic Endings;great
Eminem;Tragic Endings;and
Eminem;Tragic Endings;found
Eminem;Tragic Endings;a
Eminem;Tragic Endings;way
Eminem;Tragic Endings;to
Eminem;Tragic Endings;mess
Eminem;Tragic Endings;it
Eminem;Tragic Endings;up
Eminem;Tragic Endings;i
Eminem;Tragic Endings;did
Eminem;Tragic Endings;my
Eminem;Tragic Endings;best
Eminem;Tragic Endings;i
Eminem;Tragic Endings;tried
Eminem;Tragic Endings;to
Eminem;Tragic Endings;change
Eminem;Tragic Endings;but
Eminem;Tragic Endings;it
Eminem;Tragic Endings;just
Eminem;Tragic Endings;in
Eminem;Tragic Endings;my
Eminem;Tragic Endings;dna
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;my
Eminem;Tragic Endings;hands
Eminem;Tragic Endings;on
Eminem;Tragic Endings;something
Eminem;Tragic Endings;great
Eminem;Tragic Endings;and
Eminem;Tragic Endings;found
Eminem;Tragic Endings;a
Eminem;Tragic Endings;way
Eminem;Tragic Endings;to
Eminem;Tragic Endings;fuck
Eminem;Tragic Endings;it
Eminem;Tragic Endings;up
Eminem;Tragic Endings;again
Eminem;Tragic Endings;now
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;the
Eminem;Tragic Endings;one
Eminem;Tragic Endings;thing
Eminem;Tragic Endings;you
Eminem;Tragic Endings;couldn't
Eminem;Tragic Endings;hate
Eminem;Tragic Endings;more
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;stumbling
Eminem;Tragic Endings;i
Eminem;Tragic Endings;can't
Eminem;Tragic Endings;see
Eminem;Tragic Endings;straight
Eminem;Tragic Endings;and
Eminem;Tragic Endings;it
Eminem;Tragic Endings;my
Eminem;Tragic Endings;fault
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;this
Eminem;Tragic Endings;way
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;my
Eminem;Tragic Endings;hands
Eminem;Tragic Endings;on
Eminem;Tragic Endings;something
Eminem;Tragic Endings;great
Eminem;Tragic Endings;and
Eminem;Tragic Endings;found
Eminem;Tragic Endings;a
Eminem;Tragic Endings;way
Eminem;Tragic Endings;to
Eminem;Tragic Endings;mess
Eminem;Tragic Endings;it
Eminem;Tragic Endings;up
Eminem;Tragic Endings;i
Eminem;Tragic Endings;did
Eminem;Tragic Endings;my
Eminem;Tragic Endings;best
Eminem;Tragic Endings;i
Eminem;Tragic Endings;tried
Eminem;Tragic Endings;to
Eminem;Tragic Endings;change
Eminem;Tragic Endings;but
Eminem;Tragic Endings;it
Eminem;Tragic Endings;just
Eminem;Tragic Endings;in
Eminem;Tragic Endings;my
Eminem;Tragic Endings;dna
Eminem;Tragic Endings;i
Eminem;Tragic Endings;got
Eminem;Tragic Endings;my
Eminem;Tragic Endings;hands
Eminem;Tragic Endings;on
Eminem;Tragic Endings;something
Eminem;Tragic Endings;great
Eminem;Tragic Endings;and
Eminem;Tragic Endings;found
Eminem;Tragic Endings;a
Eminem;Tragic Endings;way
Eminem;Tragic Endings;to
Eminem;Tragic Endings;fuck
Eminem;Tragic Endings;it
Eminem;Tragic Endings;up
Eminem;Tragic Endings;again
Eminem;Tragic Endings;now
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;the
Eminem;Tragic Endings;one
Eminem;Tragic Endings;thing
Eminem;Tragic Endings;you
Eminem;Tragic Endings;couldn't
Eminem;Tragic Endings;hate
Eminem;Tragic Endings;more
Eminem;Tragic Endings;but
Eminem;Tragic Endings;you're
Eminem;Tragic Endings;the
Eminem;Tragic Endings;one
Eminem;Tragic Endings;thing
Eminem;Tragic Endings;that
Eminem;Tragic Endings;i
Eminem;Tragic Endings;would
Eminem;Tragic Endings;die
Eminem;Tragic Endings;for
Eminem;Tragic Endings;all
Eminem;Tragic Endings;my
Eminem;Tragic Endings;life
Eminem;Tragic Endings;i
Eminem;Tragic Endings;was
Eminem;Tragic Endings;told
Eminem;Tragic Endings;i
Eminem;Tragic Endings;was
Eminem;Tragic Endings;never
Eminem;Tragic Endings;nothing
Eminem;Tragic Endings;special
Eminem;Tragic Endings;i
Eminem;Tragic Endings;don't
Eminem;Tragic Endings;need
Eminem;Tragic Endings;to
Eminem;Tragic Endings;be
Eminem;Tragic Endings;reminded
Eminem;Tragic Endings;of
Eminem;Tragic Endings;it
Eminem;Tragic Endings;every
Eminem;Tragic Endings;other
Eminem;Tragic Endings;second
Eminem;Tragic Endings;pecially
Eminem;Tragic Endings;when
Eminem;Tragic Endings;all
Eminem;Tragic Endings;my
Eminem;Tragic Endings;self-esteem
Eminem;Tragic Endings;already
Eminem;Tragic Endings;shot
Eminem;Tragic Endings;to
Eminem;Tragic Endings;hell
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;falling
Eminem;Tragic Endings;helplessly
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;embarrased
Eminem;Tragic Endings;i
Eminem;Tragic Endings;don't
Eminem;Tragic Endings;want
Eminem;Tragic Endings;no
Eminem;Tragic Endings;one
Eminem;Tragic Endings;else
Eminem;Tragic Endings;to
Eminem;Tragic Endings;see
Eminem;Tragic Endings;'cause
Eminem;Tragic Endings;i
Eminem;Tragic Endings;feel
Eminem;Tragic Endings;like
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;a
Eminem;Tragic Endings;piece
Eminem;Tragic Endings;of
Eminem;Tragic Endings;shit
Eminem;Tragic Endings;every
Eminem;Tragic Endings;time
Eminem;Tragic Endings;she
Eminem;Tragic Endings;yells
Eminem;Tragic Endings;at
Eminem;Tragic Endings;me
Eminem;Tragic Endings;selfishly
Eminem;Tragic Endings;addicted
Eminem;Tragic Endings;definitely
Eminem;Tragic Endings;doesn't
Eminem;Tragic Endings;help
Eminem;Tragic Endings;that
Eminem;Tragic Endings;she
Eminem;Tragic Endings;makes
Eminem;Tragic Endings;me
Eminem;Tragic Endings;feel
Eminem;Tragic Endings;like
Eminem;Tragic Endings;i've
Eminem;Tragic Endings;died
Eminem;Tragic Endings;and
Eminem;Tragic Endings;gone
Eminem;Tragic Endings;to
Eminem;Tragic Endings;heaven
Eminem;Tragic Endings;but
Eminem;Tragic Endings;makes
Eminem;Tragic Endings;life
Eminem;Tragic Endings;a
Eminem;Tragic Endings;living
Eminem;Tragic Endings;hell
Eminem;Tragic Endings;for
Eminem;Tragic Endings;me
Eminem;Tragic Endings;she
Eminem;Tragic Endings;does
Eminem;Tragic Endings;that
Eminem;Tragic Endings;thing
Eminem;Tragic Endings;with
Eminem;Tragic Endings;her
Eminem;Tragic Endings;lip
Eminem;Tragic Endings;now
Eminem;Tragic Endings;she
Eminem;Tragic Endings;melting
Eminem;Tragic Endings;me
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;putty
Eminem;Tragic Endings;in
Eminem;Tragic Endings;her
Eminem;Tragic Endings;palms
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;wrapped
Eminem;Tragic Endings;around
Eminem;Tragic Endings;her
Eminem;Tragic Endings;finger
Eminem;Tragic Endings;a
Eminem;Tragic Endings;yo-yo
Eminem;Tragic Endings;on
Eminem;Tragic Endings;a
Eminem;Tragic Endings;string
Eminem;Tragic Endings;she
Eminem;Tragic Endings;lets
Eminem;Tragic Endings;me
Eminem;Tragic Endings;sit
Eminem;Tragic Endings;there
Eminem;Tragic Endings;and
Eminem;Tragic Endings;just
Eminem;Tragic Endings;dangle
Eminem;Tragic Endings;until
Eminem;Tragic Endings;something
Eminem;Tragic Endings;better
Eminem;Tragic Endings;comes
Eminem;Tragic Endings;along
Eminem;Tragic Endings;and
Eminem;Tragic Endings;she'll
Eminem;Tragic Endings;just
Eminem;Tragic Endings;drop
Eminem;Tragic Endings;me
Eminem;Tragic Endings;like
Eminem;Tragic Endings;a
Eminem;Tragic Endings;hot
Eminem;Tragic Endings;potato
Eminem;Tragic Endings;i
Eminem;Tragic Endings;look
Eminem;Tragic Endings;like
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;in
Eminem;Tragic Endings;pain
Eminem;Tragic Endings;but
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;okay
Eminem;Tragic Endings;though
Eminem;Tragic Endings;'cause
Eminem;Tragic Endings;i
Eminem;Tragic Endings;know
Eminem;Tragic Endings;she
Eminem;Tragic Endings;loves
Eminem;Tragic Endings;me&#8212my
Eminem;Tragic Endings;friends
Eminem;Tragic Endings;what
Eminem;Tragic Endings;do
Eminem;Tragic Endings;they
Eminem;Tragic Endings;know
Eminem;Tragic Endings;it
Eminem;Tragic Endings;like
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;drowning
Eminem;Tragic Endings;at
Eminem;Tragic Endings;sea
Eminem;Tragic Endings;hoping
Eminem;Tragic Endings;that
Eminem;Tragic Endings;you
Eminem;Tragic Endings;reach
Eminem;Tragic Endings;for
Eminem;Tragic Endings;me
Eminem;Tragic Endings;i
Eminem;Tragic Endings;know
Eminem;Tragic Endings;you're
Eminem;Tragic Endings;there
Eminem;Tragic Endings;but
Eminem;Tragic Endings;i
Eminem;Tragic Endings;can't
Eminem;Tragic Endings;see
Eminem;Tragic Endings;'cause
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;so
Eminem;Tragic Endings;drunk
Eminem;Tragic Endings;off
Eminem;Tragic Endings;tragic
Eminem;Tragic Endings;endings
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;dying
Eminem;Tragic Endings;to
Eminem;Tragic Endings;breathe
Eminem;Tragic Endings;and
Eminem;Tragic Endings;all
Eminem;Tragic Endings;you
Eminem;Tragic Endings;do
Eminem;Tragic Endings;is
Eminem;Tragic Endings;strangle
Eminem;Tragic Endings;me
Eminem;Tragic Endings;such
Eminem;Tragic Endings;a
Eminem;Tragic Endings;beautiful
Eminem;Tragic Endings;relief
Eminem;Tragic Endings;'cause
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;so
Eminem;Tragic Endings;drunk
Eminem;Tragic Endings;off
Eminem;Tragic Endings;tragic
Eminem;Tragic Endings;endings
Eminem;Tragic Endings;drunk
Eminem;Tragic Endings;off
Eminem;Tragic Endings;tragic
Eminem;Tragic Endings;endings
Eminem;Tragic Endings;in
Eminem;Tragic Endings;my
Eminem;Tragic Endings;moments
Eminem;Tragic Endings;of
Eminem;Tragic Endings;weakness
Eminem;Tragic Endings;i
Eminem;Tragic Endings;openly
Eminem;Tragic Endings;admit
Eminem;Tragic Endings;the
Eminem;Tragic Endings;shit
Eminem;Tragic Endings;i
Eminem;Tragic Endings;wouldn't
Eminem;Tragic Endings;normally
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;extremely
Eminem;Tragic Endings;self-conscious
Eminem;Tragic Endings;and
Eminem;Tragic Endings;enormously
Eminem;Tragic Endings;insecure
Eminem;Tragic Endings;and
Eminem;Tragic Endings;she
Eminem;Tragic Endings;uses
Eminem;Tragic Endings;it
Eminem;Tragic Endings;to
Eminem;Tragic Endings;torture
Eminem;Tragic Endings;when
Eminem;Tragic Endings;she
Eminem;Tragic Endings;torments
Eminem;Tragic Endings;me
Eminem;Tragic Endings;it
Eminem;Tragic Endings;only
Eminem;Tragic Endings;turns
Eminem;Tragic Endings;to
Eminem;Tragic Endings;ammunition
Eminem;Tragic Endings;for
Eminem;Tragic Endings;her
Eminem;Tragic Endings;in
Eminem;Tragic Endings;this
Eminem;Tragic Endings;war
Eminem;Tragic Endings;when
Eminem;Tragic Endings;she
Eminem;Tragic Endings;gets
Eminem;Tragic Endings;goin'
Eminem;Tragic Endings;she
Eminem;Tragic Endings;don't
Eminem;Tragic Endings;stop
Eminem;Tragic Endings;when
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;up
Eminem;Tragic Endings;she
Eminem;Tragic Endings;like
Eminem;Tragic Endings;a
Eminem;Tragic Endings;downer
Eminem;Tragic Endings;when
Eminem;Tragic Endings;i
Eminem;Tragic Endings;found
Eminem;Tragic Endings;her
Eminem;Tragic Endings;it
Eminem;Tragic Endings;was
Eminem;Tragic Endings;love
Eminem;Tragic Endings;at
Eminem;Tragic Endings;first
Eminem;Tragic Endings;encounter
Eminem;Tragic Endings;plus
Eminem;Tragic Endings;somehow
Eminem;Tragic Endings;she
Eminem;Tragic Endings;musta
Eminem;Tragic Endings;took
Eminem;Tragic Endings;the
Eminem;Tragic Endings;carton
Eminem;Tragic Endings;of
Eminem;Tragic Endings;eggs
Eminem;Tragic Endings;off
Eminem;Tragic Endings;the
Eminem;Tragic Endings;counter
Eminem;Tragic Endings;cracked
Eminem;Tragic Endings;them
Eminem;Tragic Endings;and
Eminem;Tragic Endings;placed
Eminem;Tragic Endings;all
Eminem;Tragic Endings;the
Eminem;Tragic Endings;shells
Eminem;Tragic Endings;on
Eminem;Tragic Endings;the
Eminem;Tragic Endings;ground
Eminem;Tragic Endings;for
Eminem;Tragic Endings;me
Eminem;Tragic Endings;to
Eminem;Tragic Endings;walk
Eminem;Tragic Endings;on
Eminem;Tragic Endings;when
Eminem;Tragic Endings;i'm
Eminem;Tragic Endings;around
Eminem;Tragic Endings;her
Eminem;Tragic Endings;but
Eminem;Tragic Endings;there
Eminem;Tragic Endings;just
Eminem;Tragic Endings;something
Eminem;Tragic Endings;about
Eminem;Tragic Endings;her
Eminem;Tragic Endings;that
Eminem;Tragic Endings;makes
Eminem;Tragic Endings;me
Eminem;Tragic Endings;not
Eminem;Tragic Endings;able
Eminem;Tragic Endings;to
Eminem;Tragic Endings;function
Eminem;Tragic Endings;without
Eminem;Tragic Endings;her
Eminem;Tragic Endings;how
Eminem;Tragic Endings;can
Eminem;Tragic Endings;i
Eminem;Tragic Endings;get
Eminem;Tragic Endings;out
Eminem;Tragic Endings;of
Eminem;Tragic Endings;it
Eminem;Tragic Endings;when
Eminem;Tragic Endings;i
Eminem;Tragic Endings;don't
Eminem;Tragic Endings;know
Eminem;Tragic Endings;how
