artist_name;song_title;token
Evanescence;Anywhere;dear
Evanescence;Anywhere;my
Evanescence;Anywhere;love,
Evanescence;Anywhere;haven't
Evanescence;Anywhere;you
Evanescence;Anywhere;wanted
Evanescence;Anywhere;to
Evanescence;Anywhere;be
Evanescence;Anywhere;with
Evanescence;Anywhere;me
Evanescence;Anywhere;and
Evanescence;Anywhere;dear
Evanescence;Anywhere;my
Evanescence;Anywhere;love,
Evanescence;Anywhere;haven't
Evanescence;Anywhere;you
Evanescence;Anywhere;longed
Evanescence;Anywhere;to
Evanescence;Anywhere;be
Evanescence;Anywhere;free
Evanescence;Anywhere;i
Evanescence;Anywhere;can't
Evanescence;Anywhere;keep
Evanescence;Anywhere;pretending
Evanescence;Anywhere;that
Evanescence;Anywhere;i
Evanescence;Anywhere;don't
Evanescence;Anywhere;even
Evanescence;Anywhere;know
Evanescence;Anywhere;you
Evanescence;Anywhere;and
Evanescence;Anywhere;at
Evanescence;Anywhere;sweet
Evanescence;Anywhere;night,
Evanescence;Anywhere;you
Evanescence;Anywhere;are
Evanescence;Anywhere;my
Evanescence;Anywhere;own
Evanescence;Anywhere;take
Evanescence;Anywhere;my
Evanescence;Anywhere;hand
Evanescence;Anywhere;we're
Evanescence;Anywhere;leaving
Evanescence;Anywhere;here
Evanescence;Anywhere;tonight
Evanescence;Anywhere;there's
Evanescence;Anywhere;no
Evanescence;Anywhere;need
Evanescence;Anywhere;to
Evanescence;Anywhere;tell
Evanescence;Anywhere;anyone
Evanescence;Anywhere;they'd
Evanescence;Anywhere;only
Evanescence;Anywhere;hold
Evanescence;Anywhere;us
Evanescence;Anywhere;down
Evanescence;Anywhere;so
Evanescence;Anywhere;by
Evanescence;Anywhere;the
Evanescence;Anywhere;morning's
Evanescence;Anywhere;light
Evanescence;Anywhere;dear
Evanescence;Anywhere;my
Evanescence;Anywhere;love,
Evanescence;Anywhere;haven't
Evanescence;Anywhere;you
Evanescence;Anywhere;wanted
Evanescence;Anywhere;to
Evanescence;Anywhere;be
Evanescence;Anywhere;with
Evanescence;Anywhere;me
Evanescence;Anywhere;and
Evanescence;Anywhere;dear
Evanescence;Anywhere;my
Evanescence;Anywhere;love,
Evanescence;Anywhere;haven't
Evanescence;Anywhere;you
Evanescence;Anywhere;longed
Evanescence;Anywhere;to
Evanescence;Anywhere;be
Evanescence;Anywhere;free
Evanescence;Anywhere;i
Evanescence;Anywhere;can't
Evanescence;Anywhere;keep
Evanescence;Anywhere;pretending
Evanescence;Anywhere;that
Evanescence;Anywhere;i
Evanescence;Anywhere;don't
Evanescence;Anywhere;even
Evanescence;Anywhere;know
Evanescence;Anywhere;you
Evanescence;Anywhere;and
Evanescence;Anywhere;at
Evanescence;Anywhere;sweet
Evanescence;Anywhere;night,
Evanescence;Anywhere;you
Evanescence;Anywhere;are
Evanescence;Anywhere;my
Evanescence;Anywhere;own
Evanescence;Anywhere;take
Evanescence;Anywhere;my
Evanescence;Anywhere;hand
Evanescence;Anywhere;we're
Evanescence;Anywhere;leaving
Evanescence;Anywhere;here
Evanescence;Anywhere;tonight
Evanescence;Anywhere;there's
Evanescence;Anywhere;no
Evanescence;Anywhere;need
Evanescence;Anywhere;to
Evanescence;Anywhere;tell
Evanescence;Anywhere;anyone
Evanescence;Anywhere;they'd
Evanescence;Anywhere;only
Evanescence;Anywhere;hold
Evanescence;Anywhere;us
Evanescence;Anywhere;down
Evanescence;Anywhere;so
Evanescence;Anywhere;by
Evanescence;Anywhere;the
Evanescence;Anywhere;morning's
Evanescence;Anywhere;light
Evanescence;Anywhere;we'll
Evanescence;Anywhere;be
Evanescence;Anywhere;half
Evanescence;Anywhere;way
Evanescence;Anywhere;to
Evanescence;Anywhere;anywhere
Evanescence;Anywhere;where
Evanescence;Anywhere;love
Evanescence;Anywhere;is
Evanescence;Anywhere;more
Evanescence;Anywhere;than
Evanescence;Anywhere;just
Evanescence;Anywhere;your
Evanescence;Anywhere;name
Evanescence;Anywhere;i
Evanescence;Anywhere;have
Evanescence;Anywhere;dreamt
Evanescence;Anywhere;of
Evanescence;Anywhere;a
Evanescence;Anywhere;place
Evanescence;Anywhere;for
Evanescence;Anywhere;you
Evanescence;Anywhere;and
Evanescence;Anywhere;i
Evanescence;Anywhere;no
Evanescence;Anywhere;one
Evanescence;Anywhere;knows
Evanescence;Anywhere;who
Evanescence;Anywhere;we
Evanescence;Anywhere;are
Evanescence;Anywhere;there
Evanescence;Anywhere;all
Evanescence;Anywhere;i
Evanescence;Anywhere;want
Evanescence;Anywhere;is
Evanescence;Anywhere;to
Evanescence;Anywhere;give
Evanescence;Anywhere;my
Evanescence;Anywhere;life
Evanescence;Anywhere;only
Evanescence;Anywhere;to
Evanescence;Anywhere;you
Evanescence;Anywhere;i've
Evanescence;Anywhere;dreamt
Evanescence;Anywhere;so
Evanescence;Anywhere;long,
Evanescence;Anywhere;i
Evanescence;Anywhere;cannot
Evanescence;Anywhere;dream
Evanescence;Anywhere;anymore
Evanescence;Anywhere;let's
Evanescence;Anywhere;run
Evanescence;Anywhere;away,
Evanescence;Anywhere;i'll
Evanescence;Anywhere;take
Evanescence;Anywhere;you
Evanescence;Anywhere;there
Evanescence;Anywhere;we're
Evanescence;Anywhere;leaving
Evanescence;Anywhere;here
Evanescence;Anywhere;tonight
Evanescence;Anywhere;there's
Evanescence;Anywhere;no
Evanescence;Anywhere;need
Evanescence;Anywhere;to
Evanescence;Anywhere;tell
Evanescence;Anywhere;anyone
Evanescence;Anywhere;they'd
Evanescence;Anywhere;only
Evanescence;Anywhere;hold
Evanescence;Anywhere;us
Evanescence;Anywhere;down
Evanescence;Anywhere;so
Evanescence;Anywhere;by
Evanescence;Anywhere;the
Evanescence;Anywhere;morning's
Evanescence;Anywhere;light
Evanescence;Anywhere;we'll
Evanescence;Anywhere;be
Evanescence;Anywhere;half
Evanescence;Anywhere;way
Evanescence;Anywhere;to
Evanescence;Anywhere;anywhere
Evanescence;Anywhere;where
Evanescence;Anywhere;no
Evanescence;Anywhere;one
Evanescence;Anywhere;needs
Evanescence;Anywhere;a
Evanescence;Anywhere;reason
Evanescence;Anywhere;forget
Evanescence;Anywhere;this
Evanescence;Anywhere;life
Evanescence;Anywhere;come
Evanescence;Anywhere;with
Evanescence;Anywhere;me
Evanescence;Anywhere;don't
Evanescence;Anywhere;look
Evanescence;Anywhere;back,
Evanescence;Anywhere;you're
Evanescence;Anywhere;safe
Evanescence;Anywhere;now
Evanescence;Anywhere;unlock
Evanescence;Anywhere;your
Evanescence;Anywhere;heart
Evanescence;Anywhere;drop
Evanescence;Anywhere;your
Evanescence;Anywhere;guard
Evanescence;Anywhere;no
Evanescence;Anywhere;one's
Evanescence;Anywhere;left
Evanescence;Anywhere;to
Evanescence;Anywhere;stop
Evanescence;Anywhere;you
Evanescence;Anywhere;forget
Evanescence;Anywhere;this
Evanescence;Anywhere;life
Evanescence;Anywhere;come
Evanescence;Anywhere;with
Evanescence;Anywhere;me
Evanescence;Anywhere;don't
Evanescence;Anywhere;look
Evanescence;Anywhere;back
Evanescence;Anywhere;you're
Evanescence;Anywhere;safe
Evanescence;Anywhere;now
Evanescence;Anywhere;unlock
Evanescence;Anywhere;your
Evanescence;Anywhere;heart
Evanescence;Anywhere;drop
Evanescence;Anywhere;your
Evanescence;Anywhere;guard
Evanescence;Anywhere;no
Evanescence;Anywhere;one's
Evanescence;Anywhere;left
Evanescence;Anywhere;to
Evanescence;Anywhere;stop
Evanescence;Anywhere;you
Evanescence;Anywhere;now
Evanescence;Anywhere;we're
Evanescence;Anywhere;leaving
Evanescence;Anywhere;here
Evanescence;Anywhere;tonight
Evanescence;Anywhere;there's
Evanescence;Anywhere;no
Evanescence;Anywhere;need
Evanescence;Anywhere;to
Evanescence;Anywhere;tell
Evanescence;Anywhere;anyone
Evanescence;Anywhere;they'd
Evanescence;Anywhere;only
Evanescence;Anywhere;hold
Evanescence;Anywhere;us
Evanescence;Anywhere;down
Evanescence;Anywhere;so
Evanescence;Anywhere;by
Evanescence;Anywhere;the
Evanescence;Anywhere;morning's
Evanescence;Anywhere;light
Evanescence;Anywhere;we'll
Evanescence;Anywhere;be
Evanescence;Anywhere;half
Evanescence;Anywhere;way
Evanescence;Anywhere;to
Evanescence;Anywhere;anywhere
Evanescence;Anywhere;where
Evanescence;Anywhere;love
Evanescence;Anywhere;is
Evanescence;Anywhere;more
Evanescence;Anywhere;than
Evanescence;Anywhere;just
Evanescence;Anywhere;your
Evanescence;Anywhere;name
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah
Evanescence;Anywhere;yeah,
Evanescence;Anywhere;yeah
