artist_name;song_title;token
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;somebody
Frank Sinatra;All The Way;loves
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;no
Frank Sinatra;All The Way;good
Frank Sinatra;All The Way;unless
Frank Sinatra;All The Way;he
Frank Sinatra;All The Way;loves
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;happy
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;be
Frank Sinatra;All The Way;near
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;need
Frank Sinatra;All The Way;someone
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;cheer
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;taller
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;tallest
Frank Sinatra;All The Way;tree
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;got
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;feel
Frank Sinatra;All The Way;deeper
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;blue
Frank Sinatra;All The Way;sea
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;goes
Frank Sinatra;All The Way;if
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;real
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;somebody
Frank Sinatra;All The Way;needs
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;somebody
Frank Sinatra;All The Way;loves
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;no
Frank Sinatra;All The Way;good
Frank Sinatra;All The Way;unless
Frank Sinatra;All The Way;he
Frank Sinatra;All The Way;loves
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;happy
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;be
Frank Sinatra;All The Way;near
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;need
Frank Sinatra;All The Way;someone
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;cheer
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;taller
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;tallest
Frank Sinatra;All The Way;tree
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;got
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;feel
Frank Sinatra;All The Way;deeper
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;blue
Frank Sinatra;All The Way;sea
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;goes
Frank Sinatra;All The Way;if
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;real
Frank Sinatra;All The Way;when
Frank Sinatra;All The Way;somebody
Frank Sinatra;All The Way;needs
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;no
Frank Sinatra;All The Way;good
Frank Sinatra;All The Way;unless
Frank Sinatra;All The Way;he
Frank Sinatra;All The Way;needs
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;through
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;good
Frank Sinatra;All The Way;or
Frank Sinatra;All The Way;lean
Frank Sinatra;All The Way;years
Frank Sinatra;All The Way;and
Frank Sinatra;All The Way;for
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;in-between
Frank Sinatra;All The Way;years
Frank Sinatra;All The Way;come
Frank Sinatra;All The Way;what
Frank Sinatra;All The Way;may
Frank Sinatra;All The Way;who
Frank Sinatra;All The Way;knows
Frank Sinatra;All The Way;where
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;road
Frank Sinatra;All The Way;will
Frank Sinatra;All The Way;lead
Frank Sinatra;All The Way;us
Frank Sinatra;All The Way;only
Frank Sinatra;All The Way;a
Frank Sinatra;All The Way;fool
Frank Sinatra;All The Way;would
Frank Sinatra;All The Way;say
Frank Sinatra;All The Way;but
Frank Sinatra;All The Way;if
Frank Sinatra;All The Way;you'll
Frank Sinatra;All The Way;let
Frank Sinatra;All The Way;me
Frank Sinatra;All The Way;love
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;for
Frank Sinatra;All The Way;sure
Frank Sinatra;All The Way;i'm
Frank Sinatra;All The Way;gonna
Frank Sinatra;All The Way;love
Frank Sinatra;All The Way;you
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;all
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;way
Frank Sinatra;All The Way;taller
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;tallest
Frank Sinatra;All The Way;tree
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;got
Frank Sinatra;All The Way;to
Frank Sinatra;All The Way;feel
Frank Sinatra;All The Way;deeper
Frank Sinatra;All The Way;than
Frank Sinatra;All The Way;the
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;blue
Frank Sinatra;All The Way;sea
Frank Sinatra;All The Way;is
Frank Sinatra;All The Way;that
Frank Sinatra;All The Way;how
Frank Sinatra;All The Way;deep
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;goes
Frank Sinatra;All The Way;if
Frank Sinatra;All The Way;it
Frank Sinatra;All The Way;real
Frank Sinatra;All The Way;when
