artist_name;song_title;token
Frank Sinatra;Baby It's Cold Outside;i
Frank Sinatra;Baby It's Cold Outside;really
Frank Sinatra;Baby It's Cold Outside;can't
Frank Sinatra;Baby It's Cold Outside;stay
Frank Sinatra;Baby It's Cold Outside;baby
Frank Sinatra;Baby It's Cold Outside;it
Frank Sinatra;Baby It's Cold Outside;cold
Frank Sinatra;Baby It's Cold Outside;outside
Frank Sinatra;Baby It's Cold Outside;i've
Frank Sinatra;Baby It's Cold Outside;got
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;go
Frank Sinatra;Baby It's Cold Outside;away
Frank Sinatra;Baby It's Cold Outside;baby
Frank Sinatra;Baby It's Cold Outside;it
Frank Sinatra;Baby It's Cold Outside;cold
Frank Sinatra;Baby It's Cold Outside;out
Frank Sinatra;Baby It's Cold Outside;there
Frank Sinatra;Baby It's Cold Outside;this
Frank Sinatra;Baby It's Cold Outside;evening
Frank Sinatra;Baby It's Cold Outside;has
Frank Sinatra;Baby It's Cold Outside;been
Frank Sinatra;Baby It's Cold Outside;been
Frank Sinatra;Baby It's Cold Outside;hoping
Frank Sinatra;Baby It's Cold Outside;that
Frank Sinatra;Baby It's Cold Outside;you'd
Frank Sinatra;Baby It's Cold Outside;drop
Frank Sinatra;Baby It's Cold Outside;in
Frank Sinatra;Baby It's Cold Outside;so
Frank Sinatra;Baby It's Cold Outside;very
Frank Sinatra;Baby It's Cold Outside;nice
Frank Sinatra;Baby It's Cold Outside;i'll
Frank Sinatra;Baby It's Cold Outside;hold
Frank Sinatra;Baby It's Cold Outside;your
Frank Sinatra;Baby It's Cold Outside;hands
Frank Sinatra;Baby It's Cold Outside;they're
Frank Sinatra;Baby It's Cold Outside;just
Frank Sinatra;Baby It's Cold Outside;like
Frank Sinatra;Baby It's Cold Outside;ice
Frank Sinatra;Baby It's Cold Outside;my
Frank Sinatra;Baby It's Cold Outside;mother
Frank Sinatra;Baby It's Cold Outside;will
Frank Sinatra;Baby It's Cold Outside;start
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;worry
Frank Sinatra;Baby It's Cold Outside;beautiful
Frank Sinatra;Baby It's Cold Outside;what
Frank Sinatra;Baby It's Cold Outside;you're
Frank Sinatra;Baby It's Cold Outside;hurry
Frank Sinatra;Baby It's Cold Outside;and
Frank Sinatra;Baby It's Cold Outside;father
Frank Sinatra;Baby It's Cold Outside;will
Frank Sinatra;Baby It's Cold Outside;be
Frank Sinatra;Baby It's Cold Outside;pacing
Frank Sinatra;Baby It's Cold Outside;the
Frank Sinatra;Baby It's Cold Outside;floor
Frank Sinatra;Baby It's Cold Outside;listen
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;that
Frank Sinatra;Baby It's Cold Outside;fireplace
Frank Sinatra;Baby It's Cold Outside;i
Frank Sinatra;Baby It's Cold Outside;really
Frank Sinatra;Baby It's Cold Outside;can't
Frank Sinatra;Baby It's Cold Outside;stay
Frank Sinatra;Baby It's Cold Outside;baby
Frank Sinatra;Baby It's Cold Outside;it
Frank Sinatra;Baby It's Cold Outside;cold
Frank Sinatra;Baby It's Cold Outside;outside
Frank Sinatra;Baby It's Cold Outside;i've
Frank Sinatra;Baby It's Cold Outside;got
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;go
Frank Sinatra;Baby It's Cold Outside;away
Frank Sinatra;Baby It's Cold Outside;baby
Frank Sinatra;Baby It's Cold Outside;it
Frank Sinatra;Baby It's Cold Outside;cold
Frank Sinatra;Baby It's Cold Outside;out
Frank Sinatra;Baby It's Cold Outside;there
Frank Sinatra;Baby It's Cold Outside;this
Frank Sinatra;Baby It's Cold Outside;evening
Frank Sinatra;Baby It's Cold Outside;has
Frank Sinatra;Baby It's Cold Outside;been
Frank Sinatra;Baby It's Cold Outside;been
Frank Sinatra;Baby It's Cold Outside;hoping
Frank Sinatra;Baby It's Cold Outside;that
Frank Sinatra;Baby It's Cold Outside;you'd
Frank Sinatra;Baby It's Cold Outside;drop
Frank Sinatra;Baby It's Cold Outside;in
Frank Sinatra;Baby It's Cold Outside;so
Frank Sinatra;Baby It's Cold Outside;very
Frank Sinatra;Baby It's Cold Outside;nice
Frank Sinatra;Baby It's Cold Outside;i'll
Frank Sinatra;Baby It's Cold Outside;hold
Frank Sinatra;Baby It's Cold Outside;your
Frank Sinatra;Baby It's Cold Outside;hands
Frank Sinatra;Baby It's Cold Outside;they're
Frank Sinatra;Baby It's Cold Outside;just
Frank Sinatra;Baby It's Cold Outside;like
Frank Sinatra;Baby It's Cold Outside;ice
Frank Sinatra;Baby It's Cold Outside;my
Frank Sinatra;Baby It's Cold Outside;mother
Frank Sinatra;Baby It's Cold Outside;will
Frank Sinatra;Baby It's Cold Outside;start
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;worry
Frank Sinatra;Baby It's Cold Outside;beautiful
Frank Sinatra;Baby It's Cold Outside;what
Frank Sinatra;Baby It's Cold Outside;you're
Frank Sinatra;Baby It's Cold Outside;hurry
Frank Sinatra;Baby It's Cold Outside;and
Frank Sinatra;Baby It's Cold Outside;father
Frank Sinatra;Baby It's Cold Outside;will
Frank Sinatra;Baby It's Cold Outside;be
Frank Sinatra;Baby It's Cold Outside;pacing
Frank Sinatra;Baby It's Cold Outside;the
Frank Sinatra;Baby It's Cold Outside;floor
Frank Sinatra;Baby It's Cold Outside;listen
Frank Sinatra;Baby It's Cold Outside;to
Frank Sinatra;Baby It's Cold Outside;that
Frank Sinatra;Baby It's Cold Outside;fireplace
Frank Sinatra;Baby It's Cold Outside;roar
