artist_name;song_title;token
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;wind
Frank Sinatra;Born Free;blows
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;grass
Frank Sinatra;Born Free;grows
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;to
Frank Sinatra;Born Free;follow
Frank Sinatra;Born Free;your
Frank Sinatra;Born Free;heart
Frank Sinatra;Born Free;live
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;and
Frank Sinatra;Born Free;beauty
Frank Sinatra;Born Free;surrounds
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;world
Frank Sinatra;Born Free;still
Frank Sinatra;Born Free;astounds
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;each
Frank Sinatra;Born Free;time
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;look
Frank Sinatra;Born Free;at
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;stars
Frank Sinatra;Born Free;stay
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;where
Frank Sinatra;Born Free;no
Frank Sinatra;Born Free;walls
Frank Sinatra;Born Free;divide
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;you're
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;roaring
Frank Sinatra;Born Free;tide
Frank Sinatra;Born Free;so
Frank Sinatra;Born Free;there
Frank Sinatra;Born Free;no
Frank Sinatra;Born Free;need
Frank Sinatra;Born Free;to
Frank Sinatra;Born Free;hide
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;wind
Frank Sinatra;Born Free;blows
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;grass
Frank Sinatra;Born Free;grows
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;to
Frank Sinatra;Born Free;follow
Frank Sinatra;Born Free;your
Frank Sinatra;Born Free;heart
Frank Sinatra;Born Free;live
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;and
Frank Sinatra;Born Free;beauty
Frank Sinatra;Born Free;surrounds
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;world
Frank Sinatra;Born Free;still
Frank Sinatra;Born Free;astounds
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;each
Frank Sinatra;Born Free;time
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;look
Frank Sinatra;Born Free;at
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;stars
Frank Sinatra;Born Free;stay
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;where
Frank Sinatra;Born Free;no
Frank Sinatra;Born Free;walls
Frank Sinatra;Born Free;divide
Frank Sinatra;Born Free;you
Frank Sinatra;Born Free;you're
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;as
Frank Sinatra;Born Free;the
Frank Sinatra;Born Free;roaring
Frank Sinatra;Born Free;tide
Frank Sinatra;Born Free;so
Frank Sinatra;Born Free;there
Frank Sinatra;Born Free;no
Frank Sinatra;Born Free;need
Frank Sinatra;Born Free;to
Frank Sinatra;Born Free;hide
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
Frank Sinatra;Born Free;and
Frank Sinatra;Born Free;life
Frank Sinatra;Born Free;is
Frank Sinatra;Born Free;worth
Frank Sinatra;Born Free;living
Frank Sinatra;Born Free;but
Frank Sinatra;Born Free;only
Frank Sinatra;Born Free;worth
Frank Sinatra;Born Free;living
Frank Sinatra;Born Free;cause
Frank Sinatra;Born Free;you're
Frank Sinatra;Born Free;born
Frank Sinatra;Born Free;free
