artist_name;song_title;token
Frank Sinatra;Ill Wind;blow
Frank Sinatra;Ill Wind;ill
Frank Sinatra;Ill Wind;wind
Frank Sinatra;Ill Wind;blow
Frank Sinatra;Ill Wind;away
Frank Sinatra;Ill Wind;let
Frank Sinatra;Ill Wind;me
Frank Sinatra;Ill Wind;rest
Frank Sinatra;Ill Wind;today
Frank Sinatra;Ill Wind;you're
Frank Sinatra;Ill Wind;blowin'
Frank Sinatra;Ill Wind;me
Frank Sinatra;Ill Wind;no
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;no
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;go
Frank Sinatra;Ill Wind;ill
Frank Sinatra;Ill Wind;wind
Frank Sinatra;Ill Wind;go
Frank Sinatra;Ill Wind;away
Frank Sinatra;Ill Wind;skies
Frank Sinatra;Ill Wind;are
Frank Sinatra;Ill Wind;oh
Frank Sinatra;Ill Wind;so
Frank Sinatra;Ill Wind;gray
Frank Sinatra;Ill Wind;around
Frank Sinatra;Ill Wind;my
Frank Sinatra;Ill Wind;neighborhood
Frank Sinatra;Ill Wind;and
Frank Sinatra;Ill Wind;that
Frank Sinatra;Ill Wind;ain't
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;you're
Frank Sinatra;Ill Wind;only
Frank Sinatra;Ill Wind;misleadin'
Frank Sinatra;Ill Wind;the
Frank Sinatra;Ill Wind;sunshine
Frank Sinatra;Ill Wind;i'm
Frank Sinatra;Ill Wind;needin'
Frank Sinatra;Ill Wind;ain't
Frank Sinatra;Ill Wind;that
Frank Sinatra;Ill Wind;a
Frank Sinatra;Ill Wind;shame
Frank Sinatra;Ill Wind;it
Frank Sinatra;Ill Wind;so
Frank Sinatra;Ill Wind;hard
Frank Sinatra;Ill Wind;to
Frank Sinatra;Ill Wind;keep
Frank Sinatra;Ill Wind;up
Frank Sinatra;Ill Wind;with
Frank Sinatra;Ill Wind;troubles
Frank Sinatra;Ill Wind;that
Frank Sinatra;Ill Wind;creep
Frank Sinatra;Ill Wind;up
Frank Sinatra;Ill Wind;from
Frank Sinatra;Ill Wind;out
Frank Sinatra;Ill Wind;of
Frank Sinatra;Ill Wind;nowhere
Frank Sinatra;Ill Wind;blow
Frank Sinatra;Ill Wind;ill
Frank Sinatra;Ill Wind;wind
Frank Sinatra;Ill Wind;blow
Frank Sinatra;Ill Wind;away
Frank Sinatra;Ill Wind;let
Frank Sinatra;Ill Wind;me
Frank Sinatra;Ill Wind;rest
Frank Sinatra;Ill Wind;today
Frank Sinatra;Ill Wind;you're
Frank Sinatra;Ill Wind;blowin'
Frank Sinatra;Ill Wind;me
Frank Sinatra;Ill Wind;no
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;no
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;go
Frank Sinatra;Ill Wind;ill
Frank Sinatra;Ill Wind;wind
Frank Sinatra;Ill Wind;go
Frank Sinatra;Ill Wind;away
Frank Sinatra;Ill Wind;skies
Frank Sinatra;Ill Wind;are
Frank Sinatra;Ill Wind;oh
Frank Sinatra;Ill Wind;so
Frank Sinatra;Ill Wind;gray
Frank Sinatra;Ill Wind;around
Frank Sinatra;Ill Wind;my
Frank Sinatra;Ill Wind;neighborhood
Frank Sinatra;Ill Wind;and
Frank Sinatra;Ill Wind;that
Frank Sinatra;Ill Wind;ain't
Frank Sinatra;Ill Wind;good
Frank Sinatra;Ill Wind;you're
Frank Sinatra;Ill Wind;only
Frank Sinatra;Ill Wind;misleadin'
