artist_name;song_title;token
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;said
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;water
Frank Sinatra;I Will Drink The Wine;but
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;wine
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;said
Frank Sinatra;I Will Drink The Wine;take
Frank Sinatra;I Will Drink The Wine;a
Frank Sinatra;I Will Drink The Wine;poor
Frank Sinatra;I Will Drink The Wine;man
Frank Sinatra;I Will Drink The Wine;rich
Frank Sinatra;I Will Drink The Wine;don't
Frank Sinatra;I Will Drink The Wine;have
Frank Sinatra;I Will Drink The Wine;a
Frank Sinatra;I Will Drink The Wine;dime
Frank Sinatra;I Will Drink The Wine;so
Frank Sinatra;I Will Drink The Wine;fool
Frank Sinatra;I Will Drink The Wine;yourselves
Frank Sinatra;I Will Drink The Wine;if
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;just
Frank Sinatra;I Will Drink The Wine;haven't
Frank Sinatra;I Will Drink The Wine;got
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;time
Frank Sinatra;I Will Drink The Wine;if
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;can
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;water
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;wine
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;gave
Frank Sinatra;I Will Drink The Wine;me
Frank Sinatra;I Will Drink The Wine;some
Frank Sinatra;I Will Drink The Wine;small
Frank Sinatra;I Will Drink The Wine;flowers
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;held
Frank Sinatra;I Will Drink The Wine;them
Frank Sinatra;I Will Drink The Wine;in
Frank Sinatra;I Will Drink The Wine;my
Frank Sinatra;I Will Drink The Wine;hand
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;said
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;water
Frank Sinatra;I Will Drink The Wine;but
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;wine
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;said
Frank Sinatra;I Will Drink The Wine;take
Frank Sinatra;I Will Drink The Wine;a
Frank Sinatra;I Will Drink The Wine;poor
Frank Sinatra;I Will Drink The Wine;man
Frank Sinatra;I Will Drink The Wine;rich
Frank Sinatra;I Will Drink The Wine;don't
Frank Sinatra;I Will Drink The Wine;have
Frank Sinatra;I Will Drink The Wine;a
Frank Sinatra;I Will Drink The Wine;dime
Frank Sinatra;I Will Drink The Wine;so
Frank Sinatra;I Will Drink The Wine;fool
Frank Sinatra;I Will Drink The Wine;yourselves
Frank Sinatra;I Will Drink The Wine;if
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;just
Frank Sinatra;I Will Drink The Wine;haven't
Frank Sinatra;I Will Drink The Wine;got
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;time
Frank Sinatra;I Will Drink The Wine;if
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;can
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;water
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;wine
Frank Sinatra;I Will Drink The Wine;someone
Frank Sinatra;I Will Drink The Wine;gave
Frank Sinatra;I Will Drink The Wine;me
Frank Sinatra;I Will Drink The Wine;some
Frank Sinatra;I Will Drink The Wine;small
Frank Sinatra;I Will Drink The Wine;flowers
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;held
Frank Sinatra;I Will Drink The Wine;them
Frank Sinatra;I Will Drink The Wine;in
Frank Sinatra;I Will Drink The Wine;my
Frank Sinatra;I Will Drink The Wine;hand
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;looked
Frank Sinatra;I Will Drink The Wine;at
Frank Sinatra;I Will Drink The Wine;them
Frank Sinatra;I Will Drink The Wine;for
Frank Sinatra;I Will Drink The Wine;several
Frank Sinatra;I Will Drink The Wine;hours
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;didn't
Frank Sinatra;I Will Drink The Wine;understand
Frank Sinatra;I Will Drink The Wine;so
Frank Sinatra;I Will Drink The Wine;fool
Frank Sinatra;I Will Drink The Wine;yourselves
Frank Sinatra;I Will Drink The Wine;if
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;you
Frank Sinatra;I Will Drink The Wine;can
Frank Sinatra;I Will Drink The Wine;hold
Frank Sinatra;I Will Drink The Wine;out
Frank Sinatra;I Will Drink The Wine;your
Frank Sinatra;I Will Drink The Wine;hand
Frank Sinatra;I Will Drink The Wine;i'll
Frank Sinatra;I Will Drink The Wine;give
Frank Sinatra;I Will Drink The Wine;back
Frank Sinatra;I Will Drink The Wine;your
Frank Sinatra;I Will Drink The Wine;flowers
Frank Sinatra;I Will Drink The Wine;and
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;take
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;land
Frank Sinatra;I Will Drink The Wine;and
Frank Sinatra;I Will Drink The Wine;i
Frank Sinatra;I Will Drink The Wine;will
Frank Sinatra;I Will Drink The Wine;drink
Frank Sinatra;I Will Drink The Wine;the
Frank Sinatra;I Will Drink The Wine;wine
Frank Sinatra;I Will Drink The Wine;sometimes
Frank Sinatra;I Will Drink The Wine;i'm
Frank Sinatra;I Will Drink The Wine;very
