artist_name;song_title;token
Frank Sinatra;Let's Face The Music And Dance;there
Frank Sinatra;Let's Face The Music And Dance;may
Frank Sinatra;Let's Face The Music And Dance;be
Frank Sinatra;Let's Face The Music And Dance;trouble
Frank Sinatra;Let's Face The Music And Dance;ahead
Frank Sinatra;Let's Face The Music And Dance;but
Frank Sinatra;Let's Face The Music And Dance;while
Frank Sinatra;Let's Face The Music And Dance;there
Frank Sinatra;Let's Face The Music And Dance;music
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;moonlight
Frank Sinatra;Let's Face The Music And Dance;moonlight
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;music
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;love
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;romance
Frank Sinatra;Let's Face The Music And Dance;let
Frank Sinatra;Let's Face The Music And Dance;face
Frank Sinatra;Let's Face The Music And Dance;the
Frank Sinatra;Let's Face The Music And Dance;music
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;dance
Frank Sinatra;Let's Face The Music And Dance;before
Frank Sinatra;Let's Face The Music And Dance;the
Frank Sinatra;Let's Face The Music And Dance;fiddlers
Frank Sinatra;Let's Face The Music And Dance;have
Frank Sinatra;Let's Face The Music And Dance;fled
Frank Sinatra;Let's Face The Music And Dance;before
Frank Sinatra;Let's Face The Music And Dance;they
Frank Sinatra;Let's Face The Music And Dance;ask
Frank Sinatra;Let's Face The Music And Dance;us
Frank Sinatra;Let's Face The Music And Dance;to
Frank Sinatra;Let's Face The Music And Dance;pay
Frank Sinatra;Let's Face The Music And Dance;the
Frank Sinatra;Let's Face The Music And Dance;bill
Frank Sinatra;Let's Face The Music And Dance;and
Frank Sinatra;Let's Face The Music And Dance;while
Frank Sinatra;Let's Face The Music And Dance;we
