artist_name;song_title;token
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;locked
Frank Sinatra;Love Locked Out;out
Frank Sinatra;Love Locked Out;in
Frank Sinatra;Love Locked Out;all
Frank Sinatra;Love Locked Out;the
Frank Sinatra;Love Locked Out;cold
Frank Sinatra;Love Locked Out;and
Frank Sinatra;Love Locked Out;rain
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;locked
Frank Sinatra;Love Locked Out;out
Frank Sinatra;Love Locked Out;may
Frank Sinatra;Love Locked Out;never
Frank Sinatra;Love Locked Out;come
Frank Sinatra;Love Locked Out;again
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;locked
Frank Sinatra;Love Locked Out;out
Frank Sinatra;Love Locked Out;and
Frank Sinatra;Love Locked Out;weeping
Frank Sinatra;Love Locked Out;bitter
Frank Sinatra;Love Locked Out;tears
Frank Sinatra;Love Locked Out;but
Frank Sinatra;Love Locked Out;no
Frank Sinatra;Love Locked Out;one
Frank Sinatra;Love Locked Out;ever
Frank Sinatra;Love Locked Out;hears
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;calling
Frank Sinatra;Love Locked Out;though
Frank Sinatra;Love Locked Out;we
Frank Sinatra;Love Locked Out;need
Frank Sinatra;Love Locked Out;the
Frank Sinatra;Love Locked Out;precious
Frank Sinatra;Love Locked Out;gift
Frank Sinatra;Love Locked Out;it
Frank Sinatra;Love Locked Out;brings
Frank Sinatra;Love Locked Out;we
Frank Sinatra;Love Locked Out;don't
Frank Sinatra;Love Locked Out;heed
Frank Sinatra;Love Locked Out;the
Frank Sinatra;Love Locked Out;song
Frank Sinatra;Love Locked Out;of
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;it
Frank Sinatra;Love Locked Out;sings
Frank Sinatra;Love Locked Out;on
Frank Sinatra;Love Locked Out;the
Frank Sinatra;Love Locked Out;door
Frank Sinatra;Love Locked Out;love
Frank Sinatra;Love Locked Out;beats
Frank Sinatra;Love Locked Out;its
Frank Sinatra;Love Locked Out;tiny
Frank Sinatra;Love Locked Out;wings
Frank Sinatra;Love Locked Out;just
