artist_name;song_title;token
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;funny
Frank Sinatra;My Funny Valentine;valentine
Frank Sinatra;My Funny Valentine;sweet
Frank Sinatra;My Funny Valentine;comic
Frank Sinatra;My Funny Valentine;valentine
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;make
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;smile
Frank Sinatra;My Funny Valentine;with
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;heart
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;looks
Frank Sinatra;My Funny Valentine;are
Frank Sinatra;My Funny Valentine;laughable
Frank Sinatra;My Funny Valentine;unphotographable
Frank Sinatra;My Funny Valentine;yet
Frank Sinatra;My Funny Valentine;you're
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;favorite
Frank Sinatra;My Funny Valentine;work
Frank Sinatra;My Funny Valentine;of
Frank Sinatra;My Funny Valentine;art
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;figure
Frank Sinatra;My Funny Valentine;less
Frank Sinatra;My Funny Valentine;than
Frank Sinatra;My Funny Valentine;greek
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;mouth
Frank Sinatra;My Funny Valentine;a
Frank Sinatra;My Funny Valentine;little
Frank Sinatra;My Funny Valentine;weak
Frank Sinatra;My Funny Valentine;when
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;open
Frank Sinatra;My Funny Valentine;it
Frank Sinatra;My Funny Valentine;to
Frank Sinatra;My Funny Valentine;speak
Frank Sinatra;My Funny Valentine;are
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;smart
Frank Sinatra;My Funny Valentine;but
Frank Sinatra;My Funny Valentine;don't
Frank Sinatra;My Funny Valentine;change
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;hair
Frank Sinatra;My Funny Valentine;for
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;not
Frank Sinatra;My Funny Valentine;if
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;care
Frank Sinatra;My Funny Valentine;for
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;funny
Frank Sinatra;My Funny Valentine;valentine
Frank Sinatra;My Funny Valentine;sweet
Frank Sinatra;My Funny Valentine;comic
Frank Sinatra;My Funny Valentine;valentine
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;make
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;smile
Frank Sinatra;My Funny Valentine;with
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;heart
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;looks
Frank Sinatra;My Funny Valentine;are
Frank Sinatra;My Funny Valentine;laughable
Frank Sinatra;My Funny Valentine;unphotographable
Frank Sinatra;My Funny Valentine;yet
Frank Sinatra;My Funny Valentine;you're
Frank Sinatra;My Funny Valentine;my
Frank Sinatra;My Funny Valentine;favorite
Frank Sinatra;My Funny Valentine;work
Frank Sinatra;My Funny Valentine;of
Frank Sinatra;My Funny Valentine;art
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;figure
Frank Sinatra;My Funny Valentine;less
Frank Sinatra;My Funny Valentine;than
Frank Sinatra;My Funny Valentine;greek
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;mouth
Frank Sinatra;My Funny Valentine;a
Frank Sinatra;My Funny Valentine;little
Frank Sinatra;My Funny Valentine;weak
Frank Sinatra;My Funny Valentine;when
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;open
Frank Sinatra;My Funny Valentine;it
Frank Sinatra;My Funny Valentine;to
Frank Sinatra;My Funny Valentine;speak
Frank Sinatra;My Funny Valentine;are
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;smart
Frank Sinatra;My Funny Valentine;but
Frank Sinatra;My Funny Valentine;don't
Frank Sinatra;My Funny Valentine;change
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;hair
Frank Sinatra;My Funny Valentine;for
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;not
Frank Sinatra;My Funny Valentine;if
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;care
Frank Sinatra;My Funny Valentine;for
Frank Sinatra;My Funny Valentine;me
Frank Sinatra;My Funny Valentine;stay
Frank Sinatra;My Funny Valentine;little
Frank Sinatra;My Funny Valentine;valentine
Frank Sinatra;My Funny Valentine;stay
Frank Sinatra;My Funny Valentine;each
Frank Sinatra;My Funny Valentine;day
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;valentines
Frank Sinatra;My Funny Valentine;day
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;figure
Frank Sinatra;My Funny Valentine;less
Frank Sinatra;My Funny Valentine;than
Frank Sinatra;My Funny Valentine;greek
Frank Sinatra;My Funny Valentine;is
Frank Sinatra;My Funny Valentine;your
Frank Sinatra;My Funny Valentine;mouth
Frank Sinatra;My Funny Valentine;a
Frank Sinatra;My Funny Valentine;little
Frank Sinatra;My Funny Valentine;weak
Frank Sinatra;My Funny Valentine;when
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;open
Frank Sinatra;My Funny Valentine;it
Frank Sinatra;My Funny Valentine;to
Frank Sinatra;My Funny Valentine;speak
Frank Sinatra;My Funny Valentine;are
Frank Sinatra;My Funny Valentine;you
Frank Sinatra;My Funny Valentine;smart
Frank Sinatra;My Funny Valentine;but
