artist_name;song_title;token
Frank Sinatra;Old Devil Moon;i
Frank Sinatra;Old Devil Moon;look
Frank Sinatra;Old Devil Moon;at
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;and
Frank Sinatra;Old Devil Moon;suddenly
Frank Sinatra;Old Devil Moon;something
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;i
Frank Sinatra;Old Devil Moon;see
Frank Sinatra;Old Devil Moon;soon
Frank Sinatra;Old Devil Moon;begins
Frank Sinatra;Old Devil Moon;bewitching
Frank Sinatra;Old Devil Moon;me
Frank Sinatra;Old Devil Moon;it
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;stole
Frank Sinatra;Old Devil Moon;from
Frank Sinatra;Old Devil Moon;the
Frank Sinatra;Old Devil Moon;skies
Frank Sinatra;Old Devil Moon;it
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;and
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;glance
Frank Sinatra;Old Devil Moon;make
Frank Sinatra;Old Devil Moon;this
Frank Sinatra;Old Devil Moon;romance
Frank Sinatra;Old Devil Moon;too
Frank Sinatra;Old Devil Moon;hot
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;handle
Frank Sinatra;Old Devil Moon;stars
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;the
Frank Sinatra;Old Devil Moon;night
Frank Sinatra;Old Devil Moon;blazing
Frank Sinatra;Old Devil Moon;their
Frank Sinatra;Old Devil Moon;light
Frank Sinatra;Old Devil Moon;can't
Frank Sinatra;Old Devil Moon;hold
Frank Sinatra;Old Devil Moon;a
Frank Sinatra;Old Devil Moon;candle
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;razzle
Frank Sinatra;Old Devil Moon;dazzle
Frank Sinatra;Old Devil Moon;i
Frank Sinatra;Old Devil Moon;look
Frank Sinatra;Old Devil Moon;at
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;and
Frank Sinatra;Old Devil Moon;suddenly
Frank Sinatra;Old Devil Moon;something
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;i
Frank Sinatra;Old Devil Moon;see
Frank Sinatra;Old Devil Moon;soon
Frank Sinatra;Old Devil Moon;begins
Frank Sinatra;Old Devil Moon;bewitching
Frank Sinatra;Old Devil Moon;me
Frank Sinatra;Old Devil Moon;it
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;stole
Frank Sinatra;Old Devil Moon;from
Frank Sinatra;Old Devil Moon;the
Frank Sinatra;Old Devil Moon;skies
Frank Sinatra;Old Devil Moon;it
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;and
Frank Sinatra;Old Devil Moon;you
Frank Sinatra;Old Devil Moon;glance
Frank Sinatra;Old Devil Moon;make
Frank Sinatra;Old Devil Moon;this
Frank Sinatra;Old Devil Moon;romance
Frank Sinatra;Old Devil Moon;too
Frank Sinatra;Old Devil Moon;hot
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;handle
Frank Sinatra;Old Devil Moon;stars
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;the
Frank Sinatra;Old Devil Moon;night
Frank Sinatra;Old Devil Moon;blazing
Frank Sinatra;Old Devil Moon;their
Frank Sinatra;Old Devil Moon;light
Frank Sinatra;Old Devil Moon;can't
Frank Sinatra;Old Devil Moon;hold
Frank Sinatra;Old Devil Moon;a
Frank Sinatra;Old Devil Moon;candle
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;razzle
Frank Sinatra;Old Devil Moon;dazzle
Frank Sinatra;Old Devil Moon;you've
Frank Sinatra;Old Devil Moon;got
Frank Sinatra;Old Devil Moon;me
Frank Sinatra;Old Devil Moon;flyin'
Frank Sinatra;Old Devil Moon;high
Frank Sinatra;Old Devil Moon;and
Frank Sinatra;Old Devil Moon;wide
Frank Sinatra;Old Devil Moon;on
Frank Sinatra;Old Devil Moon;a
Frank Sinatra;Old Devil Moon;magic
Frank Sinatra;Old Devil Moon;carpet
Frank Sinatra;Old Devil Moon;ride
Frank Sinatra;Old Devil Moon;full
Frank Sinatra;Old Devil Moon;of
Frank Sinatra;Old Devil Moon;butterflies
Frank Sinatra;Old Devil Moon;inside
Frank Sinatra;Old Devil Moon;want
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;cry
Frank Sinatra;Old Devil Moon;want
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;croon
Frank Sinatra;Old Devil Moon;want
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;laugh
Frank Sinatra;Old Devil Moon;like
Frank Sinatra;Old Devil Moon;a
Frank Sinatra;Old Devil Moon;loon
Frank Sinatra;Old Devil Moon;it
Frank Sinatra;Old Devil Moon;that
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;just
Frank Sinatra;Old Devil Moon;when
Frank Sinatra;Old Devil Moon;i
Frank Sinatra;Old Devil Moon;think
Frank Sinatra;Old Devil Moon;i'm
Frank Sinatra;Old Devil Moon;free
Frank Sinatra;Old Devil Moon;as
Frank Sinatra;Old Devil Moon;a
Frank Sinatra;Old Devil Moon;dove
Frank Sinatra;Old Devil Moon;old
Frank Sinatra;Old Devil Moon;devil
Frank Sinatra;Old Devil Moon;moon
Frank Sinatra;Old Devil Moon;deep
Frank Sinatra;Old Devil Moon;in
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;eyes
Frank Sinatra;Old Devil Moon;blinds
Frank Sinatra;Old Devil Moon;me
Frank Sinatra;Old Devil Moon;with
Frank Sinatra;Old Devil Moon;love
Frank Sinatra;Old Devil Moon;to
Frank Sinatra;Old Devil Moon;your
Frank Sinatra;Old Devil Moon;razzle
