artist_name;song_title;token
Frank Sinatra;Pretty Colors;i
Frank Sinatra;Pretty Colors;close
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;eyes
Frank Sinatra;Pretty Colors;and
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;see
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;they're
Frank Sinatra;Pretty Colors;dancing
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;for
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;locked
Frank Sinatra;Pretty Colors;in
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;mind
Frank Sinatra;Pretty Colors;they'll
Frank Sinatra;Pretty Colors;always
Frank Sinatra;Pretty Colors;be
Frank Sinatra;Pretty Colors;you'll
Frank Sinatra;Pretty Colors;never
Frank Sinatra;Pretty Colors;give
Frank Sinatra;Pretty Colors;your
Frank Sinatra;Pretty Colors;love
Frank Sinatra;Pretty Colors;to
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;so
Frank Sinatra;Pretty Colors;i'll
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;close
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;eyes
Frank Sinatra;Pretty Colors;and
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;see
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;locked
Frank Sinatra;Pretty Colors;in
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;mind
Frank Sinatra;Pretty Colors;they'll
Frank Sinatra;Pretty Colors;always
Frank Sinatra;Pretty Colors;be
Frank Sinatra;Pretty Colors;you'll
Frank Sinatra;Pretty Colors;never
Frank Sinatra;Pretty Colors;give
Frank Sinatra;Pretty Colors;your
Frank Sinatra;Pretty Colors;love
Frank Sinatra;Pretty Colors;to
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;i
Frank Sinatra;Pretty Colors;close
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;eyes
Frank Sinatra;Pretty Colors;and
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;see
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;they're
Frank Sinatra;Pretty Colors;dancing
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;for
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;locked
Frank Sinatra;Pretty Colors;in
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;mind
Frank Sinatra;Pretty Colors;they'll
Frank Sinatra;Pretty Colors;always
Frank Sinatra;Pretty Colors;be
Frank Sinatra;Pretty Colors;you'll
Frank Sinatra;Pretty Colors;never
Frank Sinatra;Pretty Colors;give
Frank Sinatra;Pretty Colors;your
Frank Sinatra;Pretty Colors;love
Frank Sinatra;Pretty Colors;to
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;so
Frank Sinatra;Pretty Colors;i'll
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;close
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;eyes
Frank Sinatra;Pretty Colors;and
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;see
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;locked
Frank Sinatra;Pretty Colors;in
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;mind
Frank Sinatra;Pretty Colors;they'll
Frank Sinatra;Pretty Colors;always
Frank Sinatra;Pretty Colors;be
Frank Sinatra;Pretty Colors;you'll
Frank Sinatra;Pretty Colors;never
Frank Sinatra;Pretty Colors;give
Frank Sinatra;Pretty Colors;your
Frank Sinatra;Pretty Colors;love
Frank Sinatra;Pretty Colors;to
Frank Sinatra;Pretty Colors;me
Frank Sinatra;Pretty Colors;so
Frank Sinatra;Pretty Colors;i'll
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;close
Frank Sinatra;Pretty Colors;my
Frank Sinatra;Pretty Colors;eyes
Frank Sinatra;Pretty Colors;and
Frank Sinatra;Pretty Colors;just
Frank Sinatra;Pretty Colors;see
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
Frank Sinatra;Pretty Colors;pretty
Frank Sinatra;Pretty Colors;colors
