artist_name;song_title;token
Frank Sinatra;Someone To Watch Over Me;there
Frank Sinatra;Someone To Watch Over Me;a
Frank Sinatra;Someone To Watch Over Me;saying
Frank Sinatra;Someone To Watch Over Me;old
Frank Sinatra;Someone To Watch Over Me;says
Frank Sinatra;Someone To Watch Over Me;that
Frank Sinatra;Someone To Watch Over Me;love
Frank Sinatra;Someone To Watch Over Me;is
Frank Sinatra;Someone To Watch Over Me;blind
Frank Sinatra;Someone To Watch Over Me;still
Frank Sinatra;Someone To Watch Over Me;we're
Frank Sinatra;Someone To Watch Over Me;often
Frank Sinatra;Someone To Watch Over Me;told
Frank Sinatra;Someone To Watch Over Me;seek
Frank Sinatra;Someone To Watch Over Me;and
Frank Sinatra;Someone To Watch Over Me;you
Frank Sinatra;Someone To Watch Over Me;shall
Frank Sinatra;Someone To Watch Over Me;find
Frank Sinatra;Someone To Watch Over Me;so
Frank Sinatra;Someone To Watch Over Me;i'm
Frank Sinatra;Someone To Watch Over Me;going
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;see
Frank Sinatra;Someone To Watch Over Me;the
Frank Sinatra;Someone To Watch Over Me;certain
Frank Sinatra;Someone To Watch Over Me;light
Frank Sinatra;Someone To Watch Over Me;i've
Frank Sinatra;Someone To Watch Over Me;had
Frank Sinatra;Someone To Watch Over Me;in
Frank Sinatra;Someone To Watch Over Me;mind
Frank Sinatra;Someone To Watch Over Me;looking
Frank Sinatra;Someone To Watch Over Me;everywhere
Frank Sinatra;Someone To Watch Over Me;haven't
Frank Sinatra;Someone To Watch Over Me;found
Frank Sinatra;Someone To Watch Over Me;him
Frank Sinatra;Someone To Watch Over Me;yet
Frank Sinatra;Someone To Watch Over Me;he
Frank Sinatra;Someone To Watch Over Me;the
Frank Sinatra;Someone To Watch Over Me;big
Frank Sinatra;Someone To Watch Over Me;affair
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;cannot
Frank Sinatra;Someone To Watch Over Me;forget
Frank Sinatra;Someone To Watch Over Me;only
Frank Sinatra;Someone To Watch Over Me;man
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;ever
Frank Sinatra;Someone To Watch Over Me;think
Frank Sinatra;Someone To Watch Over Me;of
Frank Sinatra;Someone To Watch Over Me;worth
Frank Sinatra;Someone To Watch Over Me;regret
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;like
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;add
Frank Sinatra;Someone To Watch Over Me;his
Frank Sinatra;Someone To Watch Over Me;initials
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;my
Frank Sinatra;Someone To Watch Over Me;monogram
Frank Sinatra;Someone To Watch Over Me;there
Frank Sinatra;Someone To Watch Over Me;a
Frank Sinatra;Someone To Watch Over Me;saying
Frank Sinatra;Someone To Watch Over Me;old
Frank Sinatra;Someone To Watch Over Me;says
Frank Sinatra;Someone To Watch Over Me;that
Frank Sinatra;Someone To Watch Over Me;love
Frank Sinatra;Someone To Watch Over Me;is
Frank Sinatra;Someone To Watch Over Me;blind
Frank Sinatra;Someone To Watch Over Me;still
Frank Sinatra;Someone To Watch Over Me;we're
Frank Sinatra;Someone To Watch Over Me;often
Frank Sinatra;Someone To Watch Over Me;told
Frank Sinatra;Someone To Watch Over Me;seek
Frank Sinatra;Someone To Watch Over Me;and
Frank Sinatra;Someone To Watch Over Me;you
Frank Sinatra;Someone To Watch Over Me;shall
Frank Sinatra;Someone To Watch Over Me;find
Frank Sinatra;Someone To Watch Over Me;so
Frank Sinatra;Someone To Watch Over Me;i'm
Frank Sinatra;Someone To Watch Over Me;going
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;see
Frank Sinatra;Someone To Watch Over Me;the
Frank Sinatra;Someone To Watch Over Me;certain
Frank Sinatra;Someone To Watch Over Me;light
Frank Sinatra;Someone To Watch Over Me;i've
Frank Sinatra;Someone To Watch Over Me;had
Frank Sinatra;Someone To Watch Over Me;in
Frank Sinatra;Someone To Watch Over Me;mind
Frank Sinatra;Someone To Watch Over Me;looking
Frank Sinatra;Someone To Watch Over Me;everywhere
Frank Sinatra;Someone To Watch Over Me;haven't
Frank Sinatra;Someone To Watch Over Me;found
Frank Sinatra;Someone To Watch Over Me;him
Frank Sinatra;Someone To Watch Over Me;yet
Frank Sinatra;Someone To Watch Over Me;he
Frank Sinatra;Someone To Watch Over Me;the
Frank Sinatra;Someone To Watch Over Me;big
Frank Sinatra;Someone To Watch Over Me;affair
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;cannot
Frank Sinatra;Someone To Watch Over Me;forget
Frank Sinatra;Someone To Watch Over Me;only
Frank Sinatra;Someone To Watch Over Me;man
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;ever
Frank Sinatra;Someone To Watch Over Me;think
Frank Sinatra;Someone To Watch Over Me;of
Frank Sinatra;Someone To Watch Over Me;worth
Frank Sinatra;Someone To Watch Over Me;regret
Frank Sinatra;Someone To Watch Over Me;i
Frank Sinatra;Someone To Watch Over Me;like
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;add
Frank Sinatra;Someone To Watch Over Me;his
Frank Sinatra;Someone To Watch Over Me;initials
Frank Sinatra;Someone To Watch Over Me;to
Frank Sinatra;Someone To Watch Over Me;my
Frank Sinatra;Someone To Watch Over Me;monogram
Frank Sinatra;Someone To Watch Over Me;tell
Frank Sinatra;Someone To Watch Over Me;me
Frank Sinatra;Someone To Watch Over Me;where
Frank Sinatra;Someone To Watch Over Me;is
Frank Sinatra;Someone To Watch Over Me;the
Frank Sinatra;Someone To Watch Over Me;shepherd
Frank Sinatra;Someone To Watch Over Me;for
Frank Sinatra;Someone To Watch Over Me;this
Frank Sinatra;Someone To Watch Over Me;lost
Frank Sinatra;Someone To Watch Over Me;lamb
Frank Sinatra;Someone To Watch Over Me;there
