artist_name;song_title;token
Frank Sinatra;Spring Is Here;once
Frank Sinatra;Spring Is Here;there
Frank Sinatra;Spring Is Here;was
Frank Sinatra;Spring Is Here;a
Frank Sinatra;Spring Is Here;thing
Frank Sinatra;Spring Is Here;called
Frank Sinatra;Spring Is Here;spring
Frank Sinatra;Spring Is Here;when
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;world
Frank Sinatra;Spring Is Here;was
Frank Sinatra;Spring Is Here;writing
Frank Sinatra;Spring Is Here;verses
Frank Sinatra;Spring Is Here;like
Frank Sinatra;Spring Is Here;yours
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;mine
Frank Sinatra;Spring Is Here;all
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;lads
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;girls
Frank Sinatra;Spring Is Here;would
Frank Sinatra;Spring Is Here;sing
Frank Sinatra;Spring Is Here;when
Frank Sinatra;Spring Is Here;we
Frank Sinatra;Spring Is Here;sat
Frank Sinatra;Spring Is Here;at
Frank Sinatra;Spring Is Here;little
Frank Sinatra;Spring Is Here;tables
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;drank
Frank Sinatra;Spring Is Here;may
Frank Sinatra;Spring Is Here;wine
Frank Sinatra;Spring Is Here;now
Frank Sinatra;Spring Is Here;april
Frank Sinatra;Spring Is Here;may
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;june
Frank Sinatra;Spring Is Here;are
Frank Sinatra;Spring Is Here;sadly
Frank Sinatra;Spring Is Here;out
Frank Sinatra;Spring Is Here;of
Frank Sinatra;Spring Is Here;tune
Frank Sinatra;Spring Is Here;life
Frank Sinatra;Spring Is Here;has
Frank Sinatra;Spring Is Here;stuck
Frank Sinatra;Spring Is Here;a
Frank Sinatra;Spring Is Here;pin
Frank Sinatra;Spring Is Here;in
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;balloon
Frank Sinatra;Spring Is Here;spring
Frank Sinatra;Spring Is Here;is
Frank Sinatra;Spring Is Here;here
Frank Sinatra;Spring Is Here;why
Frank Sinatra;Spring Is Here;doesn't
Frank Sinatra;Spring Is Here;my
Frank Sinatra;Spring Is Here;heart
Frank Sinatra;Spring Is Here;go
Frank Sinatra;Spring Is Here;dancing
Frank Sinatra;Spring Is Here;once
Frank Sinatra;Spring Is Here;there
Frank Sinatra;Spring Is Here;was
Frank Sinatra;Spring Is Here;a
Frank Sinatra;Spring Is Here;thing
Frank Sinatra;Spring Is Here;called
Frank Sinatra;Spring Is Here;spring
Frank Sinatra;Spring Is Here;when
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;world
Frank Sinatra;Spring Is Here;was
Frank Sinatra;Spring Is Here;writing
Frank Sinatra;Spring Is Here;verses
Frank Sinatra;Spring Is Here;like
Frank Sinatra;Spring Is Here;yours
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;mine
Frank Sinatra;Spring Is Here;all
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;lads
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;girls
Frank Sinatra;Spring Is Here;would
Frank Sinatra;Spring Is Here;sing
Frank Sinatra;Spring Is Here;when
Frank Sinatra;Spring Is Here;we
Frank Sinatra;Spring Is Here;sat
Frank Sinatra;Spring Is Here;at
Frank Sinatra;Spring Is Here;little
Frank Sinatra;Spring Is Here;tables
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;drank
Frank Sinatra;Spring Is Here;may
Frank Sinatra;Spring Is Here;wine
Frank Sinatra;Spring Is Here;now
Frank Sinatra;Spring Is Here;april
Frank Sinatra;Spring Is Here;may
Frank Sinatra;Spring Is Here;and
Frank Sinatra;Spring Is Here;june
Frank Sinatra;Spring Is Here;are
Frank Sinatra;Spring Is Here;sadly
Frank Sinatra;Spring Is Here;out
Frank Sinatra;Spring Is Here;of
Frank Sinatra;Spring Is Here;tune
Frank Sinatra;Spring Is Here;life
Frank Sinatra;Spring Is Here;has
Frank Sinatra;Spring Is Here;stuck
Frank Sinatra;Spring Is Here;a
Frank Sinatra;Spring Is Here;pin
Frank Sinatra;Spring Is Here;in
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;balloon
Frank Sinatra;Spring Is Here;spring
Frank Sinatra;Spring Is Here;is
Frank Sinatra;Spring Is Here;here
Frank Sinatra;Spring Is Here;why
Frank Sinatra;Spring Is Here;doesn't
Frank Sinatra;Spring Is Here;my
Frank Sinatra;Spring Is Here;heart
Frank Sinatra;Spring Is Here;go
Frank Sinatra;Spring Is Here;dancing
Frank Sinatra;Spring Is Here;spring
Frank Sinatra;Spring Is Here;is
Frank Sinatra;Spring Is Here;here
Frank Sinatra;Spring Is Here;why
Frank Sinatra;Spring Is Here;isn't
Frank Sinatra;Spring Is Here;the
Frank Sinatra;Spring Is Here;waltz
Frank Sinatra;Spring Is Here;entrancing
Frank Sinatra;Spring Is Here;no
Frank Sinatra;Spring Is Here;desire
Frank Sinatra;Spring Is Here;no
Frank Sinatra;Spring Is Here;ambition
Frank Sinatra;Spring Is Here;leads
Frank Sinatra;Spring Is Here;me
Frank Sinatra;Spring Is Here;maybe
Frank Sinatra;Spring Is Here;it
Frank Sinatra;Spring Is Here;because
Frank Sinatra;Spring Is Here;nobody
