artist_name;song_title;token
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;blue
Frank Sinatra;Sunday;every
Frank Sinatra;Sunday;monday
Frank Sinatra;Sunday;thinkin'
Frank Sinatra;Sunday;over
Frank Sinatra;Sunday;sunday
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;one
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;when
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;with
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;seems
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;sigh
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;tuesday
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;cry
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;wednesday
Frank Sinatra;Sunday;oh
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;how
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;long
Frank Sinatra;Sunday;for
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;then
Frank Sinatra;Sunday;comes
Frank Sinatra;Sunday;thursday
Frank Sinatra;Sunday;gee
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;long
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;never
Frank Sinatra;Sunday;gets
Frank Sinatra;Sunday;by
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;friday
Frank Sinatra;Sunday;makes
Frank Sinatra;Sunday;me
Frank Sinatra;Sunday;feel
Frank Sinatra;Sunday;just
Frank Sinatra;Sunday;like
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;gonna
Frank Sinatra;Sunday;die
Frank Sinatra;Sunday;but
Frank Sinatra;Sunday;after
Frank Sinatra;Sunday;pay
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;is
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;fun
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;blue
Frank Sinatra;Sunday;every
Frank Sinatra;Sunday;monday
Frank Sinatra;Sunday;thinkin'
Frank Sinatra;Sunday;over
Frank Sinatra;Sunday;sunday
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;one
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;when
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;with
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;seems
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;sigh
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;tuesday
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;cry
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;wednesday
Frank Sinatra;Sunday;oh
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;how
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;long
Frank Sinatra;Sunday;for
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;then
Frank Sinatra;Sunday;comes
Frank Sinatra;Sunday;thursday
Frank Sinatra;Sunday;gee
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;long
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;never
Frank Sinatra;Sunday;gets
Frank Sinatra;Sunday;by
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;friday
Frank Sinatra;Sunday;makes
Frank Sinatra;Sunday;me
Frank Sinatra;Sunday;feel
Frank Sinatra;Sunday;just
Frank Sinatra;Sunday;like
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;gonna
Frank Sinatra;Sunday;die
Frank Sinatra;Sunday;but
Frank Sinatra;Sunday;after
Frank Sinatra;Sunday;pay
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;is
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;fun
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;shine
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;sunday
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;one
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;when
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;with
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;then
Frank Sinatra;Sunday;comes
Frank Sinatra;Sunday;thursday
Frank Sinatra;Sunday;gee
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;long
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;never
Frank Sinatra;Sunday;goes
Frank Sinatra;Sunday;by
Frank Sinatra;Sunday;and
Frank Sinatra;Sunday;friday
Frank Sinatra;Sunday;makes
Frank Sinatra;Sunday;me
Frank Sinatra;Sunday;feel
Frank Sinatra;Sunday;like
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;gonna
Frank Sinatra;Sunday;die
Frank Sinatra;Sunday;but
Frank Sinatra;Sunday;after
Frank Sinatra;Sunday;pay
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;is
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;fun
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;i
Frank Sinatra;Sunday;shine
Frank Sinatra;Sunday;all
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;sunday
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;one
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;when
Frank Sinatra;Sunday;i'm
Frank Sinatra;Sunday;with
Frank Sinatra;Sunday;you
Frank Sinatra;Sunday;that
Frank Sinatra;Sunday;one
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;it
Frank Sinatra;Sunday;a
Frank Sinatra;Sunday;fun
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;sunday
Frank Sinatra;Sunday;is
Frank Sinatra;Sunday;my
Frank Sinatra;Sunday;day
Frank Sinatra;Sunday;with
Frank Sinatra;Sunday;you
