artist_name;song_title;token
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;band
Frank Sinatra;The Only Couple On The Floor;played
Frank Sinatra;The Only Couple On The Floor;songs
Frank Sinatra;The Only Couple On The Floor;from
Frank Sinatra;The Only Couple On The Floor;years
Frank Sinatra;The Only Couple On The Floor;ago
Frank Sinatra;The Only Couple On The Floor;there
Frank Sinatra;The Only Couple On The Floor;wasn't
Frank Sinatra;The Only Couple On The Floor;one
Frank Sinatra;The Only Couple On The Floor;we
Frank Sinatra;The Only Couple On The Floor;didn't
Frank Sinatra;The Only Couple On The Floor;know
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;singer
Frank Sinatra;The Only Couple On The Floor;voice
Frank Sinatra;The Only Couple On The Floor;was
Frank Sinatra;The Only Couple On The Floor;soft
Frank Sinatra;The Only Couple On The Floor;and
Frank Sinatra;The Only Couple On The Floor;low
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;lights
Frank Sinatra;The Only Couple On The Floor;came
Frank Sinatra;The Only Couple On The Floor;on
Frank Sinatra;The Only Couple On The Floor;we
Frank Sinatra;The Only Couple On The Floor;didn't
Frank Sinatra;The Only Couple On The Floor;know
Frank Sinatra;The Only Couple On The Floor;that
Frank Sinatra;The Only Couple On The Floor;we
Frank Sinatra;The Only Couple On The Floor;were
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;only
Frank Sinatra;The Only Couple On The Floor;couple
Frank Sinatra;The Only Couple On The Floor;on
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;floor
Frank Sinatra;The Only Couple On The Floor;that
Frank Sinatra;The Only Couple On The Floor;night
Frank Sinatra;The Only Couple On The Floor;the
Frank Sinatra;The Only Couple On The Floor;music
Frank Sinatra;The Only Couple On The Floor;stopped
Frank Sinatra;The Only Couple On The Floor;but
Frank Sinatra;The Only Couple On The Floor;you
Frank Sinatra;The Only Couple On The Floor;still
Frank Sinatra;The Only Couple On The Floor;held
Frank Sinatra;The Only Couple On The Floor;me
Frank Sinatra;The Only Couple On The Floor;tight
Frank Sinatra;The Only Couple On The Floor;i
