artist_name;song_title;token
Hollywood undead;Gonna Be OK;introspection
Hollywood undead;Gonna Be OK;yeah
Hollywood undead;Gonna Be OK;is
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;mother
Hollywood undead;Gonna Be OK;of
Hollywood undead;Gonna Be OK;invention
Hollywood undead;Gonna Be OK;and
Hollywood undead;Gonna Be OK;not
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;mention
Hollywood undead;Gonna Be OK;yeah
Hollywood undead;Gonna Be OK;here
Hollywood undead;Gonna Be OK;your
Hollywood undead;Gonna Be OK;lesson
Hollywood undead;Gonna Be OK;time
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;pay
Hollywood undead;Gonna Be OK;attention
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;on
Hollywood undead;Gonna Be OK;one
Hollywood undead;Gonna Be OK;side
Hollywood undead;Gonna Be OK;you're
Hollywood undead;Gonna Be OK;on
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;other
Hollywood undead;Gonna Be OK;everybody
Hollywood undead;Gonna Be OK;in
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;middle
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;suffer
Hollywood undead;Gonna Be OK;i
Hollywood undead;Gonna Be OK;refuse
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;get
Hollywood undead;Gonna Be OK;too
Hollywood undead;Gonna Be OK;used
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;living
Hollywood undead;Gonna Be OK;a
Hollywood undead;Gonna Be OK;life
Hollywood undead;Gonna Be OK;that
Hollywood undead;Gonna Be OK;does
Hollywood undead;Gonna Be OK;not
Hollywood undead;Gonna Be OK;move
Hollywood undead;Gonna Be OK;you
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;be
Hollywood undead;Gonna Be OK;okay
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;be
Hollywood undead;Gonna Be OK;okay
Hollywood undead;Gonna Be OK;introspection
Hollywood undead;Gonna Be OK;yeah
Hollywood undead;Gonna Be OK;is
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;mother
Hollywood undead;Gonna Be OK;of
Hollywood undead;Gonna Be OK;invention
Hollywood undead;Gonna Be OK;and
Hollywood undead;Gonna Be OK;not
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;mention
Hollywood undead;Gonna Be OK;yeah
Hollywood undead;Gonna Be OK;here
Hollywood undead;Gonna Be OK;your
Hollywood undead;Gonna Be OK;lesson
Hollywood undead;Gonna Be OK;time
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;pay
Hollywood undead;Gonna Be OK;attention
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;on
Hollywood undead;Gonna Be OK;one
Hollywood undead;Gonna Be OK;side
Hollywood undead;Gonna Be OK;you're
Hollywood undead;Gonna Be OK;on
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;other
Hollywood undead;Gonna Be OK;everybody
Hollywood undead;Gonna Be OK;in
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;middle
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;suffer
Hollywood undead;Gonna Be OK;i
Hollywood undead;Gonna Be OK;refuse
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;get
Hollywood undead;Gonna Be OK;too
Hollywood undead;Gonna Be OK;used
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;living
Hollywood undead;Gonna Be OK;a
Hollywood undead;Gonna Be OK;life
Hollywood undead;Gonna Be OK;that
Hollywood undead;Gonna Be OK;does
Hollywood undead;Gonna Be OK;not
Hollywood undead;Gonna Be OK;move
Hollywood undead;Gonna Be OK;you
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;be
Hollywood undead;Gonna Be OK;okay
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;be
Hollywood undead;Gonna Be OK;okay
Hollywood undead;Gonna Be OK;when
Hollywood undead;Gonna Be OK;the
Hollywood undead;Gonna Be OK;world
Hollywood undead;Gonna Be OK;out
Hollywood undead;Gonna Be OK;of
Hollywood undead;Gonna Be OK;focus
Hollywood undead;Gonna Be OK;and
Hollywood undead;Gonna Be OK;looking
Hollywood undead;Gonna Be OK;kinda
Hollywood undead;Gonna Be OK;hopeless
Hollywood undead;Gonna Be OK;i
Hollywood undead;Gonna Be OK;like
Hollywood undead;Gonna Be OK;to
Hollywood undead;Gonna Be OK;sit
Hollywood undead;Gonna Be OK;alone
Hollywood undead;Gonna Be OK;with
Hollywood undead;Gonna Be OK;my
Hollywood undead;Gonna Be OK;brain
Hollywood undead;Gonna Be OK;and
Hollywood undead;Gonna Be OK;provoke
Hollywood undead;Gonna Be OK;it
Hollywood undead;Gonna Be OK;i'm
Hollywood undead;Gonna Be OK;gonna
Hollywood undead;Gonna Be OK;be
Hollywood undead;Gonna Be OK;okay
Hollywood undead;Gonna Be OK;i'm
