artist_name;song_title;token
Hollywood undead;Gravity;'cause
Hollywood undead;Gravity;i
Hollywood undead;Gravity;i
Hollywood undead;Gravity;think
Hollywood undead;Gravity;of
Hollywood undead;Gravity;you
Hollywood undead;Gravity;now
Hollywood undead;Gravity;and
Hollywood undead;Gravity;then
Hollywood undead;Gravity;the
Hollywood undead;Gravity;memories
Hollywood undead;Gravity;never
Hollywood undead;Gravity;end
Hollywood undead;Gravity;when
Hollywood undead;Gravity;gravity
Hollywood undead;Gravity;pulls
Hollywood undead;Gravity;you
Hollywood undead;Gravity;in
Hollywood undead;Gravity;i
Hollywood undead;Gravity;remember
Hollywood undead;Gravity;looking
Hollywood undead;Gravity;back
Hollywood undead;Gravity;converse
Hollywood undead;Gravity;and
Hollywood undead;Gravity;a
Hollywood undead;Gravity;starter
Hollywood undead;Gravity;cap
Hollywood undead;Gravity;now
Hollywood undead;Gravity;i'm
Hollywood undead;Gravity;sitting
Hollywood undead;Gravity;wishing
Hollywood undead;Gravity;that
Hollywood undead;Gravity;wishing
Hollywood undead;Gravity;i
Hollywood undead;Gravity;could
Hollywood undead;Gravity;just
Hollywood undead;Gravity;go
Hollywood undead;Gravity;back
Hollywood undead;Gravity;i
Hollywood undead;Gravity;was
Hollywood undead;Gravity;happy
Hollywood undead;Gravity;with
Hollywood undead;Gravity;no
Hollywood undead;Gravity;fame
Hollywood undead;Gravity;ford
Hollywood undead;Gravity;fiesta
Hollywood undead;Gravity;switching
Hollywood undead;Gravity;lanes
Hollywood undead;Gravity;buying
Hollywood undead;Gravity;40
Hollywood undead;Gravity;with
Hollywood undead;Gravity;some
Hollywood undead;Gravity;change
Hollywood undead;Gravity;them
Hollywood undead;Gravity;southern
Hollywood undead;Gravity;california
Hollywood undead;Gravity;days
Hollywood undead;Gravity;'cause
Hollywood undead;Gravity;i
Hollywood undead;Gravity;i
Hollywood undead;Gravity;think
Hollywood undead;Gravity;of
Hollywood undead;Gravity;you
Hollywood undead;Gravity;now
Hollywood undead;Gravity;and
Hollywood undead;Gravity;then
Hollywood undead;Gravity;the
Hollywood undead;Gravity;memories
Hollywood undead;Gravity;never
Hollywood undead;Gravity;end
Hollywood undead;Gravity;when
Hollywood undead;Gravity;gravity
Hollywood undead;Gravity;pulls
Hollywood undead;Gravity;you
Hollywood undead;Gravity;in
Hollywood undead;Gravity;i
Hollywood undead;Gravity;remember
Hollywood undead;Gravity;looking
Hollywood undead;Gravity;back
Hollywood undead;Gravity;converse
Hollywood undead;Gravity;and
Hollywood undead;Gravity;a
Hollywood undead;Gravity;starter
Hollywood undead;Gravity;cap
Hollywood undead;Gravity;now
Hollywood undead;Gravity;i'm
Hollywood undead;Gravity;sitting
Hollywood undead;Gravity;wishing
Hollywood undead;Gravity;that
Hollywood undead;Gravity;wishing
Hollywood undead;Gravity;i
