artist_name;song_title;token
Iron Maiden;Heaven Can Wait;can't
Iron Maiden;Heaven Can Wait;understand
Iron Maiden;Heaven Can Wait;what
Iron Maiden;Heaven Can Wait;is
Iron Maiden;Heaven Can Wait;happening
Iron Maiden;Heaven Can Wait;to
Iron Maiden;Heaven Can Wait;me
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;isn't
Iron Maiden;Heaven Can Wait;real
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;is
Iron Maiden;Heaven Can Wait;only
Iron Maiden;Heaven Can Wait;a
Iron Maiden;Heaven Can Wait;dream
Iron Maiden;Heaven Can Wait;but
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;never
Iron Maiden;Heaven Can Wait;have
Iron Maiden;Heaven Can Wait;felt
Iron Maiden;Heaven Can Wait;no
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;never
Iron Maiden;Heaven Can Wait;have
Iron Maiden;Heaven Can Wait;felt
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;way
Iron Maiden;Heaven Can Wait;before
Iron Maiden;Heaven Can Wait;i'm
Iron Maiden;Heaven Can Wait;looking
Iron Maiden;Heaven Can Wait;down
Iron Maiden;Heaven Can Wait;on
Iron Maiden;Heaven Can Wait;my
Iron Maiden;Heaven Can Wait;body
Iron Maiden;Heaven Can Wait;below
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;lie
Iron Maiden;Heaven Can Wait;asleep
Iron Maiden;Heaven Can Wait;in
Iron Maiden;Heaven Can Wait;the
Iron Maiden;Heaven Can Wait;midst
Iron Maiden;Heaven Can Wait;of
Iron Maiden;Heaven Can Wait;a
Iron Maiden;Heaven Can Wait;dream
Iron Maiden;Heaven Can Wait;is
Iron Maiden;Heaven Can Wait;it
Iron Maiden;Heaven Can Wait;now
Iron Maiden;Heaven Can Wait;could
Iron Maiden;Heaven Can Wait;it
Iron Maiden;Heaven Can Wait;be
Iron Maiden;Heaven Can Wait;the
Iron Maiden;Heaven Can Wait;angel
Iron Maiden;Heaven Can Wait;of
Iron Maiden;Heaven Can Wait;death
Iron Maiden;Heaven Can Wait;has
Iron Maiden;Heaven Can Wait;come
Iron Maiden;Heaven Can Wait;for
Iron Maiden;Heaven Can Wait;me
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;can't
Iron Maiden;Heaven Can Wait;believe
Iron Maiden;Heaven Can Wait;that
Iron Maiden;Heaven Can Wait;really
Iron Maiden;Heaven Can Wait;my
Iron Maiden;Heaven Can Wait;time
Iron Maiden;Heaven Can Wait;has
Iron Maiden;Heaven Can Wait;come
Iron Maiden;Heaven Can Wait;can't
Iron Maiden;Heaven Can Wait;understand
Iron Maiden;Heaven Can Wait;what
Iron Maiden;Heaven Can Wait;is
Iron Maiden;Heaven Can Wait;happening
Iron Maiden;Heaven Can Wait;to
Iron Maiden;Heaven Can Wait;me
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;isn't
Iron Maiden;Heaven Can Wait;real
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;is
Iron Maiden;Heaven Can Wait;only
Iron Maiden;Heaven Can Wait;a
Iron Maiden;Heaven Can Wait;dream
Iron Maiden;Heaven Can Wait;but
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;never
Iron Maiden;Heaven Can Wait;have
Iron Maiden;Heaven Can Wait;felt
Iron Maiden;Heaven Can Wait;no
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;never
Iron Maiden;Heaven Can Wait;have
Iron Maiden;Heaven Can Wait;felt
Iron Maiden;Heaven Can Wait;this
Iron Maiden;Heaven Can Wait;way
Iron Maiden;Heaven Can Wait;before
Iron Maiden;Heaven Can Wait;i'm
Iron Maiden;Heaven Can Wait;looking
Iron Maiden;Heaven Can Wait;down
Iron Maiden;Heaven Can Wait;on
Iron Maiden;Heaven Can Wait;my
Iron Maiden;Heaven Can Wait;body
Iron Maiden;Heaven Can Wait;below
Iron Maiden;Heaven Can Wait;i
Iron Maiden;Heaven Can Wait;lie
Iron Maiden;Heaven Can Wait;asleep
